CASRN	Compound	Hf
2207-01-4	cis-1,2-Dimethylcyclohexane	-172170
96-14-0	3-Methylpentane	-172060
1678-91-7	Ethylcyclohexane	-171750
493-01-6	Cis-Decahydronaphthalene (cis-decalin)	-169240
2040-95-1	n-Butylcyclopentane	-168280
463-82-1	Neopentane (2,2-dimethylpropane)	-168070
110-54-3	n-Hexane	-166950
75-07-0	Acetaldehyde	-166180
78-87-5	1,2-Dichloropropane	-165690
112-41-4	1-Dodecene	-165360
7145-20-2	2,3-Dimethyl-2-hexene	-162250
73548-72-8	trans-6-Methyl-2-Heptene	-158940
6742-54-7	n-Undecylbenzene	-158310
110-91-8	Morpholine	-156000
108-87-2	Methylcyclohexane	-154770
78-78-4	Isopentane (2-methylbutane)	-153700
55255-58-8	1-n-Octyl-[1,2,3,4-Tetrahydronaphthalene]	-151670
98-01-1	Furfural	-151050
2040-96-2	n-Propylcyclopentane	-148070
109-66-0	n-Pentane	-146710
79-00-5	1,1,2-Trichloroethane	-145600
821-95-4	1-Undecene	-144770
71-55-6	1,1,1-Trichloroethane	-142300
104-72-3	n-Decylbenzene	-137500
1678-98-4	iso-butylcyclohexane	-136740
2452-99-5	trans-1,2-Dimethylcyclopentane	-136690
6069-98-3	1-Methyl-4-Isopropylcyclohexane	-135980
2532-58-3	cis-1,3-Dimethylcyclopentane	-135860
75-28-5	Isobutane	-134990
293-55-0	Cyclononane	-133890
560-23-6	2,3,3-Trimethyl-1-pentene	-133880
1759-58-6	trans-1,3-Dimethylcyclopentane	-133590
108-39-4	m-Cresol	-132300
66563-99-3	1-n-Heptyl-[1,2,3,4-Tetrahydronaphthalene]	-130960
75-34-3	1,1-Dichloroethane	-130120
107-06-2	1,2-Dichloroethane	-129790
1192-18-3	cis-1,2-Dimethylcyclopentane	-129540
4810-09-7	3-Methyl-1-Heptene	-128700
95-48-7	o-Cresol	-128570
1638-26-2	1,1-Dimethylcyclopentane	-127070
1640-89-7	Ethylcyclopentane	-127070
3178-22-1	tert-butylcyclohexane	-125940
292-64-8	Cyclooctane	-125690
106-97-8	n-Butane	-125650
106-44-5	p-Cresol	-125350
872-05-9	1-Decene	-124140
110-82-7	Cyclohexane	-123130
54549-80-3	1,1-Dimethyl-2-Ethylcyclopentane	-120880
75-64-9	tert-Butylamine	-119880
291-64-5	Cycloheptane	-119040
7300-03-0	trans-3-Methyl-3-heptene	-118340
1081-77-2	n-Nonylbenzene	-116800
50-00-0	Formaldehyde	-115910
7058-01-7	sec-butylcyclohexane	-114520
78-85-3	Methacrolein	-112720
75-00-3	Ethyl Chloride	-112250
