-1	13966-86-4	CdCl	147.865	[Cd+].[Cl-]	InChI=1S/Cd.ClH/h;1H/q+1;/p-1	ZBHADFXDTSTADC-UHFFFAOYSA-M	Cadmium chloride (CdCl) (6CI,7CI,8CI,9CI)	
6451240	7446-70-0	AlCl3	133.341	[Al+3].[Cl-].[Cl-].[Cl-]	InChI=1S/Al.3ClH/h;3*1H/q+3;;;/p-3	VSCWAEJMTAWNJL-UHFFFAOYSA-K	aluminum;trichloride	Aluminum chloride (AlCl3)	Aluminum chloride (8CI)	Aluminium chloride	Aluminium trichloride	Aluminum trichloride	Aluminum(III) chloride	Hemogin L	Hemostop	Lutan FN	NSC 143015	NSC 143016	TK Flock	Takibine 100	Trichloroaluminum	aluminiumchloride	Aluminum(III) Chloride	Aluminum sesquichlorohydrate	Aluminium chloride anhydrous	Aluminum hydroxychloride	Aluminumchloride	alumimum chloride	aluminum-chloride	trichloroaluminium	aluminum chloride-	aluminiumtrichloride	aluminum tri-chloride	Polyaluminium Chloride	Aluminium(III)chloride	aluminium(III)-chloride	aluminum (III) chloride	aluminum-(III)-chloride	aluminium (III) chloride	Aluminum Choride, anhydrous	AC1O52ZR	aluminum (III) trichloride	Polyaluminium Chloride(PAC)	Aluminium chloride,  anhydrous	aluminium(3+) ion trichloride	ALUMINIUMCHLORIDESOLUTION	LIF1N9568Y	ALUMINUMCHLORIDE,ULTRA-PURE	MolPort-006-113-218	VSCWAEJMTAWNJL-UHFFFAOYSA-K	KS-000000CH	AKOS015833125	AKOS025243469	RL04829	RTR-024077	TRA-0194141	IN000435	IN005973	SC-81406	Aluminum chloride, anhydrous, Reagent Grade	TR-024077	X2086	Aluminum Sesquichlorohydrate - ALOXICOLL 31L	Aluminum chloride, anhydrous, 99%, granular  250g	41630-01-7	125690-94-0	195436-38-5	255839-01-1	1161430-81-4	1332483-60-9	1818401-35-2
6452300	10025-73-7	Cl3Cr	158.355	[Cl-].[Cl-].[Cl-].[Cr+3]	InChI=1S/3ClH.Cr/h3*1H;/q;;;+3/p-3	QSWDMMVNRMROPK-UHFFFAOYSA-K	chromium(3+);trichloride	Chromium chloride (CrCl3)	C.I. 77295	Chromic chloride	Chromic chloride (CrCl3)	Chromic trichloride	Chromium trichloride	Chromium trichloride (CrCl3)	Chromium(3+) chloride	Chromium(III) chloride	Trichlorochromium	CHROMIC CHLORIDE	Chromium (Iii) Chloride	chromium(3+) trichloride	Chromium(iii)chloride	anhydrous chromium(III) chloride	39345-92-1	Basic chromic chloride	Cl3Cr	Chromium chloride, basic	chromiumchloride	Chromium trichl	EINECS 256-852-0	Chromium(III); chloride	ACMC-1AI6U	KSC492K0F	AC1O554V	Chromium(III)chloride anhydrous	Z310X5O5RP	Jsp000072	CHEBI:53351	CTK3J2502	MolPort-006-106-963	QSWDMMVNRMROPK-UHFFFAOYSA-K	KS-00000W8R	AKOS024437430	DB09129	TRA-0197964	50925-66-1	IN002905	SC-79306	RT-000673	FT-0623785
6535604	10034-96-5	H4MnO5S	171.032	O.O=S(=O)(O)O.[Mn]	InChI=1S/Mn.H2O4S.H2O/c;1-5(2,3)4;/h;(H2,1,2,3,4);1H2	VSEWZMQQQHLHQT-UHFFFAOYSA-N	manganese;sulfuric acid;hydrate	Sulfuric acid, manganese(2+) salt, hydrate (1:1:1)	Manganese mesosulfate (MnSO4.H2O) (7CI)	Sulfuric acid, manganese(2+) salt (1:1), monohydrate (8CI,9CI)	Manganesemonosulfate monohydrate	Manganese sulfate (MnSO4) monohydrate	Manganese sulfate monohydrate	Manganese(2+) sulfate monohydrate	Manganese(II) sulfate monohydrate	Manganous sulfate monohydrate	Sulfuric acid manganese salt (1:1) monohydrate	manganese; sulfuric acid; hydrate	AC1LANLA	AC1O6UY9	Manganese(II) sulfate monohydrate, CP	LT03328884	Manganese(II) sulfate monohydrate, ACS reagent	Manganese(II) sulfate monohydrate, AR, >=99%	Manganese(II) sulfate monohydrate, ACS reagent, >=98%	Manganese(II) sulfate monohydrate, technical grade, 95%	Manganese(II) sulfate monohydrate, USP, 98.0-102.0%	Manganese(II) sulfate hydrate, SAJ first grade, >=97.0%	Manganese(II) sulfate monohydrate, LR, 22-32% Mn basis	Manganese(II) sulfate monohydrate, ReagentPlus(R), >=99%	Manganese sulfate monohydrate, meets USP testing specifications	Manganese(II) sulfate hydrate, >=99.99% trace metals basis	Manganese(II) sulfate hydrate, JIS special grade, >=99.0%	Manganese(II) sulfate monohydrate, purum p.a., >=98.0% (T)	Manganese(II) sulfate monohydrate, Vetec(TM) reagent grade, 99%	Manganese sulfate, United States Pharmacopeia (USP) Reference Standard	Manganese sulfate monohydrate, PharmaGrade, USP, Manufactured under appropriate GMP controls for pharma or biopharmaceutical production.	Manganese(II) sulfate monohydrate, BioReagent, plant cell culture tested, cell culture tested	Manganese(II) sulfate monohydrate, puriss. p.a., ACS reagent, reag. Ph. Eur., 99.0-101.0%	Manganese(II) sulfate monohydrate, puriss., meets analytical specification of Ph.??Eur, BP, USP, FCC, 99-100.5% (calc. for dried substance)
9794789	7784-13-6	AlCl3H12O6	241.431	O.O.O.O.O.O.[Al+3].[Cl-].[Cl-].[Cl-]	InChI=1S/Al.3ClH.6H2O/h;3*1H;6*1H2/q+3;;;;;;;;;/p-3	JGDITNMASUZKPW-UHFFFAOYSA-K	aluminum;trichloride;hexahydrate	Aluminum chloride (AlCl3), hydrate (1:6)	Aluminum chloride (AlCl3), hexahydrate (9CI)	Aluminum chloride, hexahydrate (8CI)	Aluminum trichloride hexahydrate	Aluminum(III) chloride hexahydrate	aluminium chloride hexahydrate	3CYT62D3GA	aluminum chloride hexa-hydrate	Aluminium chloride(hexahydrate)	DTXSID8036990	JGDITNMASUZKPW-UHFFFAOYSA-K	Aluminum Chloride 6-Hydrate Crystal	AKOS025243473	RTR-024891	TRA0065316	IN000932	IN018877	TR-024891	Aluminum chloride hexahydrate, Reagent Grade	Aluminum chloride hexahydrate, Puratronic&reg;	ALUMINUM CHLORIDE, HEXAHYDRATE, 99.999%	Aluminum chloride hexahydrate, 99.9995% trace metals basis  5g
9883512	10139-47-6	I2Zn	319.198	[I-].[I-].[Zn+2]	InChI=1S/2HI.Zn/h2*1H;/q;;+2/p-2	UAYWVJHJZHQCIE-UHFFFAOYSA-L	zinc;diiodide	Zinc iodide (ZnI2)	Zinc iodide (8CI)	NSC 39113	Zinc diiodide	Zinciodide	zinc(II)iodide	zinc (II) iodide	I2Zn	ZnI2	ACMC-1BSLI	KSC180Q3T	CTK0I0839	KS-00000VEI	MolPort-006-119-143	s201	UAYWVJHJZHQCIE-UHFFFAOYSA-L	762R7A0O0B	AKOS015833261	RTR-000374	TRA0024347	IN002201	SC-57907	TR-000374	I14-20512	Zinc iodide, anhydrous, ampuled under argon, 99.995% trace metals basis  5g
10866624	13825-74-6	O5STi	159.929	O=S(=O)([O-])[O-].[O].[Ti+2]	InChI=1S/H2O4S.O.Ti/c1-5(2,3)4;;/h(H2,1,2,3,4);;/q;;+2/p-2	KADRTWZQWGIUGO-UHFFFAOYSA-L	oxotitanium(2+);sulfate	Titanium, oxo[sulfato(2-)-κO,κO']-	Titanium, oxo[sulfato(2-)-O,O']-	Titanium, oxosulfato- (8CI)	Titanyl sulfate (TiO(SO4)) (6CI,7CI)	Oxo[sulfato(2-)-κO,κO']titanium	Tai-Sult Y 9	Titanium oxide sulfate	Titanium oxide sulfate (TiO(SO4))	Titanium oxysulfate	Uniti 909	TiOSO4	Titanium(IV) oxysulfate - sulfuric acid	J-004920	1314-58-5	15550-72-8	126165-81-9	742005-85-2
16694118	10043-01-3	Al2O12S3	342.153	O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].O=S(=O)([O-])[O-].[Al+3].[Al+3]	InChI=1S/2Al.3H2O4S/c;;3*1-5(2,3)4/h;;3*(H2,1,2,3,4)/q2*+3;;;/p-6	DIZPMCHEQGEION-UHFFFAOYSA-H	bis(2,2-dioxo-1,3,2,4-dioxathialumetan-4-yl) sulfate	Sulfuric acid, aluminum salt (3:2)	Sulfatodialuminum disulfate (Al2(SO4)3) (7CI)	Al+Clear	Alum	Alumen	Aluminum alum	Aluminum sesquisulfate	Aluminum sulfate	Aluminum sulfate (2:3)	Aluminum sulfate (Al2(SO4)3)	Aluminum sulphate	Aluminum trisulfate	Aluminum(III) sulfate	Alunogenite	Cake alum	Dialuminum sulfate	Dialuminum trisulfate	Fertosan	Gel Cord	Hi Soft C 2	Nalco 7530	Nalco 7530 (salt)	S 150	Sulfuric acid aluminum salt(Al2(SO4)3)	Sulfuric acid aluminum(3+) salt (3:2)	Tai-Ace S 100	Tai-Ace S 150	Aluminiumsulfat	19239-71-5	22515-37-3	66578-72-1	121739-79-5	124027-27-6	139939-73-4	1937262-06-0	10124-29-5
21924987	12125-02-9	ClH4N	53.492	Cl.N	InChI=1S/ClH.H3N/h1H;1H3	NLXLAEXVIDQMFP-UHFFFAOYSA-N	azane;hydron;chloride	Ammonium chloride ((NH4)Cl)	Ammonium chloride (8CI)	A649-3	Amchlor	Ammoneric	Amoklor	Catalyst RD	Darammon	Darvan 20	Sal ammoniac	Salammoniacus	Salmiac	Salmiacum	15630-61-2	20548-08-7	50295-88-0	55871-05-1	75944-36-4	89485-84-7	89485-85-8	127634-24-6	128532-42-3	154383-48-9	867060-75-1	1260366-18-4	152128-19-3, 1448438-95-6
24196325	7558-80-7	H3NaO4P	120.984	O=P(O)(O)O.[Na]	InChI=1S/Na.H3O4P/c;1-5(2,3)4/h;(H3,1,2,3,4)	NFIYTPYOYDDLGO-UHFFFAOYSA-N	phosphoric acid;sodium	Phosphoric acid, sodium salt (1:1)	Phosphoric acid, monosodium salt (8CI,9CI)	Dihydrogen monosodium phosphate	Dihydrogen sodium phosphate	Monobasicsodium phosphate	Monobasic sodium phosphate (NaH2PO4)	Monosodium dihydrogen orthophosphate	Monosodium hydrogen phosphate	Monosodium phosphate	Sodium dihydrogen monophosphate	Sodium dihydrogen orthophosphate	Sodium dihydrogen phosphate	Sodium dihydrogenphosphate (NaH2PO4)	Sodium hydrogen phosphate (NaH2PO4)	Sodium monobasic phosphate	Sodium monobasic phosphate (NaH2PO4)	Sodiumorthophosphate monobasic	Sodium phosphate (Na(H2PO4))	Sodium phosphate, monobasic	Sodium primary phosphate	LT03329078	1333-80-8	89140-32-9	943540-07-6
86587427	7558-79-4	H3Na2O4P	143.974	O=P(O)(O)O.[Na].[Na]	InChI=1S/2Na.H3O4P/c;;1-5(2,3)4/h;;(H3,1,2,3,4)	QLFFCLRSMTUBEZ-UHFFFAOYSA-N	phosphoric acid;sodium	Phosphoric acid, sodium salt (1:2)	Phosphoric acid, disodium salt (8CI,9CI)	Acetest	Anhydrous sodium acid phosphate	DSP	Dibasic sodium phosphate	Disodiumacid orthophosphate	Disodium acid phosphate	Disodium hydrogen orthophosphate (Na2HPO4)	Disodium hydrogen phosphate	Disodiumhydrophosphate	Disodium monohydrogen phosphate	Disodium orthophosphate	Disodium phosphate	Disodium phosphate (Na2HPO4)	Exsiccatedsodium phosphate	H 10	Hydrogen disodium phosphate	Hydrogen sodium phosphate (HNa2PO4)	Monohydrogen disodium phosphate	SodaPhosphate	Sodium hydrogen phosphate	Sodium monohydrogen phosphate	Sodium orthophosphate dibasic	Sodium phosphate (Na2HPO4)	Sodiumphosphate, dibasic	Sorensen's sodium phosphate	phosphoric acid disodium	Sodium phosphate dibasic, p.a.	QLFFCLRSMTUBEZ-UHFFFAOYSA-N	Sodium phosphate dibasic, 99%, FG	Sodium phosphate dibasic, >=99.5%	Sodium phosphate dibasic, LR, >=98%	Sodium phosphate dibasic, BioXtra, >=99.0%	Disodium hydrogen phosphate, NIST SRM 2186II	Sodium phosphate dibasic, USP, 98.0-100.5%	Sodium phosphate dibasic, >=99.0%, ACS reagent	Sodium phosphate dibasic, ACS reagent, >=99.0%	Sodium phosphate dibasic, AR, anhydrous, >=99%	Sodium phosphate dibasic, 99.95% trace metals basis	Sodium phosphate dibasic, ReagentPlus(R), >=99.0%	Sodium phosphate dibasic, SAJ first grade, >=99.0%	Sodium phosphate dibasic, JIS special grade, >=99.0%	Sodium phosphate dibasic, Vetec(TM) reagent grade, 99%	Sodium phosphate dibasic solution, BioUltra, 0.5 M in H2O	Sodium phosphate dibasic, BioUltra, anhydrous, >=99.5% (T)	Sodium phosphate dibasic, purum p.a., anhydrous, >=98.0% (T)	Phosphate Standard for IC, TraceCERT(R), 1000 mg/L phosphate in water	Sodium phosphate dibasic, BioUltra, for molecular biology, >=99.5% (T)	Sodium phosphate dibasic, for molecular biology, >=98.5% (titration)	Sodium phosphate dibasic, anhydrous, free-flowing, Redi-Dri(TM), ACS reagent, >=99%	Sodium phosphate dibasic, anhydrous, free-flowing, Redi-Dri(TM), ReagentPlus(R), >=99.0%	Sodium phosphate dibasic, puriss. p.a., ACS reagent, anhydrous, >=99.0% (T)	Sodium phosphate dibasic anhydrous, PharmaGrade, USP, Manufactured under appropriate GMP controls for pharma or biopharmaceutical production.	Sodium phosphate dibasic, BioReagent, suitable for cell culture, suitable for insect cell culture, >=99.0%	Sodium phosphate dibasic, puriss., meets analytical specification of Ph.??Eur., BP, USP, FCC, E 339, anhydrous, 98-100.5% (calc. to the dried substance)	148560-76-3	1374442-71-3
124203846	7782-85-6	H17Na2O11P	270.079	O.O.O.O.O.O.O.O=P(O)(O)O.[Na].[Na]	InChI=1S/2Na.H3O4P.7H2O/c;;1-5(2,3)4;;;;;;;/h;;(H3,1,2,3,4);7*1H2	YLNNULODLCJGBJ-UHFFFAOYSA-N	phosphoric acid;sodium;heptahydrate	Phosphoric acid, disodium salt, heptahydrate (8CI,9CI)	Disodium hydrogen phosphate heptahydrate	Disodium orthophosphate heptahydrate	Disodium phosphate heptahydrate	Sodiummonohydrogen phosphate heptahydrate	Sodium phosphate (Na2HPO4) heptahydrate	Sodium phosphate dibasic heptahydrate, ACS reagent	Sodium phosphate dibasic heptahydrate, >=99.99% trace metals basis	Sodium phosphate dibasic heptahydrate, ACS reagent, 98.0-102.0%	Sodium phosphate dibasic heptahydrate, Vetec(TM) reagent grade, 99%	Sodium phosphate dibasic heptahydrate, meets USP testing specifications	Sodium phosphate dibasic heptahydrate, PharmaGrade, USP, Manufactured under appropriate GMP controls for pharma or biopharmaceutical production.	1803394-07-1
