CAS	Chemical	C1	C2	C3	C4	C5	Tmin	Tmax
110-82-7	Cyclohexane  	0.19813	-0.0002505	0	0	0	279.69	353.87
108-93-0	Cyclohexanol  	0.1715	-0.0001255	0	0	0	296.6	563.15
108-94-1	Cyclohexanone  	0.17557	-0.00012392	0	0	0	242	428.58
110-83-8	Cyclohexene  	0.20926	-0.00026037	0	0	0	169.67	356.12
287-92-3	Cyclopentane  	0.2066	-0.0002696	0	0	0	179.28	322.4
142-29-0	Cyclopentene  	0.21776	-0.00027783	0	0	0	138.13	333.15
75-19-4	Cyclopropane  	0.24348	-0.00042568	0	0	0	145.59	240.37
1569-69-3	Cyclohexyl mercaptan  	0.18374	-0.0001925	0	0	0	189.64	431.95
112-31-2	Decanal  	0.20383	-0.0002	0	0	0	267.15	488.15
124-18-5	Decane  	0.2063	-0.00025	0	0	0	243.51	447.3
334-48-5	Decanoic acid  	0.206	-0.0002	0	0	0	304.75	543.15
112-30-1	1-Decanol  	0.228	-0.000223	0	0	0	280.05	503
872-05-9	1-Decene  	0.20237	-0.00024187	0	0	0	206.89	443.75
143-10-2	Decyl mercaptan  	0.20134	-0.00020826	0	0	0	247.56	512.35
764-93-2	1-Decyne  	0.20839	-0.00023622	0	0	0	229.15	447.15
557-91-5	1,1-Dibromoethane  	0.1426	-0.00016402	0	0	0	210.15	498.4
106-93-4	1,2-Dibromoethane  	0.13622	-0.0001179	0	0	0	282.85	404.51
74-95-3	Dibromomethane  	0.17558	-0.00022499	0	0	0	220.6	370.1
142-96-1	Dibutyl ether  	0.19418	-0.00022246	0	0	0	175.3	523.15
541-73-1	m-Dichlorobenzene  	0.16694	-0.0001667	0	0	0	248.39	446.23
95-50-1	o-Dichlorobenzene  	0.16994	-0.0001637	0	0	0	262.87	351.71
106-46-7	p-Dichlorobenzene  	0.16977	-0.0001799	0	0	0	326.14	548
75-34-3	1,1-Dichloroethane  	0.18881	-0.00026083	0	0	0	176.19	416.9
107-06-2	1,2-Dichloroethane  	0.214	-0.000266	0	0	0	253.15	356.59
75-09-2	Dichloromethane  	0.23847	-0.00033366	0	0	0	178.01	325
78-99-9	1,1-Dichloropropane  	0.18	-0.00023144	0	0	0	200	438
78-87-5	1,2-Dichloropropane  	0.19653	-0.00025012	0	0	0	172.71	457.6
111-42-2	Diethanol amine  	0.0218	0.0010315	-1.355E-06	0	0	301.15	673.15
109-89-7	Diethyl amine  	0.2587	-0.00054343	4.2097E-07	0	0	223.35	453.15
60-29-7	Diethyl ether  	0.2495	-0.000407	0	0	0	156.85	433.15
352-93-2	Diethyl sulfide  	0.21065	-0.0002623	0	0	0	169.2	365.25
75-37-6	1,1-Difluoroethane  	0.27019	-0.000661	3.443E-07	0	0	154.56	363.15
624-72-6	1,2-Difluoroethane  	0.23171	-0.00038503	0	0	0	215	372.8
75-10-5	Difluoromethane  	0.37296	-0.00088707	2.5762E-07	0	0	136.95	302.56
