CASRN	Chemical	Tc	Pc	omega
592-41-6	1-Hexene	504.027777777778	3171588.35485728	0.2848
7688-21-3	cis-2-Hexene	517.594444444444	3282593.94727728	0.2555
592-43-8	trans-2-Hexene	516.483333333333	3268804.43269095	0.2421
7642-09-3	cis-3-Hexene	517.038888888889	3282593.94727728	0.2254
13269-52-8	trans-3-Hexene	519.872222222222	3254325.4423753	0.2273
625-27-4	2-Methyl-2-pentene	517.594444444444	3282593.94727728	0.2294
922-62-3	3-Methyl-cis-2-pentene	517.594444444444	3282593.94727728	0.2694
616-12-6	3-Methyl-trans-2-pentene	521.483333333333	3292936.08321704	0.2072
563-78-0	2,3-Dimethyl-1-butene	500.927777777778	3242604.35497691	0.2215
558-37-2	3,3-Dimethyl-1-butene	490.372222222222	3150904.08297778	0.1207
563-79-1	2,3-Dimethyl-2-butene	524.261111111111	3363952.08333667	0.2389
592-76-7	1-heptene	533.288888888889	2826850.49019888	0.358
762-62-9	4,4-Dimethyl-1-pentene	526.483333333333	2857187.42228882	0.1715
594-56-9	2,3,3-Trimethyl-1-butene	532.594444444444	2897866.49031851	0.1919
111-66-0	1-Octene	566.65	2620007.77140384	0.3858
111-67-1	trans-2-Octene	580.372222222222	2766176.626019	0.35
124-11-8	1-Nonene	592.038888888889	2344217.47967712	0.4299
872-05-9	1-Decene	614.816666666667	2206322.33381376	0.4912
821-95-4	1-Undecene	637.038888888889	1992584.85772555	0.518
112-41-4	1-Dodecene	657.038888888889	1854689.71186219	0.5575
2437-56-1	1-Tridecene	674.261111111111	1703005.0514125	0.5981
1120-36-1	1-Tetradecene	689.261111111111	1565109.90554914	0.6441
13360-61-7	1-Pentadecene	704.261111111111	1454793.78885845	0.6822
629-73-2	1-Hexadecene	717.038888888889	1337582.91487459	0.7213
112-88-9	1-Octadecene	739.261111111111	1144529.71066589	0.8066
463-49-0	Propadiene	393.15	5467542.53348222	0.3125
590-19-2	1,2-Butadiene	443.705555555556	4502276.5124387	0.3394
106-99-0	1,3-Butadiene	425.372222222222	4329907.5801095	0.1814
591-95-7	1,2-Pentadiene	503.15	4073422.60880365	0.1725
1574-41-0	1-cis-3-Pentadiene	498.705555555556	4012748.74462378	0.1834
504-60-9	1-trans-3-Pentadiene	496.483333333333	3992064.47274427	0.1754
591-93-5	1,4-Pentadiene	477.594444444445	3789358.60832513	0.1038
78-79-5	2-Methyl-1,3-butadiene	484.261111111111	3850032.47250501	0.1642
598-25-4	3-Methyl-1,2-butadiene	496.483333333333	3992064.47274427	0.1595
74-86-2	Ethyne	308.322222222222	6139091.89383679	0.1841
74-99-7	Propyne	402.388888888889	5627500.90268372	0.2176
107-00-6	1-Butyne	463.705555555556	4711877.13415101	0.501
71-43-2	Benzene	562.161111111111	4898035.58106655	0.21
3101-08-4	Methylbenzene	591.788888888889	4108585.87099881	0.2566
100-41-4	Ethylbenzene	617.172222222222	3609405.44297345	0.3011
95-47-6	1,2-Dimethylbenzene	630.372222222222	3732821.59852115	0.3136
108-38-3	1,3-Dimethylbenzene	617.05	3541147.34577109	0.3311
106-42-3	1,4-Dimethylbenzene	616.261111111111	3510810.41368114	0.3243
103-65-1	n-Propylbenzene	638.377777777778	3199856.85975927	0.3444
98-82-8	Isopropylbenzene	631.15	3208820.04424039	0.3353
611-14-3	1-Methyl-2-ethylbenzene	650.927777777778	3039898.49055777	0.2937
620-14-4	1-Methyl-3-ethylbenzene	637.038888888889	2837192.62613863	0.3598
622-96-8	1-Methyl-4-ethylbenzene	640.372222222222	2938545.5583482	0.3219
526-73-8	1,2,3-Trimethylbenzene	664.527777777778	3454273.40387717	0.3934
95-63-6	1,2,4-Trimethylbenzene	649.127777777778	3232262.21903716	0.3964
108-67-8	1,3,5-Trimethylbenzene	637.361111111111	3126772.43245169	0.398
104-51-8	n-Butylbenzene	660.538888888889	2886834.87864944	0.3923
538-93-2	Isobutylbenzene	650.372222222222	3033693.20899392	0.3782
135-98-8	Sec-Butylbenzene	664.538888888889	2950956.1214759	0.2736
98-06-6	tert-Butylbenzene	659.816666666667	2964745.63606224	0.2647
527-84-4	1-Methyl-2-isopropylbenzene	669.816666666667	2895798.06313056	0.2769
535-77-3	1-Methyl-3-isopropylbenzene	666.205555555556	2938545.5583482	0.2792
99-87-6	1-Methyl-4-isopropylbenzene	653.15	2826850.49019888	0.3714
105-05-5	1,4-Diethylbenzene	657.961111111111	2802718.83967279	0.4031
95-93-2	1,2,4,5-Tetramethylbenzene	675.372222222222	2964745.63606224	0.4255
92-52-4	Biphenyl	789.261111111111	3847274.56958774	0.3643
101-81-5	Diphenylmethane	767.538888888889	2982051.47686809	0.471
100-42-5	Vinylbenzene	647.594444444444	3998959.23003744	0.2572
611-15-4	1-Methyl-2-ethenylbenzene	679.261111111111	3647326.60808587	0.3755
100-80-1	1-Methyl-3-ethenylbenzene	674.816666666667	3557694.76327469	0.3415
622-97-9	1-Methyl-4-ethenylbenzene	675.927777777778	3543905.24868835	0.3128
91-20-3	Naphthalene	748.427777777778	4050669.9097362	0.3024
90-12-0	1-Methylnaphthalene	772.038888888889	3568726.37494376	0.3337
91-57-6	2-Methylnaphthalene	760.927777777778	3503226.18065866	0.3815
119-64-2	1,2,3,4-Tetrahydronaphthalene	719.261111111111	3514947.26805705	0.3028
493-01-6	Cis-Decahydronaphthalene	705.261111111111	3150904.08297778	0.2321
493-02-7	trans-Decahydronaphthalene	686.927777777778	3150904.08297778	0.2738
