CAS	Chemical	Tc	Pc	Vc	omega
110-19-0	Acetic acid isobutyl ester	561	3010000	0.000414	0.4302
108-31-6	Maleic anhydride	726	6484800	0.000235	0.3897
624-83-9	Isocyanic acid methyl ester	491	5572875	0.000167	0.2744
75-31-0	Isopropylamine	471.76	4551000	0.0002206	0.2786
107-10-8	N-Propylamine	497	4742010	0.000233	0.2879
104-76-7	2-Ethyl-1-hexanol	640.8	2796570	0.000494	0.5518
108-21-4	Acetic acid isopropyl ester	535	3374122	0.000343	0.36
291-64-5	Cycloheptane	604.2	3819953	0.000353	0.2384
292-64-8	Cyclooctane	647.2	3559547	0.00041	0.2536
95-93-2	1,2,4,5-Tetramethylbenzene	676	2900000	0.00048	0.4168
629-50-5	Tridecane	676	1678955	0.0008231	0.623
99-87-6	4-Isopropyltoluene	653	2826967	0.000474	0.3685
96-18-4	1,2,3-Trichloropropane	648.15	3951665	0.000348	0.3283
75-78-5	Dichlorodimethylsilane	520.4	3485580	0.000358	0.272
100-18-5	p-Diisopropylbenzene	674.74	2357833	0.0005842	0.4818
99-89-8	4-Isopropylphenol	710	3597038	0.000434	0.5841
111-84-2	Nonane	594.7	2279813	0.0005552	0.444
123-38-6	Propanal	509.1	5268900	0.0002063	0.2449
554-12-1	Methyl propanoate	530.8	4002338	0.000282	0.352
1678-91-7	Ethylcyclohexane	609	3029617	0.00042	0.2444
112-34-5	Diethylene glycol monobutyl ether	692.3	2789477	0.000536	0.6471
111-11-5	Octanoic acid methyl ester	644	2249415	0.000561	0.5378
110-42-9	Decanoic acid methyl ester	681	1889711	0.000671	0.603
90-15-3	1-Naphthol	825	4853468	0.00042	0.4735
110-68-9	Methyl butyl amine	539	3323460	0.000346	0.347
628-63-7	Acetic acid pentyl ester	597.8	2664847	0.0004687	0.4515
110-74-7	Formic acid propyl ester	538	4063132	0.000285	0.315
624-89-5	Ethyl methyl sulfide	533	4255650	0.000259	0.208
352-93-2	Diethyl sulfide	557.8	3900000	0.0003176	0.2762
13360-63-9	Ethyl butyl amine	554	2826967	0.000401	0.363
109-21-7	1-Butanoic acid butyl ester	612.1	2310210	0.000506	0.4852
111-69-3	1,4-Dicyanobutane	781	2830007	0.000406	0.5576
65-85-0	Benzoic acid	752	4559625	0.000341	0.6383
107-46-0	Hexamethyl disiloxane	516.6	1909976	0.00062	0.4145
563-80-4	Methyl isopropyl ketone	552.8	3850350	0.00031	0.3244
106-36-5	Propanoic acid propyl ester	571	3141075	0.000395	0.4361
91-22-5	Quinoline	782	3799688	0.0004024	0.2389
106-89-8	Epichlorohydrin	610	4900077	0.000233	0.2562
112-27-6	Triethylene glycol	797	3300155	0.000441	0.5842
75-72-9	Chlorotrifluoromethane [R 13]	302	3921278	0.00018	0.18
111-77-3	Diethylene glycol monomethyl ether	672	3670000	0.000371	0.5141
21035-44-9	N-Ethyl-sec.butylamine	543	2897895	0.000393	0.3507
624-64-6	trans-2-Butene	428.6	4103663	0.000238	0.214
616-38-6	Carbonic acid dimethyl ester	557	4800000	0.0002522	0.3321
502-56-7	5-Nonanone	640	2320342	0.00056	0.514
111-90-0	Diethylene glycol ethyl ether	670	3167000	0.000426	0.4795
115-11-7	Isobutylene	417.9	4002338	0.000239	0.19
78-84-2	2-Methylpropanal	513	4154325	0.000274	0.325
590-18-1	cis-2-Butene	435.6	4204988	0.000234	0.202
75-64-9	tert-Butylamine	483.9	3840218	0.0002926	0.274
111-46-6	Diethylene glycol	753	4770381	0.000316	0.5799
589-34-4	3-Methylhexane	535.2	2809742	0.000404	0.324
96-33-3	2-Propenoic acid methyl ester	536	4249570	0.00027	0.3475
355-42-0	Perfluorohexane	451.7	1904910	0.00056	0.4943
463-82-1	2,2-Dimethylpropane	433.8	3195791	0.000307	0.197
75-76-3	Tetramethylsilane	448.64	2820888	0.000361	0.242
108-11-2	4-Methyl-2-pentanol	574.4	3649727	0.00038	0.5723
92-52-4	Biphenyl	773	3380000	0.000502	0.403
101-81-5	Diphenylmethane	767	2978955	0.0005627	0.4619
135-98-8	sec-Butylbenzene	664	2948558	0.000474	0.2971
763-29-1	2-Methyl-1-pentene	505	3293063	0.000351	0.274
691-37-2	4-Methyl-1-pentene	493	3100545	0.000238	0.248
3048-64-4	5-Vinylbicyclo[2.2.1]hept-2-ene	620	3300000	0.0004087	0.2931
77-73-6	Dicyclopentadiene	665	3755105	0.00045	0.3484
112-95-8	Eicosane	767	1070000	0.001156	0.8805
108-67-8	1,3,5-Trimethylbenzene	637.3	3130942	0.000433	0.3796
88-72-2	o-Nitrotoluene	720	3404520	0.0004	0.439
99-08-1	m-Nitrotoluene	725	3049883	0.0004	0.4381
99-99-0	p-Nitrotoluene	735	2999220	0.0004	0.4287
104-90-5	5-Ethyl-2-methylpyridine	662	3343725	0.000427	0.4267
334-48-5	Decanoic acid	726	2097428	0.000638	0.8774
107-51-7	Octamethyltrisiloxan	562.9	1419563	0.00088	0.531
556-67-2	Octamethylcyclotetrasiloxane	586.5	1324318	0.00097	0.5867
119-65-3	Isoquinoline	803	4600155	0.000442	0.2564
91-63-4	Quinaldine	787	4904130	0.000471	0.3967
101-84-8	Diphenyl ether	766	3141075	0.000504	0.44
491-35-0	4-Methylquinoline	797	4650818	0.000498	0.4792
612-60-2	7-Methylquinoline	797	4802805	0.00049	0.421
112-42-5	1-Undecanol	702	2198753	0.000718	0.6724
544-76-3	Hexadecane	722.4	1401325	0.001034	0.742
92-06-8	m-Terphenyl	883	2480000	0.0007243	0.638
95-63-6	1,2,4-Trimethylbenzene	649.1	3232267	0.00043	0.3771
526-73-8	1,2,3-Trimethylbenzene	664.5	3455182	0.00043	0.3669
