CASRN	Chemical	Tc	Pc	Vc	omega
5750-00-5	2-chloro-3,3-dimethylbutane	579.63	3073000	0.0004035	0.254
5756-43-4	1-ethoxy-hexane	583	2460000	0.000487	0.494
576-26-1	2,6-xylenol	701.25	4300000	0.00039	0.455
577-55-9	1,2-diisopropylbenzene	697.15	2361000	0.000602	0.437
57706-88-4	3,7-dimethyl-3-octanol, (±)	629	2355000	0.000598	0.793
57716-79-7	2-ethyl-1,4-butanediol	630.46	3936000	0.0003975	1.179
57757-60-5	dimethyl-1,1-dimethylpropylamine	574.99	2976000	0.0004545	0.344
578-54-1	o-ethylaniline	704	3740000	0.000426	0.462
5780-13-2	meso-2,3-dibromobutane	651.35	4769000	0.0003715	0.403
57859-47-9	3-hexenyl isobutyrate	650	2350000	0.0005402	
5787-28-0	(S)-(1-methylpropyl)benzene	664.65	2897000	0.0004872	0.378
5787-31-5	2-bromobutane, (±)	561.05	4458000	0.0003163	0.289
579-66-8	2,6-diethylaniline	678	3120000	0.000533	0.912
5794-03-6	(+)-camphene	638	2750000	0.000499	0.296
5794-04-7	(-)-camphene	638	2750000	0.000499	0.296
58-08-2	caffeine			0.00051	
58-72-0	triphenylethylene	908	2100000	0.00086	0.6
5802-82-4	methyl hexacosanoate	860	870000	0.001525	
58046-40-5	2,3,6-trimethyl-3-heptanol	618.25	2377000	0.0005915	0.757
58049-91-5	3,3-dimethylcyclopentene	559.35	3768000	0.0003525	0.232
5809-59-6	2-hydroxy-3-butenenitrile	639	4510000	0.000278	0.844
581-40-8	2,3-dimethylnaphthalene	777.78	3006000	0.0005215	0.443
581-42-0	2,6-dimethylnaphthalene	777	3170000	0.00052	0.418
5813-64-9	2,2-dimethylpropylamine	517.1	3460000	0.000346	0.384
58133-26-9	1,1-dibromohexane	684.21	3682000	0.0004895	0.526
5814-85-7	1,2-diphenylpropane	781.16	2530000	0.0006535	0.492
58175-57-8	2-propyl-1-pentanol	607.5	2811000	0.0004965	0.806
582-16-1	2,7-dimethylnaphthalene	778	3170000	0.00052	0.42
58210-03-0	2,3,6-trimethylcyclohexanol	655	3390000	0.0004788	
583-48-2	3,4-dimethylhexane	568.8	2690000	0.000466	0.338
583-53-9	o-dibromobenzene	761	4660000	0.000372	0.293
583-57-3	1,2-dimethylcyclohexane	597.51	2951000	0.000455	0.236
583-58-4	3,4-dimethylpyridine	683.8	4090000	0.000367	0.35
583-59-5	2-methylcyclohexanol; (cis+trans)	635	3790000	0.000414	0.685
583-60-8	2-methylcyclohexanone	650	3550000	0.0003776	
583-61-9	2,3-dimethylpyridine	655.4	4090000	0.000367	0.358
58368-66-4	1-methylbutyl formate	574	3130000	0.000387	0.401
58368-67-5	1-ethylpropyl formate	579	3230000	0.000383	0.375
5837-78-5	ethyl trans-2-methyl-2-butenoate	592.33	2830000	0.000428	0.432
584-02-1	3-pentanol	559.6	3880000	0.000325	0.538
584-03-2	1,2-butanediol	680	5210000	0.000303	0.631
584-84-9	toluene diisocyanate	725	3040000	0.000525	0.658
584-94-1	2,3-dimethylhexane	563.5	2630000	0.000468	0.346
58430-94-7	3,5,5-trimethylhexyl acetate	678.7	1820000	0.000693	0.622
5846-40-2	N-pentapentacontane	1096.75	331000	0.0032975	
5846-43-5	trans-2-propylcyclohexanol	655	3390000	0.0004788	
58474-80-9	3-decenal	670	2200000	0.0005823	
585-07-9	tert-butyl methacrylate	616	2600000	0.0004705	
585-34-2	3-tert-butylphenol	748.61	3514000	0.0004105	0.444
5856-62-2	(S)-(+)-2-amino-1-butanol	571.82	4140000	0.0003	0.711
5856-63-3	(R)-(-)-2-amino-1-butanol	571.82	4140000	0.0003	0.711
5856-66-6	N-tetrapentacontane	1092.55	335000	0.0032378	
5856-67-7	N-heptapentacontane	1105.14	323000	0.0034169	
5857-36-3	2,2,4-trimethyl-3-pentanone	624	2640000	0.000469	0.528
5857-69-2	2,2,3,4,4-pentamethyl-3-pentanol	637.91	2429000	0.0005815	0.629
5857-86-3	cis-2-propylcyclohexanol	655	3390000	0.0004788	
586-62-9	terpinolene	667	2820000	0.000493	0.376
58654-67-4	5-methyl-2-octanone	629.65	2467000	0.0005338	0.541
5867-91-4	methyl propyl sulfate	792	6890000	0.000398	0.162
58670-89-6	2-decyl-1-tetradecanol	831.6	990000	0.0013608	
587-02-0	m-ethylaniline	695.58	3684000	0.000432	0.433
587-03-1	3-methylbenzenemethanol	681	3910000	0.000387	0.751
5870-93-9	heptyl butanoate	675.5	1750000	0.000693	0.496
5876-87-9	1,11-dodecadiene	696	2600000	0.0005602	
58766-17-9	2-chloro-5-methylhexane	621.08	2693000	0.0004765	0.418
5877-76-9	ethylhexadecylamine	754.8	1190000	0.00106	0.907
58795-24-7	5,6-dimethyl-2-heptanol	623.04	2587000	0.0005405	0.782
588-47-6	N-isobutylaniline	690	2985000	0.0005255	0.69
588-59-0	stilbene	788.5	2740000	0.000581	0.481
5881-17-4	3-ethyloctane	613.6	2189000	0.000561	0.446
589-16-2	p-ethylaniline	695.58	3684000	0.000432	0.433
589-18-4	4-methylbenzenemethanol	681	3920000	0.000387	0.748
589-33-3	1-butyl-1H-pyrrole	670	3750000	0.00039	
589-34-4	3-methylhexane	535.2	2810000	0.000404	0.32
589-35-5	3-methyl-1-pentanol	588	3400000	0.00038	0.723
589-37-7	1,3-diaminopentane	637.67	4210000	0.000358	0.591
589-38-8	3-hexanone	582.82	3320000	0.000378	0.38
589-40-2	sec-butyl formate	546	3580000	0.000336	0.349
589-43-5	2,4-dimethylhexane	553.5	2560000	0.000472	0.344
589-53-7	4-methylheptane	561.74	2542000	0.000476	0.371
589-55-9	4-heptanol	583.1	3121000	0.0004405	0.764
589-59-3	2-methylpropyl isopentanoate	614.21	2308000	0.0005096	0.771
589-62-8	4-octanol	604.27	2811000	0.0004965	0.806
589-63-9	4-octanone	624	2640000	0.000469	0.528
589-75-3	butyl octanoate	667	1893000	0.0007173	0.699
589-81-1	3-methylheptane	563.67	2546000	0.000464	0.372
589-82-2	3-heptanol	585.83	3121000	0.0004405	0.764
589-90-2	1,4-dimethylcyclohexane	597.51	2951000	0.000455	0.236
589-91-3	4-methylcyclohexanol; (cis+trans)	635	3790000	0.000414	0.685
589-92-4	4-methylcyclohexanone	650	3550000	0.0003776	
589-93-5	2,5-dimethylpyridine	644.2	3980000	0.000367	0.379
589-98-0	3-octanol	601.72	2811000	0.0004965	0.806
58958-60-4	isostearyl neopentanoate	798	1060000	0.0012047	
59-67-6	3-pyridinecarboxylic acid	760	4640000	0.000349	0.596
590-01-2	butyl propanoate	594.6	2800000	0.000442	0.464
590-13-6	cis-1-bromo-1-propene	523.23	5213000	0.0002455	0.268
590-14-7	1-bromo-1-propene	526.38	5185000	0.0002463	0.265
590-15-8	trans-1-bromo-1-propene	531.77	5213000	0.0002455	0.268
590-18-1	cis-2-butene	435.58	4206000	0.000234	0.203
590-19-2	1,2-butadiene	452	4360000	0.00022	0.166
590-21-6	1-chloro-1-propene	492.64	4604000	0.0002333	0.181
590-35-2	2,2-dimethylpentane	520.5	2770000	0.000416	0.287
590-36-3	2-methyl-2-pentanol	559.5	3470000	0.00038	0.579
590-50-1	4,4-dimethyl-2-pentanone	580.9	3059000	0.0004225	0.387
590-66-9	1,1-dimethylcyclohexane	591.15	2938000	0.00045	0.233
590-67-0	1-methylcyclohexanol	686	4000000	0.000374	0.221
590-73-8	2,2-dimethylhexane	549.8	2530000	0.000478	0.338
590-86-3	3-methylbutanal	544.62	3829000	0.0003265	0.388
590-87-4	2-fluoropentane	493.55	3322000	0.0003275	0.298
590-88-5	1,3-butanediamine	612.33	4610000	0.0003161	0.533
590-94-3	isobutyl isocyanide	563.17	3400000	0.0003355	0.397
59006-05-2	1-fluoro-2,2-dimethylpropane	478.83	3365000	0.0003225	0.238
5908-87-2	ethyl docosanoate	815	1010000	0.0012846	
591-17-3	m-bromotoluene	699	4370000	0.000379	0.318
591-21-9	1,3-dimethylcyclohexane	597.51	2951000	0.000455	0.236
591-22-0	3,5-dimethylpyridine	667.2	3870000	0.000367	0.364
591-23-1	3-methylcyclohexanol; (cis+trans)	635	3790000	0.000414	0.685
591-24-2	3-methylcyclohexanone	650	3550000	0.0003776	
591-34-4	1-methylpropyl propanoate	579	2810000	0.000442	0.602
591-47-9	4-methylcyclohexene	579.3	3678000	0.0003465	0.241
591-48-0	3-methylcyclohexene	578.88	3678000	0.0003465	0.241
591-49-1	1-methylcyclohexene	590.94	3678000	0.0003465	0.241
591-50-4	iodobenzene	721.15	4519000	0.000351	0.247
591-68-4	butyl pentanoate	629	2330000	0.000547	0.596
591-76-4	2-methylhexane	530.4	2740000	0.000421	0.328
591-78-6	2-hexanone	587.61	3287000	0.000378	0.385
591-80-0	4-pentenoic acid	676	4006000	0.0003225	0.426
591-87-7	allyl acetate	559	3680000	0.000323	0.388
591-93-5	1,4-pentadiene	479	3740000	0.000303	0.084
591-95-7	1,2-pentadiene	500	3800000	0.000276	0.154
591-96-8	2,3-pentadiene	497	3800000	0.000295	0.218
591-97-9	1-chloro-2-butene	532.24	3967000	0.0002888	0.242
5910-75-8	ditridecylamine	851.92	730000	0.0015265	
5910-77-0	tritridecylamine	985.94	412000	0.0022575	
59104-79-9	1,1-dibromoheptane	700.05	3288000	0.0005455	0.571
59104-80-2	1,1-dibromodecane	741.82	2422000	0.0007135	0.701
5911-04-6	3-methylnonane	613	2160000	0.000583	0.465
5911-05-7	4-ethylnonane	624.66	1948000	0.0006455	0.507
59128-91-5	3-iodo-3-methyl-1-butene	622.45	3633000	0.0003735	0.207
59129-74-7	4,5-dimethylquinoline	773.01	3353000	0.0005145	0.497
5913-13-3	R-(-)-cyclohexylethylamine	642	3100000	0.0004487	
59130-69-7	hexadecyl 2-ethylhexanoate	815	1010000	0.001278	
592-13-2	2,5-dimethylhexane	550	2490000	0.000482	0.358
592-27-8	2-methylheptane	559.64	2484000	0.000488	0.377
592-41-6	1-hexene	504	3210000	0.000355	0.286
592-42-7	1,5-hexadiene	507	3350000	0.000339	0.232
592-43-8	2-hexene	506.59	3205000	0.0003523	0.25
592-44-9	1,2-hexadiene	526	3350000	0.000331	0.276
592-45-0	1,4-hexadiene	510	3350000	0.000331	0.28
592-46-1	2,4-hexadiene	526.51	3494000	0.0003324	0.25
592-47-2	hex-3-ene	506.59	3205000	0.0003523	0.25
592-48-3	1,3-hexadiene, cis and trans	526.51	3494000	0.0003324	0.25
592-49-4	2,3-hexadiene	523.91	3673000	0.0003315	0.253
592-50-7	1-fluoropentane	496.7	3160000	0.000333	0.344
592-57-4	1,3-cyclohexadiene	558	4730000	0.000277	0.231
592-65-4	diisobutyl sulfide	658.04	2559000	0.0005375	0.447
592-76-7	1-heptene	537.3	2920000	0.000409	0.344
592-77-8	2-heptene	537.61	2969000	0.000403	0.294
592-78-9	3-heptene	537.61	2969000	0.000403	0.294
592-84-7	butyl formate	559	3510000	0.000336	0.388
592-99-4	oct-4-ene	564.74	2694000	0.0004588	0.328
59204-02-3	3,7-dimethyl-1-octanol, (±)	629	2355000	0.000598	0.793
5921-84-6	1-propylbutyl acetate	643.9	2190000	0.000577	0.499
59222-86-5	2,2-dimethyltetradecane	708.68	1337000	0.0009692	0.632
593-03-3	3-hexadecanol	757.6	1500000	0.00092	0.756
593-08-8	2-tridecanone	707.26	1732000	0.0007695	0.727
593-32-8	2-octadecanol	773.9	1300000	0.001043	0.832
593-39-5	trans-6-octadecenoic acid	966	1500000	0.0011203	
593-45-3	octadecane	747	1270000	0.0010886	0.811
593-49-7	heptacosane	826	883000	0.0016259	1.214
593-50-0	1-triacontanol	881.6	740000	0.0018322	
593-53-3	methyl fluoride	317.42	5875000	0.000113	0.198
593-60-2	vinyl bromide	473	7180000	0.0002	0.277
593-66-8	vinyl iodide	536.99	5176000	0.0002165	0.165
593-70-4	chlorofluoromethane	427	5620000	0.000154	0.211
593-75-9	methyl isocyanide	517.86	4856000	0.0001735	0.294
593-95-3	carbonyl bromide	532.92	6227000	0.00018643	
5932-79-6	4-nonanol	618.15	2546000	0.0005525	0.846
594-02-5	1,1-diiodoethane	723.89	4783000	0.0003175	0.199
594-11-6	methylcyclopropane	437.13	4615000	0.0002165	0.198
594-16-1	2,2-dibromopropane	607.05	5495000	0.0003165	0.325
594-20-7	2,2-dichloropropane	539.46	4104000	0.0002905	0.198
594-21-8	1,1,1-triiodoethane	838.1	4711000	0.0004005	0.182
594-34-3	1,2-dibromo-2-methylpropane	644.38	4789000	0.0003725	0.369
594-36-5	2-chloro-2-methylbutane	548.97	3396000	0.0003535	0.233
594-37-6	1,2-dichloro-2-methylpropane	584.32	3642000	0.0003465	0.247
594-38-7	2-iodo-2-methylbutane	573.79	4136000	0.0003235	0.623
594-39-8	1,1-dimethylpropylamine	526	3660000	0.000367	0.32
594-44-5	ethanesulfonyl chloride	682	4740000	0.000204	0.369
594-51-4	2,3-dibromo-2-methylbutane	668.37	4255000	0.0004225	0.377
594-52-5	2-bromo-2,3-dimethylbutane	595.92	3436000	0.0004225	0.341
594-56-9	2,3,3-trimethyl-1-butene	531	3140000	0.000381	0.239
594-57-0	2-chloro-2,3-dimethylbutane	581.14	3073000	0.0004035	0.254
594-59-2	2-iodo-2,3-dimethylbutane	597.98	3669000	0.0003795	0.668
594-60-5	2,3-dimethyl-2-butanol	564.4	3450000	0.000374	0.496
594-61-6	2-hydroxy-2-methylpropanoic acid	664	4920000	0.000301	0.983
594-70-7	2-nitro-2-methylpropane	592	3500000	0.000337	0.383
594-81-0	2,3-dibromo-2,3-dimethylbutane	684.21	3682000	0.0004895	0.526
594-82-1	2,2,3,3-tetramethylbutane	568	2870000	0.000461	0.245
594-83-2	2,3,3-trimethyl-2-butanol	568.02	3228000	0.0004245	0.595
594-84-3	2,2-dichloro-3,3-dimethylbutane	633.09	2891000	0.0004635	0.397
5943-30-6	di-sec-butyl disulfide	704.16	2624000	0.0005915	0.529
5944-41-2	2-tert-butylpyridine	673	3000000	0.0004694	
595-37-9	2,2-dimethylbutanoic acid	653	3410000	0.000389	0.567
595-38-0	3-chloro-2,3-dimethylpentane	621.08	2693000	0.0004765	0.418
595-41-5	2,3-dimethyl-3-pentanol	573.26	3188000	0.0004295	0.662
595-42-6	2-nitro-2-methylbutane	615	3200000	0.000388	0.421
5951-19-9	selenosulfide, carbon	576.53	7412000	0.00017718	0.316
5954-71-2	2,cis-3-dimethylthiacyclopropane	537.89	4380000	0.0002615	0.218
5955-98-6	2,trans-3-dimethylthiacyclopropane	537.89	4380000	0.0002615	0.218
59562-82-2	3,3-dimethyl-1,2-butanediol	634.56	3991000	0.0003925	1.105
59570-04-6	ethylundecylamine	693.1	1690000	0.000785	0.738
59570-06-8	ethyltridecylamine	720.6	1460000	0.000895	0.811
5963-14-4	8-methylnonanoic acid	713	2250000	0.0006	0.877
59643-75-3	2,3-dimethyl-cis3-hexene	567.08	2710000	0.0004585	0.322
59654-13-6	2-iodohexane	611.98	3620000	0.0003845	0.739
5969-12-0	2,6-heptanediol	660.11	3501000	0.0004535	1.212
59697-51-7	trans-1,2-dichloro-1-hexene	660	3200000	0.0004096	
59697-55-1	cis-1,2-dichloro-1-hexene	660	3200000	0.0004096	
597-05-7	2-methyl-3-ethyl-3-pentanol	591.68	2869000	0.0004855	0.706
597-49-9	3-ethyl-3-pentanol	573.17	3160000	0.0004355	0.695
597-76-2	3-ethyl-3-hexanol	586.95	2844000	0.0004915	0.738
597-77-3	5-methyl-3-ethyl-3-hexanol	599.36	2595000	0.0005415	0.748
597-90-0	4-ethyl-4-heptanol	605.58	2574000	0.0005475	0.78
597-93-3	5-butyl-5-nonanol	724.8	1835000	0.0007585	0.642
597-96-6	3-methyl-3-hexanol	573.58	3160000	0.0004355	0.695
5970-63-8	2-methyl-2-ethyl-1-pentanol	611.53	2844000	0.0004915	0.738
59734-23-5	5-methyl-4-octanol	606.35	2566000	0.0005465	0.814
59739-66-1	1-fluoro-2-methyl-1-propene	475.39	3956000	0.0002585	0.227
5978-70-1	(R)-(-)-2-octanol	600.92	2849000	0.000488	0.733
598-01-6	4-methyl-4-heptanol	589.8	2844000	0.0004915	0.738
598-03-8	dipropyl sulfone	763	3110000	0.000463	0.582
598-04-9	dibutyl sulfone	767	2540000	0.000569	0.688
598-17-4	1,1-dibromopropane	624.11	5407000	0.0003215	0.39
598-23-2	3-methyl-1-butyne	463.2	4200000	0.000275	0.308
598-25-4	3-methyl-1,2-butadiene	490	3830000	0.000291	0.187
598-26-5	2-methyl-1-propeN-1-one	555	4760000	0.0002698	
598-29-8	1,2-diiodopropane	780.49	4206000	0.0003735	0.237
598-32-3	1-methyl-2-propeN-1-ol	559	5220000	0.0002232	
598-45-8	isopropyl isocyanide	541.04	3815000	0.0002795	0.353
598-53-8	methyl isopropyl ether	464.48	3762000	0.000276	0.266
598-56-1	dimethylethylamine	500	3663000	0.00029	0.097
598-61-8	methylcyclobutane	477.75	4200000	0.0002645	0.213
598-71-0	DL-2,3-dibromobutane	656.19	4769000	0.0003715	0.403
598-73-2	bromotrifluoroethylene	432	4480000	0.000239	0.175
598-74-3	1,2-dimethylpropylamine	527.4	3540000	0.000339	0.393
598-75-4	3-methyl-2-butanol	556.1	3870000	0.000327	0.512
598-76-5	1,1-dichloro-2-methylpropane	576.09	3629000	0.0003455	0.278
598-77-6	1,1,2-trichloropropane	619.96	3901000	0.0003385	0.287
598-96-9	3,4,4-trimethyl-2-pentene	564.74	2694000	0.0004588	0.328
598-98-1	methyl tert-pentanoate	565.5	3070000	0.0003905	0.404
5984-58-7	6-methyl-2-heptanamine, (±)	601.45	2652000	0.0005176	0.5
59871-24-8	trans-1-chloro-1-octene	640.48	2574000	0.0005125	0.43
5988-91-0	tetrahydroneral	656.59	2236000	0.0006015	0.612
59889-45-1	2-chloro-2,3-dimethylpentane	621.08	2693000	0.0004765	0.418
5989-27-5	D-limonene	660	2750000	0.000524	0.312
5989-54-8	L-limonene	660	2750000	0.000524	0.313
599-02-0	2-nitro-3,3-dimethylbutane	634.21	3247000	0.0004365	0.427
599-64-4	p-cumylphenol	834	2860000	0.000703	0.689
59967-14-5	4-iodo-1-pentene	615.43	3586000	0.0003785	0.267
59973-07-8	2-thiaundecane	701.03	2141000	0.0006495	0.551
59973-08-9	3-thiadodecane	717.91	1963000	0.0007055	0.592
60-00-4	ethylenediaminetetraacetic acid	809	2230000	0.000798	1.692
60-09-3	p-aminoazobenzene	877	2900000	0.000642	0.635
60-12-8	2-phenylethanol	684	3920000	0.000387	0.743
60-24-2	2-mercaptoethanol	629	6270000	0.000219	0.672
60-29-7	diethyl ether	466.7	3640000	0.00028	0.281
60-33-3	linoleic acid	775	1410000	0.00099	1.18
60-35-5	acetamide	761	6600000	0.000215	0.421
600-06-6	1-chloro-2,3-dimethylbutane	586.34	3036000	0.0004085	0.314
600-07-7	2-methylbutanoic acid	643	3890000	0.000347	0.589
600-10-2	1,2-dichloro-3-methylbutane	620.02	3243000	0.0004015	0.323
600-11-3	2,3-dichloropentane	614.06	3243000	0.0004015	0.323
600-24-8	2-nitrobutane	615	3600000	0.0003355	0.357
600-36-2	2,4-dimethyl-3-pentanol	568.11	3178000	0.0004285	0.697
6006-06-0	12-tridecenoic acid	836	1900000	0.0007763	
6006-15-1	diethylisopropylamine	552.49	2941000	0.0004595	0.406
6006-33-3	tridecylcyclohexane	783.38	1242000	0.0010325	0.7
6006-34-4	tridecylcyclopentane	766.47	1307000	0.0009845	0.697
6006-90-2	13-phenylpentacosane	901.84	670000	0.0016635	
6006-95-7	pentadecylcyclohexane	803.46	1090000	0.0011445	0.733
6007-54-1	thiacyclononane	751.38	3547000	0.0004395	0.27
60096-09-5	1,5-heptanediol	660.61	3517000	0.0004525	1.181
60111-14-0	3-methyl-4-hexeN-3-ol	601	3500000	0.000341	
6012-97-1	tetrachlorothiophene	753	3670000	0.000428	0.361
60186-78-9	3-tridecyne	692.34	1881000	0.0007255	0.539
60212-29-5	2-undecyne	669.5	2238000	0.0006135	0.456
60212-30-8	3-undecyne	661.12	2238000	0.0006135	0.456
60212-31-9	4-undecyne	660.54	2229000	0.0006135	0.46
60212-32-0	3-tetradecyne	705.58	1733000	0.0007815	0.579
60247-14-5	methylethylisobutylamine	550.32	2941000	0.0004595	0.406
60251-57-2	2-bromooctane, (±)-	665.09	2721000	0.0005455	0.524
603-35-0	triphenylphosphine	1008	7840000	0.000554	0.452
60302-21-8	4-tert-butylheptane	622.21	1981000	0.0006345	0.419
60302-23-0	2,2,4,4,5-pentamethylhexane	637.53	2015000	0.0006235	0.333
60302-24-1	2,2,3,3,5,5-hexamethylhexane	661.75	1869000	0.0006745	0.318
60302-27-4	2,2,3,3,4,4-hexamethylpentane	672.56	2035000	0.0006185	0.275
60302-28-5	2,2-dimethyl-3,3-diethylpentane	651.51	2000000	0.0006295	0.361
6031-02-3	(1-methylpentyl)benzene	697.15	2361000	0.000602	0.437
6032-29-7	2-pentanol	560.3	3675000	0.000329	0.559
6033-23-4	(S)-(+)-2-heptanol	587.2	3151000	0.0004341	0.709
6033-24-5	(R)-(-)-2-heptanol	587.2	3151000	0.0004341	0.709
604-88-6	hexaethylbenzene	746	1730000	0.000923	0.753
60415-61-4	1-methylbutyl butanoate	610	2330000	0.0005	0.845
60435-70-3	2-methyl-1-heptanol	602.93	2811000	0.0004965	0.806
60468-23-7	1-bromo-1-pentene	586.22	4033000	0.0003562	0.334
6048-83-5	thiacyclodecane	771.03	3265000	0.0004875	0.284
605-01-6	pentaethylbenzene	731	1890000	0.000813	0.67
605-02-7	1-phenylnaphthalene	849	2630000	0.000656	0.531
605-39-0	2,2'-dimethylbiphenyl	761.6	3130000	0.000593	0.477
60564-76-3	4,5-dimethyl-1-hexanol	614.62	2835000	0.0004905	0.773
60595-37-1	trans-1-iodo-1-heptene	677.01	2891000	0.0004955	0.375
606-20-2	2,6-dinitrotoluene	770	3400000	0.000455	0.714
606-46-2	N,N-diethyl-2-methylaniline	700	2750000	0.0005661	
6061-10-5	3-methyloctanoic acid	703	2450000	0.000547	0.831
6064-27-3	6-dodecanone	687.46	1879000	0.0007135	0.691
6064-63-7	DL-a-hydroxycaproic acid	683	3640000	0.000402	1.137
6064-90-0	methyl heneicosanoate	764	1110000	0.001124	
6065-90-3	1,2-dichloro-4,4-dimethylpentane	654.02	2614000	0.0005195	0.442
6065-93-6	1,1-dichloro-2-methyl-1-propene	640	3798000	0.000332	0.302
60669-40-1	3-undecene	637.84	2023000	0.0006378	0.504
60671-32-1	3-methyl-2-nonanol	640.97	2334000	0.0006025	0.852
60671-36-5	2-methyl-3-undecanol	712.9	1970000	0.0007045	0.635
60676-86-0	silicon dioxide (vitreous)	5021.49	78813000	0.00013879	
6068-69-5	N-sec-butylaniline	690	2985000	0.0005255	0.69
6069-98-3	cis-1-methyl-4-isopropylcyclohexane	667	2570000	0.000534	0.274
60703-31-3	2,5-dimethyl-4-hexeN-3-ol	615	3100000	0.0003875	
6071-27-8	1,3-decanediol	710.95	2535000	0.0006275	1.309
6071-32-5	1,3-undecanediol	723.65	2307000	0.0006835	1.317
6079-57-8	4,4-dimethyl-2-thiapentane	602.51	3236000	0.0004145	0.29
608-25-3	1,3-dihydroxy-2-methylbenzene	801.7	6132000	0.0001875	0.565
608-93-5	pentachlorobenzene	791.17	3428000	0.0005085	0.493
60836-07-9	2,4,6-trimethyl-4-heptanol	607.76	2377000	0.0005915	0.757
60899-39-0	2-dodecylnaphthalene	862.23	1304000	0.0010815	0.807
609-26-7	3-ethyl-2-methylpentane	567	2700000	0.0004428	0.329
609-27-8	3-ethyl-2-pentanol	582.81	3149000	0.0004345	0.731
609-72-3	2-methyl-N,N-dimethylaniline	705.58	3284000	0.000482	0.413
6094-02-6	2-methyl-1-hexene	538	2870000	0.000398	0.309
610-39-9	3,4-dinitrotoluene	842	3400000	0.000487	0.709
61064-08-2	3,4-dimethyl-1-pentyne	539.46	3357000	0.0003775	0.241
6108-61-8	cis-2,cis-4-hexadiene	539.46	3501000	0.0003315	0.256
611-12-1	2-(diethylamino)-1-propanol	716	3300000	0.0004683	
611-14-3	o-ethyltoluene	650	3290000	0.000427	0.335
611-15-4	o-methylstyrene	659	3470000	0.000407	0.341
611-19-8	1-chloro-2-(chloromethyl)benzene	710	3620000	0.000404	0.343
611-21-2	N,2-dimethylaniline	695.58	3684000	0.000432	0.433
611-32-5	8-methylquinoline	764.56	3829000	0.0004585	0.452
611-43-8	2,3'-trimethylbiphenyl	781.7	3130000	0.000593	0.495
611-61-0	2,4'-dimethlbiphenyl	788.2	3130000	0.000593	0.455
6111-88-2	2-chloro-2,4,4-trimethylpentane	642.41	2443000	0.0005325	0.462
6117-80-2	cis-2-butene-1,4-diol	678	5200000	0.000279	1.175
6117-91-5	2-buteN-1-ol	559	5220000	0.0002232	
6117-98-2	2,3-dimethyldodecane	686.04	1543000	0.0008075	0.595
6117-99-3	2,4-dimethyldodecane	668.89	1543000	0.0008075	0.595
6118-14-5	1-methyl-2-propeN-1-ol, (+,-)	559	5220000	0.0002232	
612-00-0	1,1-diphenylethane	775	2680000	0.000604	0.457
612-12-4	1,2-bis(chloromethyl)benzene	735	3300000	0.000446	
612-58-8	3-methylquinoline	770.99	3829000	0.0004585	0.452
612-60-2	7-methylquinoline	778.95	3829000	0.0004585	0.452
612-75-9	3,3'-dimethylbiphenyl	796.1	3130000	0.000593	0.512
61228-10-2	5-ethyl-5-methyl-3-heptyne	642.22	2446000	0.0005575	0.417
613-33-2	4,4'-dimethylbiphenyl	817.7	3130000	0.000593	0.443
613-48-9	N,N-diethyl-4-methylaniline	700	2750000	0.0005661	
613-97-8	N-ethyl-N-methylaniline	705.58	3284000	0.000482	0.413
6130-96-7	1,1-dichloro-3,3-dimethylbutane	633.09	2891000	0.0004635	0.397
6131-24-4	3-methylhexane, (S)-	532.41	2833000	0.0004124	0.301
6137-03-7	3-ethyl-2-pentanone	590.99	3022000	0.0004275	0.451
6137-08-2	3-methyl-2-octanone	629.65	2467000	0.0005338	0.541
6137-15-1	4-methyl-3-octanone	629.65	2467000	0.0005338	0.541
6137-26-4	4-dodecanone	687.46	1879000	0.0007135	0.691
61394-27-2	3,trans-5-dimethylcyclopentene	557.42	3432000	0.0003535	0.245
6140-80-3	3-(1-methylethoxy)-1-propene	536	3120000	0.000364	0.38
6144-93-0	4,4-dimethyl-2-pentanol	570.48	3188000	0.0004295	0.662
615-29-2	4-methyl-3-hexanol	578.7	3149000	0.0004345	0.731
615-39-4	trans-2-methylcyclohexanol, (±)	635	3790000	0.000414	0.685
61531-45-1	pentyl nonanoate	695	1660000	0.0008074	
61539-75-1	4,5-dibromooctane	716.02	2954000	0.0006015	0.616
61568-48-7	3-ethylthiacyclohexane	646.42	3497000	0.0004065	0.288
6158-45-8	1-isopropylnaphthalene	769.66	2779000	0.0005715	0.463
616-02-4	3-methyl-2,5-furandione	721	5840000	0.000272	0.57
616-12-6	trans-3-methyl-2-pentene	517	3190000	0.000343	0.263
616-13-7	1-chloro-2-methylbutane	561.92	3353000	0.0003585	0.299
616-19-3	1,3-dichloro-2-methylpropane	616.35	3594000	0.0003515	0.308
616-20-6	3-chloropentane	557.79	3353000	0.0003585	0.299
616-21-7	1,2-dichlorobutane	600	3680000	0.000343	0.299
616-23-9	2,3-dichloro-1-propanol	647	4500000	0.000308	0.699
616-24-0	3-pentanamine	525.16	3540000	0.0003458	0.379
616-25-1	1-penteN-3-ol	573	4550000	0.0002584	
616-31-9	3-pentanethiol	580	3400000	0.000383	0.317
616-38-6	dimethyl carbonate	548	4500000	0.000251	0.385
616-39-7	methyldiethylamine	507.56	3629000	0.0003535	0.347
616-43-3	3-methylpyrrole	610	4770000	0.000283	0.213
616-44-4	3-methylthiophene	613	4910000	0.000276	0.24
