CASRN	Chemical	Tc	Pc	Vc	omega
19549-77-0	2,4-dimethyl-4-heptanol	598.55	2595000	0.0005415	0.748
19549-78-1	3,3-dimethyl-4-heptanol	604.74	2595000	0.0005415	0.748
19549-79-2	3,5-dimethyl-4-heptanol	616.34	2587000	0.0005405	0.782
19549-83-8	2,6-dimethyl-3-heptanone	629.65	2467000	0.0005338	0.541
19549-84-9	3,5-dimethyl-4-heptanone	629.65	2467000	0.0005338	0.541
19549-97-4	2,6-dimethyl-3-heptyne	621.49	2696000	0.0005015	0.373
19550-02-8	2,3-dimethyl-1-hexanol	603.81	2835000	0.0004905	0.773
19550-03-9	2,3-dimethyl-2-hexanol	591.82	2869000	0.0004855	0.706
19550-05-1	3,4-dimethyl-2-hexanol	603.29	2860000	0.0004845	0.741
19550-07-3	2,5-dimethyl-3-hexanol	587	2860000	0.0004845	0.741
19550-08-4	3,4-dimethyl-3-hexanol	580.75	2869000	0.0004855	0.706
19550-09-5	4,4-dimethyl-3-hexanol	590.31	2869000	0.0004855	0.706
19550-10-8	3,4-dimethyl-2-hexanone	624	2640000	0.000469	0.528
19550-14-2	4,4-dimethyl-3-hexanone	624	2640000	0.000469	0.528
19550-30-2	2,3-dimethyl-1-butanol	599	3470000	0.000373	0.576
19550-40-4	3,cis-6-dimethylcyclohexene	597.92	3163000	0.0004015	0.26
19550-48-2	1,4-dimethylcyclopentene	560.17	3432000	0.0003535	0.245
19550-81-3	3,4-dimethyl-cis2-hexene	570.01	2710000	0.0004585	0.322
19550-82-4	3,4-dimethyl-trans-2-hexene	570.01	2710000	0.0004585	0.322
19550-83-5	4,4-dimethyl-trans-2-hexene	560.54	2727000	0.0004525	0.287
19550-87-9	3,4-dimethyl-cis3-hexene	578	2701000	0.0004655	0.326
19550-88-0	3,4-dimethyl-trans-3-hexene	578	2701000	0.0004655	0.326
19624-22-7	pentaborane	568.45	4641000	0.0002851	
19655-56-2	8-ethylquinoline	761.28	3412000	0.0005145	0.498
19655-60-8	6-ethylquinoline	771.14	3412000	0.0005145	0.498
19689-18-0	4-decene	616.98	2185000	0.0005813	0.457
1969-43-3	1-ethoxy-heptane	592.67	2298000	0.0005412	0.508
1974-04-5	2-bromoheptane	651	3080000	0.000447	0.444
1975-78-6	decanenitrile	692.64	2060000	0.0006215	0.645
19780-10-0	5-dodecanone	687.46	1879000	0.0007135	0.691
19780-25-7	2-ethylcrotonaldehyde	590	3700000	0.0003101	
19780-39-3	3-ethyl-2-heptanol	606.35	2566000	0.0005465	0.814
19780-41-7	3-ethyl-3-heptanol	609.87	2574000	0.0005475	0.78
19780-44-0	4-ethyl-3-hexanol	590.5	2835000	0.0004905	0.773
19780-63-3	2-methyl-3-ethyl-2-pentanol	588.68	2869000	0.0004855	0.706
19780-65-5	3-ethyl-3-methyl-2-pentanone	624	2640000	0.000469	0.528
19780-66-6	2-methyl-3-ethyl-1-pentene	559.31	2682000	0.0004595	0.332
19780-67-7	2-methyl-3-ethyl-2-pentene	570.68	2701000	0.0004655	0.326
19780-90-6	2,4-hexanediol	649.93	3942000	0.0003969	1.16
19780-96-2	2,8-dimethyl-5-nonanol	696.85	2130000	0.0006505	0.596
19781-10-3	2,3-dimethyl-3-octanol	614.17	2359000	0.0005975	0.788
19781-11-4	2,7-dimethyl-4-octanol	613.56	2352000	0.0005965	0.822
19781-13-6	4,7-dimethyl-4-octanol	618.02	2359000	0.0005975	0.788
19781-24-9	3,3-dimethyl-2-pentanol	582.97	3188000	0.0004295	0.662
19781-27-2	6-ethyl-3-octanol	621.23	2334000	0.0006025	0.852
19781-63-6	4-ethyl-trans-2-hexene	562.03	2696000	0.0004575	0.347
19781-68-1	1-methyl-cis2-ethylcyclopropane	518.53	3472000	0.0003275	0.26
19781-69-2	1-methyl-trans-2-ethylcyclopropane	505.8	3472000	0.0003275	0.26
19781-73-8	heptadecylcyclohexane	823.97	964000	0.0012565	0.748
19781-77-2	6-hepteN-3-ol	601	3500000	0.000341	
19812-64-7	1,14-tetradecanediol	773.63	1768000	0.0008575	1.304
19841-72-6	2,2-dimethyl-3-octanol	620.48	2359000	0.0005975	0.788
1985-57-5	(1,1-dimethylbutyl)benzene	697.15	2361000	0.000602	0.437
1985-59-7	1,2,3,4-tetrahydro-1,1-dimethylnaphthalene	737.62	2773000	0.0005485	0.424
1985-97-3	(1-ethyl-1-methylpropyl)benzene	697.15	2361000	0.000602	0.437
19866-51-4	cis-3-methyl-2-pentenoic acid	696	3300000	0.0003894	
1987-50-4	4-heptylphenol	760.33	2513000	0.0006513	0.61
19879-11-9	cis-1,2-dimethylcyclohexanol	645	3590000	0.0004482	
19879-12-0	trans-1,2-dimethyl cyclohexanol	645	3590000	0.0004482	
19889-37-3	2-ethyl-2-methylbutanoic acid	680	2990000	0.000442	0.717
19902-08-0	βpinene, (1R)	647	2780000	0.0005053	0.341
19902-98-8	1,cis-3-dimethyl-trans-2-ethylcyclopentane	599.81	2582000	0.0004785	0.309
19902-99-9	1,trans-3-dimethyl-cis2-ethylcyclopentane	610.05	2582000	0.0004785	0.309
19903-00-5	1,cis-3-dimethyl-cis2-ethylcyclopentane	621.75	2582000	0.0004785	0.309
19907-40-5	1,trans-2,trans-3,cis-4-tetramethylcyclopentane	592.68	2498000	0.0004775	0.284
19947-22-9	(1-ethylallyl)benzene	703	2800000	0.0005213	
19961-27-4	ethylisopropylamine	513.8	3490000	0.000345	0.403
20024-90-2	1-ethyl-4-propylbenzene	679.41	2608000	0.0005435	0.442
20024-91-3	1-ethyl-3-propylbenzene	673.72	2608000	0.0005435	0.442
20027-77-4	1,2,3,4-tetrahydro-5,6-dimethylnaphthalene	737.62	2773000	0.0005485	0.424
20030-32-4	1,4,5-trimethylcyclohexene	620	2860000	0.0004518	
20038-12-4	4-bromo-2-methyl-1-butene	569.33	3996000	0.0003595	0.341
2004-67-3	4-methyl-4-penteN-2-ol	587	3900000	0.0003038	
2004-69-5	trans-3-penteN-1-yne	505	4393000	0.0002533	0.189
2004-70-8	trans-1,3-pentadiene	500	3740000	0.000276	0.116
20056-92-2	trans-7-dodeceN-1-ol	671	2000000	0.0006112	
