CASRN	Name 	logP
578-58-5	2-Methylanisole	2.74
100-84-5	3-Methylanisole	2.66
104-93-8	4-Methylanisole	2.81
613-12-7	2-Methylanthracene	5.15
779-02-2	9-Methylanthracene	5.07
529-20-4	2-Methylbenzaldehyde	2.26
2328-24-7	α-Methylbenzeneacetic acid, (±)-	1.8
98-85-1	α-Methylbenzenemethanol	1.42
587-03-1	3-Methylbenzenemethanol	1.6
589-18-4	4-Methylbenzenemethanol	1.58
93-58-3	Methyl benzoate	2.2
644-08-6	4-Methylbiphenyl	4.63
123-51-3	3-Methyl-1-butanol	1.28
75-85-4	2-Methyl-2-butanol	0.89
70116-68-6	3-Methyl-2-butanol, (±)-	1.28
563-80-4	3-Methyl-2-butanone	0.56
1634-04-4	Methyl tert-butyl ether	0.94
108-87-2	Methylcyclohexane	3.88
96-37-7	Methylcyclopentane	3.37
110-42-9	Methyl decanoate	4.41
1730-37-6	1-Methyl-9H-fluorene	4.97
534-22-5	2-Methylfuran	1.85
110-12-3	5-Methyl-2-hexanone	1.88
80-62-6	Methyl methacrylate	1.38
90-12-0	1-Methylnaphthalene	3.87
91-57-6	2-Methylnaphthalene	4
58654-67-4	5-Methyl-2-octanone	2.92
16033-71-9	Methyloxirane	0.03
96-14-0	3-Methylpentane	3.6
108-10-1	4-Methyl-2-pentanone	1.31
691-37-2	4-Methyl-1-pentene	2.5
832-69-9	1-Methylphenanthrene	5.14
140-39-6	4-Methylphenyl acetate	2.11
78-83-1	2-Methyl-1-propanol	0.76
75-65-0	2-Methyl-2-propanol	0.35
109-06-8	2-Methylpyridine	1.11
108-99-6	3-Methylpyridine	1.2
108-89-4	4-Methylpyridine	1.22
96-54-8	1-Methylpyrrole	1.21
96-47-9	2-Methyltetrahydrofuran	1.85
92-24-0	Naphthacene	5.76
91-20-3	Naphthalene	3.34
90-15-3	1-Naphthol	2.84
135-19-3	2-Naphthol	2.7
463-82-1	Neopentane	3.11
98-95-3	Nitrobenzene	1.85
627-05-4	1-Nitrobutane	1.47
79-24-3	Nitroethane	0.18
75-52-5	Nitromethane	-0.33
628-05-7	1-Nitropentane	2.01
108-03-2	1-Nitropropane	0.87
99-99-0	4-Nitrotoluene	2.42
52663-77-1	2,2',3,3',4,5,5',6,6'-Nonachlorobiphenyl	8.16
111-84-2	Nonane	5.65
143-08-8	1-Nonanol	4.02
821-55-6	2-Nonanone	3.16
124-11-8	1-Nonene	5.15
2136-99-4	2,2',3,3',5,5',6,6'-Octachlorobiphenyl	7.1
60-33-3	cis,cis-9,12-Octadecadienoic acid	7.05
463-40-1	cis,cis,cis-9,12,15-Octadecatrienoic acid	6.46
112-80-1	cis-9-Octadecenoic acid	7.64
111-65-9	Octane	5.15
124-12-9	Octanenitrile	2.75
124-07-2	Octanoic acid	3.05
111-87-5	1-Octanol	3.07
4128-31-8	2-Octanol	2.9
74778-22-6	4-Octanol	2.68
111-13-7	2-Octanone	2.37
111-66-0	1-Octene	4.57
2189-60-8	Octylbenzene	6.3
75-21-8	Oxirane	-0.3
608-93-5	Pentachlorobenzene	5.03
18259-05-7	2,3,4,5,6-Pentachlorobiphenyl	6.3
