CASRN	Chemical	Formula	Hfus
112-41-4	1-Dodecene	C12H24	19900
112-53-8	1-Dodecanol	C12H26O	40200
112-70-9	1-Tridecanol	C13H28O	41400
112-72-1	1-Tetradecanol	C14H30O	25100
112-92-5	1-Octadecanol	C18H38O	45000
112-95-8	Eicosane	C20H42	69900
1120-21-4	Undecane	C11H24	22200
115-07-1	Propene	C3H6	3003
115-10-6	Dimethyl ether	C2H6O	4940
115-11-7	Isobutene	C4H8	5920
115-25-3	Perfluorocyclobutane	C4F8	2770
115-77-5	Pentaerythritol	C5H12O4	4800
116-14-3	Tetrafluoroethene	C2F4	7720
117-34-0	α-Phenylbenzeneacetic acid	C14H12O2	31300
118-74-1	Hexachlorobenzene	C6Cl6	25200
118-90-1	o-Toluic acid	C8H8O2	19500
118-91-2	2-Chlorobenzoic acid	C7H5ClO2	25600
118-92-3	Aniline-2-carboxylic acid	C7H7NO2	20500
118-96-7	2,4,6-Trinitrotoluene	C7H5N3O6	22900
119-61-9	Benzophenone	C13H10O	18190
119-65-3	Isoquinoline	C9H7N	13540
120-12-7	Anthracene	C14H10	29400
120-80-9	Pyrocatechol	C6H6O2	22800
120-82-1	1,2,4-Trichlorobenzene	C6H3Cl3	16400
12003-63-3	Potassium aluminate	AlKO2	82000
12003-67-7	Lithium aluminate	AlLiO2	87900
12006-84-7	Iron boride (FeB)	BFe	62660
12006-98-3	Molybdenum monoboride	BMo	55230
12007-01-1	Nickel boride (Ni2B)	BNi2	42150
12007-02-2	Nickel boride (Ni3B)	BNi3	72280
12007-09-9	Tungsten boride	BW	80000
12007-10-2	Tungsten boride (W2B)	BW2	117000
12007-33-9	Boron sulfide	B2S3	48120
12007-35-1	Tantalum boride [TaB2]	B2Ta	83680
12007-97-5	Molybdenum boride [Mo2B5]	B5Mo2	226000
12007-98-6	Tungsten boride [W2B5]	B5W2	240000
12018-06-3	Chromium(II) sulfide	CrS	25500
12020-60-9	Europium(II) oxide	EuO	40000
12024-21-4	Gallium(III) oxide	Ga2O3	100000
12025-32-0	Germanium(II) sulfide	GeS	21300
12025-34-2	Germanium(IV) sulfide	GeS2	16300
12025-39-7	Germanium(II) telluride	GeTe	47300
12027-06-4	Ammonium iodide	H4IN	21000
12030-14-7	Indium(II) sulfide	InS	36000
12030-88-5	Potassium superoxide	KO2	20600
