CASRN	Tb
10361-37-2	1833.15
103628-46-2	425.95
10369-17-2	321.65
10377-51-2	1447
10377-60-3	603.15
10394-35-1	573.15
10395-45-6	506.15
10397-30-5	433.15
104-09-6	494.65
104-23-4	398.15
104-38-1	465.65
104-40-5	568.15
104-43-8	573.15
104-45-0	484.65
104-46-1	508.45
104-47-2	559.65
104-49-4	533.15
104-51-8	456.46
104-52-9	492.65
104-53-0	497.15
104-54-1	527.15
104-55-2	519.15
104-57-4	476.15
104-62-1	468.75
104-63-2	498.15
104-65-4	525.15
104-67-6	559.15
104-72-3	571.04
104-75-6	442.35
104-76-7	457.75
104-78-9	441.65
104-79-0	431.65
104-80-3	538.15
104-81-4	493.15
104-82-5	474.15
104-83-6	496.15
104-84-7	468.15
104-85-8	490.15
104-86-9	488.15
104-87-0	477.15
104-88-1	486.65
104-90-5	451.45
104-92-7	488.15
104-93-8	448.65
104-94-9	516.15
104-95-0	528.05
104-96-1	545.65
104-97-2	472.65
10402-33-2	444.65
10402-52-5	391.15
10403-60-8	416.15
10405-27-3	250.15
104068-42-0	530.15
10410-35-2	493.65
10420-90-3	356.65
10420-91-4	354.85
10422-35-2	393.65
10424-38-1	392.65
10427-00-6	522.15
10428-64-5	446.15
10431-98-8	401.55
10435-81-1	459.55
10436-39-2	440.4
10436-75-6	493.15
104451-70-9	432.15
10447-93-5	494.2
104514-49-0	537.15
10457-90-6	488.35
10458-14-7	480.95
10474-14-3	482.75
10476-85-4	1523.15
10476-95-6	464.15
1048-05-1	673.15
10482-56-1	493.15
10486-19-8	540.15
10487-71-5	397.65
104898-06-8	392.15
10493-44-4	370.55
10495-45-1	538.15
10496-15-8	566.66
10496-16-9	593.86
10496-18-1	663.16
10497-05-9	505.15
10498-35-8	480.05
105-04-4	327.65
105-05-5	456.94
105-08-8	556.15
105-13-5	532.25
105-14-6	476.15
105-30-6	421.15
105-31-7	391.15
105-34-0	478.24
105-36-2	441.65
105-37-3	372.25
105-38-4	368.15
105-39-5	417.35
105-40-8	443.15
105-41-9	405.65
105-42-0	412.15
105-43-1	470.65
105-45-3	444.85
105-46-4	385.15
105-48-6	423.65
105-50-0	523.15
105-53-3	472.05
105-54-4	394.65
105-56-6	479.15
105-57-7	376.65
105-58-8	399.95
105-59-9	520.2
105-60-2	543.15
105-66-8	415.85
105-67-9	484.13
105-68-0	432.65
105-72-6	513.15
105-75-9	558.15
105-76-0	553.15
105-79-3	427.05
105-83-9	505.65
105-87-3	513.15
10500-57-9	495.15
10504-99-1	430.15
105065-24-5	457.15
10519-06-9	502.65
10519-87-6	353.65
10519-97-8	382.15
10523-96-3	375.15
10524-01-3	365.15
10524-07-9	381.15
10524-08-0	370.15
10525-37-8	656.15
10531-13-2	417.15
10537-47-0	382.15
10541-56-7	425.15
10544-63-5	409.65
10544-72-6	294.31
10544-73-7	275.15
10545-99-0	332.75
1055-23-8	782.15
10553-31-8	2108.15
10557-44-5	375.15
10557-71-8	479.15
10568-38-4	470.15
105688-74-2	557.65
10570-69-1	501.15
105728-23-2	477.15
10574-17-1	467.65
10574-36-4	370.41
10574-37-5	370.55
10575-56-1	431.15
10577-44-3	495.15
10580-52-6	1183.15
105836-99-5	461.15
10588-10-0	452.15
10589-74-9	393.15
10595-09-2	414.15
10599-70-9	467.15
106-07-0	601.15
106-20-7	554.25
106-21-8	485.15
106-22-9	498.15
106-23-0	480.15
106-24-1	503.15
106-25-2	498.15
106-27-4	452.15
106-30-9	460.15
106-31-0	470.93
106-32-1	481.65
106-33-2	544.15
106-35-4	420.55
106-36-5	395.65
106-37-6	491.65
106-38-7	457.5
106-39-8	469.15
106-41-2	511.15
106-42-3	411.51
106-43-4	435.65
106-44-5	475.13
106-45-6	468.05
106-46-7	447.21
106-47-8	503.65
106-48-9	493.11
106-49-0	473.57
106-50-3	540
106-52-5	473.15
106-53-6	503.65
106-54-7	479.15
106-55-8	436.95
106-58-1	404.15
106-63-8	405.2
106-65-0	469.35
106-67-2	449.65
106-68-3	440.65
106-70-7	422.65
106-73-0	447.15
106-74-1	447.15
106-75-2	406.15
106-86-5	442.15
106-87-6	500.15
106-88-7	336.57
106-89-8	391.65
106-91-2	462.15
106-92-3	427.15
106-93-4	404.51
106-94-5	344.15
106-95-6	343.16
106-96-7	362.15
106-97-8	272.65
106-98-9	266.9
106-99-0	268.74
10602-34-3	420.65
10604-59-8	525.65
106268-97-7	404.65
106508-62-7	487.15
106513-42-2	460.15
1066-26-8	250.95
1066-27-9	250.65
1066-35-9	308.65
1066-37-1	387.05
1066-38-2	406.65
1066-44-0	437.15
1066-45-1	421.15
1066-54-2	326.05
1066-57-5	470.15
1067-08-9	391.42
1067-10-3	464.05
1067-25-0	415.6
1067-33-0	416.65
1067-53-4	558.15
106742-36-3	406.15
1068-19-5	408.36
1068-27-5	391.65
1068-87-7	409.87
106847-76-1	585.15
1069-08-5	452.15
1069-23-4	362.15
1069-53-0	404.5
107-00-6	281.22
107-01-7	275.5
107-02-8	325.84
107-03-9	340.87
107-04-0	380.15
107-05-1	318.3
107-06-2	356.59
107-07-3	401.75
107-08-4	375.6
107-10-8	321
107-11-9	326.45
107-12-0	370.5
107-13-1	350.5
107-14-2	399.65
107-15-3	390.41
107-18-6	370.23
107-19-7	386.75
107-20-0	358
107-21-1	470.45
107-22-2	323.55
107-25-5	278.65
107-29-9	388.35
107-30-2	332.65
107-31-3	304.9
107-37-9	390.65
107-39-1	374.59
107-40-4	378.06
107-41-5	470.65
107-44-8	420.15
107-45-9	413.15
107-46-0	373.67
107-47-1	422.25
107-48-2	414.05
107-51-7	425.7
107-52-8	532.9
107-53-9	595.95
107-54-0	423.65
107-59-5	423.15
107-70-0	433.15
107-72-2	445.15
107-74-4	538.15
107-80-2	448.15
107-81-3	390.55
107-82-4	393.55
107-83-5	333.41
107-84-6	371.66
107-85-7	370.15
107-86-8	407.15
107-87-9	375.46
107-88-0	481.38
107-92-6	436.65
107-93-7	458.15
107-96-0	501
107-98-2	393.25
107-99-3	450.65
1070-01-5	679.15
1070-19-5	352.15
1070-32-2	459.15
1070-71-9	315.65
1070-78-6	432.15
1070-83-3	460.65
1070-87-7	395.44
1070-89-9	340.15
1071-22-3	490.47
1071-26-7	405.84
1071-27-8	510.65
1071-31-4	458.15
1071-73-4	482.15
1071-81-4	410.61
1071-84-7	517.15
1071-94-9	426.15
1071-98-3	349.65
1072-05-5	408.36
1072-16-8	433.03
1072-43-1	347.55
1072-44-2	300.65
1072-47-5	355.45
1072-52-2	441.15
1072-62-4	541.15
1072-72-6	413.97
1072-83-9	493.15
1072-85-1	427.15
1072-91-9	443.15
1073-06-9	423.15
1073-07-0	418.15
1073-67-2	465.15
1074-11-9	506.65
1074-17-5	457.95
1074-24-4	534.15
1074-29-9	499.15
1074-43-7	454.95
1074-55-1	456.45
1074-92-6	473.6
107494-37-1	502.15
1075-38-3	462.41
1075-61-2	282.65
1075-74-7	474.15
107555-93-1	524.15
107559-02-4	467.85
107574-57-2	586.15
1076-43-3	345.43
1076-55-7	540.65
1076-56-8	406.15
1076-61-5	525.15
107667-60-7	450.65
1077-16-3	499.26
1077-28-7	435.65
107796-29-2	523.65
107796-30-5	523.65
1078-58-6	555.65
1078-71-3	519.25
1078-79-1	370.15
1079-01-2	446.15
1079-66-9	593.15
1079-71-6	567.15
108-00-9	378.65
108-01-0	407.15
108-03-2	404.33
108-05-4	345.65
108-08-7	353.64
108-09-8	381.65
108-10-1	389.15
108-11-2	404.85
108-12-3	387.15
108-16-7	397.65
108-18-9	357.05
108-20-3	341.45
108-21-4	361.65
108-22-5	367.15
108-23-6	378.15
108-24-7	412.7
108-27-0	521.15
108-29-2	480.65
108-30-5	536.58
108-31-6	475.15
108-32-7	514.85
108-36-1	491.15
108-37-2	469.15
108-38-3	412.27
108-39-4	475.43
108-40-7	468.25
108-41-8	435.45
108-42-9	501.65
108-43-0	487
108-44-1	476.52
108-45-2	560
108-46-3	549.65
108-47-4	431.55
108-48-5	417.2
108-49-6	435.15
108-50-9	428.75
108-55-4	562.69
108-57-6	472.65
108-58-7	551.15
108-59-8	454.55
108-60-1	460.15
108-64-5	407.45
108-65-6	418.95
108-67-8	437.89
108-68-9	494.89
108-69-0	493.65
108-70-3	481.55
108-71-4	557.15
108-74-7	435.9
108-75-8	443.7
108-77-0	465.15
108-78-1	704
108-82-7	451
108-83-8	441.41
108-84-9	420.39
108-85-0	439.35
108-86-1	429.24
108-87-2	374.08
108-88-3	383.78
108-89-4	418.5
108-90-7	404.87
108-91-8	407.65
108-93-0	434
108-95-2	454.99
108-97-4	485.65
108-98-5	442.29
108-99-6	417.29
1080-52-0	398.15
1081-75-0	571.85
1081-77-2	555.2
1083-56-3	590.15
108438-40-0	595.15
1085-98-9	427.15
108619-67-6	419.15
108682-54-8	371.67
1087-49-6	618.85
109-01-3	411.15
109-02-4	389.15
109-04-6	466.15
109-05-7	392.15
109-06-8	402.55
109-07-9	426.15
109-08-0	410.15
109-09-1	443.15
109-13-7	341.45
109-19-3	448.15
109-21-7	438.15
109-31-9	555.15
109-43-3	622.15
109-49-9	402.65
109-50-2	353.15
109-52-4	460.15
109-53-5	356.15
109-55-7	406.65
109-56-8	446.15
109-59-1	418.15
109-60-4	374.65
109-61-5	388.35
109-62-6	252.15
109-63-7	398.65
109-64-8	440.45
109-65-9	374.75
109-66-0	309.22
109-67-1	303.11
109-68-2	306.7
109-69-3	351.58
109-70-6	416.45
109-72-8	353.15
109-73-9	350.55
109-74-0	390.75
109-75-1	391.67
109-76-2	413.2
109-77-3	491.5
109-78-4	494.15
109-79-5	371.61
109-80-8	444.15
109-81-9	388.15
109-83-1	431.15
109-84-2	492.15
109-85-3	368.15
109-86-4	397.5
109-87-5	315
109-89-7	328.6
109-90-0	333.15
109-92-2	308.7
109-93-3	301.45
109-94-4	327.46
109-95-5	291.15
109-96-6	363.65
109-97-7	403
109-98-8	417.15
109-99-9	338
109227-12-5	466.65
109467-69-8	371.15
109527-43-7	573.15
109527-45-9	573.15
109593-75-1	600.45
109799-62-4	336.15
110-00-9	304.5
110-01-0	394.27
110-02-1	357.31
110-03-2	487.15
110-05-4	384.15
110-12-3	417.95
110-13-4	467.15
110-15-6	591
110-16-7	565
110-17-8	563.15
110-18-9	394.15
110-19-0	389.8
110-20-3	321.15
110-30-5	533.15
110-33-8	621.15
110-38-3	514.65
110-39-4	517.15
110-40-7	578.15
110-42-9	505
110-43-0	424.18
110-45-2	397.25
110-46-3	372.35
110-49-6	416.15
110-52-1	470.15
110-53-2	402.74
110-54-3	341.88
110-56-5	428.25
110-57-6	429.26
110-58-7	377.65
110-59-8	414.45
110-60-1	431.65
110-61-2	540.15
110-62-3	376.15
110-63-4	501.15
110-65-6	511.15
110-66-7	399.79
110-67-8	439
110-68-9	364.25
110-69-0	427.15
110-70-3	393.15
110-71-4	357.2
110-72-5	402.15
110-73-6	442.65
110-74-7	353.97
110-75-8	381.15
110-76-9	380.15
110-77-0	456.65
110-78-1	356.65
110-80-5	408.15
110-81-6	424.65
110-82-7	353.87
110-83-8	356.12
110-85-0	419.15
110-86-1	388.41
110-87-2	359.15
110-88-3	387.65
110-89-4	379.55
110-91-8	401.15
110-94-1	595.54
110-95-2	417.15
110-96-3	412.25
110-97-4	521.9
110-99-6	610
11002-90-7	548.65
11028-42-5	535.65
1103-05-5	417.15
110318-09-7	468.65
110877-64-0	531.15
111-11-5	466.05
111-12-6	490.15
111-13-7	446.15
111-14-8	496.15
111-15-9	429.74
111-16-0	615.25
111-18-2	482.65
111-20-6	642.09
111-21-7	559.15
111-24-0	495.45
111-25-1	428.45
111-26-2	405.85
111-27-3	430.55
111-29-5	512.15
111-30-8	461.15
111-31-9	425.81
111-33-1	418.15
111-34-2	366.97
111-35-3	433.7
111-36-4	388.15
111-39-7	421.65
111-40-0	480.25
111-41-1	517
111-42-2	541.54
111-43-3	363.23
111-44-4	451.65
111-45-5	431.65
111-46-6	517.95
111-47-7	415.98
111-48-8	555.15
111-49-9	411.2
111-51-3	441.15
111-55-7	463.65
111-64-8	468.75
111-65-9	398.83
111-66-0	394.44
111-67-1	398.05
111-68-2	430.05
111-69-3	568.15
111-70-6	449.45
111-71-7	425.95
111-74-0	419.15
111-75-1	472.15
111-76-2	444.47
111-77-3	466.75
111-78-4	423.27
111-81-9	521.15
111-82-0	540
111-83-1	473.95
111-84-2	423.97
111-85-3	456.62
111-86-4	452.75
111-87-5	468.35
111-88-6	472.19
111-90-0	475.05
111-91-1	490.9
111-92-2	432
111-94-4	446.15
111-95-5	444.15
111-96-6	435.2
1111-74-6	253.55
1111-92-8	477.15
1111-97-3	349.15
111109-77-4	448.15
111196-81-7	496.15
1112-39-6	354.55
1112-48-7	436.15
1112-54-5	419.65
1112-55-6	403.35
1112-56-7	433.15
1112-63-6	545.05
1112-91-0	368.15
1113-02-6	408.15
1113-12-8	410.15
1113-14-0	355.65
1113-21-9	523.15
1113-30-0	338.15
1113-68-4	468.15
1113-74-2	454.15
1114-51-8	464.15
1114-76-7	479.15
1115-08-8	329.2
1115-11-3	390.65
1115-12-4	338.65
1115-30-6	528.15
1115-99-7	415.3
1116-24-1	482.65
1116-39-8	461.15
1116-40-1	464.65
1116-61-6	432.15
1116-70-7	371.15
1116-76-3	631.95
111675-77-5	448.75
1117-19-7	502.15
1117-55-1	550.55
1117-59-5	499.45
1117-60-8	485.7
1117-61-9	494.65
111767-95-4	459.75
111768-02-6	432.15
111768-04-8	437.15
111768-05-9	446.15
111768-08-2	443.15
1118-00-9	356.15
1118-02-1	364.15
1118-09-8	381.65
1118-46-3	375.15
1118-58-7	348.55
1118-66-7	443.1
1118-84-9	469.15
111823-35-9	377.15
1119-06-8	534.15
1119-40-0	487.15
1119-46-6	503.15
1119-49-9	502.15
1119-51-3	401.15
1119-60-4	499.15
1119-65-9	385.15
1119-85-3	547
112-02-7	355.35
112-05-0	528.75
112-06-1	465.55
112-07-2	465.15
112-12-9	500.98
112-13-0	368.15
112-14-1	483.15
112-15-2	490.55
112-18-5	544.15
112-20-9	475.35
112-21-0	354.65
112-23-2	450.15
112-24-3	539.65
112-25-4	481.45
112-26-5	505.15
112-27-6	540
112-30-1	504.07
112-31-2	482.15
112-32-3	472.15
112-34-5	504.15
112-35-6	522.15
112-36-7	462.15
112-37-8	557.15
112-38-9	548.15
112-40-3	489.47
112-41-4	486.5
112-42-5	518.15
112-43-6	519.65
112-44-7	496.15
112-47-0	574
112-48-1	476.45
112-49-2	489.15
112-50-5	529.15
112-51-6	537.06
112-52-7	536.33
112-53-8	536.95
112-54-9	522.15
112-55-0	547.75
112-56-1	364.25
112-57-2	606.15
112-58-3	498.85
112-59-4	532.25
112-60-7	602.7
112-61-8	642.3
112-62-9	617
112-69-6	603.15
112-70-9	553.6
112-72-1	568.8
112-73-2	529.15
112-75-4	575.15
112-84-5	463.15
112-88-9	587.97
112-90-3	612.15
112-92-5	617
112-95-8	616.93
112-98-1	498.35
112-99-2	774.15
1120-06-5	490.15
1120-21-4	469.08
1120-24-7	508.15
1120-36-1	524.25
1120-48-5	580.81
1120-49-6	632.15
1120-56-5	315.35
1120-57-6	356.15
1120-59-8	385.25
1120-62-3	339
1120-64-5	384.15
1120-71-4	385.15
1120-72-5	412.65
1120-73-6	430.15
1120-97-4	387.15
1121-07-9	507.15
1121-18-2	451.65
1121-24-0	490.15
1121-37-5	434.15
1121-53-5	415.15
1121-55-7	435.15
1121-60-4	453.15
1121-95-5	429.15
112143-82-5	553.15
1122-39-0	461.15
1122-54-9	485.15
1122-60-7	478.15
1122-62-9	465.15
1122-69-6	433.65
1122-81-2	458.15
1122-82-3	494.15
1122-83-4	473.15
1123-00-8	501.15
1123-09-7	481.65
1123-25-7	507.15
1123-27-9	398.65
1123-34-8	463.15
1123-73-5	500.15
1123-85-9	497.65
1123-86-0	469.15
1123-94-0	503.15
1123-96-2	471.15
1124-05-6	495.15
1124-07-8	507.15
1124-11-4	463.15
1124-20-5	458.15
1124-27-2	446.15
1124-62-5	487.85
1124-63-6	493.65
112456-46-9	437.65
1125-27-5	500.65
1125-78-6	548.65
1125-80-0	522.15
1125-88-8	474.55
1126-18-7	481.15
1126-71-2	480.4
1126-75-6	470.65
1126-78-9	516.65
1126-79-0	483.15
1127-76-0	531.48
1128-54-7	528.15
1128-76-3	516.15
112898-44-9	554.65
1129-35-7	415.15
1129-41-5	444.65
1129-47-1	477.15
1129-65-3	503.6
113-18-8	446.65
113-48-4	430.15
1131-16-4	545.15
1131-18-6	606.15
1131-60-8	567.15
1131-62-0	560.15
113116-18-0	370.15
1132-39-4	574.65
1132-66-7	513.15
1134-62-9	562.16
113426-22-5	418.15
1135-12-2	573.15
1135-99-5	608.15
1136-45-4	523.15
1136-84-1	518.15
113666-64-1	501.15
113869-06-0	481.15
114-86-3	388.15
114-91-0	476.15
1140-14-3	594.65
1140-16-5	590.15
114180-21-1	373.05
1142-39-8	423.15
1142-97-8	391.65
114489-96-2	449.15
1145-90-0	517.65
1145-98-8	419.65
114651-37-5	535.15
1149-24-2	574.15
115-07-1	225.46
115-09-3	443.15
115-10-6	248.31
115-11-7	266.25
115-17-3	447.15
115-18-4	371.65
115-19-5	377.15
115-20-8	425.15
115-21-9	371.05
115-22-0	413.65
115-25-3	267.17
115-26-4	465.42
115-28-6	448.15
115-71-9	574.65
115-76-4	507.15
115-77-5	631
115-80-0	444.15
115-84-4	535.15
115-86-6	686.65
115-91-3	442.15
115-96-8	603.15
115186-37-3	526.15
115310-98-0	554.15
1156-19-0	573.15
116-02-9	468.65
116-09-6	418.65
116-11-0	308.15
116-14-3	197.51
116-15-4	243.55
116-16-5	476.15
116-53-0	449.15
116-54-1	416.05
1163-19-5	803.15
116435-30-4	424.15
116530-63-3	522.65
116632-39-4	535.65
116632-47-4	432.15
116668-34-9	492.15
116668-49-6	427.15
116668-50-9	426.15
116697-35-9	454.15
116723-93-4	432.15
116723-95-6	469.15
116723-97-8	485.15
116724-10-8	371.15
116724-11-9	432.65
116724-17-5	470.15
116724-18-6	413.15
116781-85-2	413.15
116781-86-3	374.65
116783-12-1	508.15
116783-21-2	566.15
116783-23-4	332.25
116783-29-0	450.15
116836-16-9	444.15
116836-21-6	463.15
116836-32-9	447.65
116836-55-6	425.15
116908-83-9	482.35
116908-84-0	414.15
116908-85-1	414.15
117-18-0	577.15
117-51-1	593.15
117-52-2	476.15
117-55-5	478.95
117-81-7	657.15
117-83-9	543.15
117-84-0	657.15
117-89-5	479.15
117-96-4	395.65
117-97-5	430.65
1174-72-7	690.15
117929-13-2	389.65
118-12-7	521.15
118-31-0	564.65
118-44-5	578.15
118-58-1	593.15
118-60-5	462.15
118-65-0	545.15
118-69-4	471.15
118-74-1	582.55
118-75-2	563.22
118-79-6	559.15
118-88-7	773.15
118-90-1	532
118-91-2	560.15
118-93-4	494.7
118-97-8	434.65
1184-53-8	241.15
1184-57-2	312.95
1184-58-3	399.15
1184-60-7	249.15
1184-65-2	348.45
1184-85-6	254.15
1185-33-7	409.95
1185-39-3	475.65
1185-55-3	375.65
1186-53-4	406.18
1186-73-8	515.85
1187-00-4	324.15
1187-03-7	482.15
1187-13-9	482.15
1187-58-2	421.15
1187-93-5	247.15
1188-33-6	402.15
1189-24-8	508.5
1189-71-5	380.15
1189-93-1	401.05
1189-99-7	425.96
119-07-3	512.15
119-21-1	495.45
119-36-8	495.15
119-39-1	610.25
119-61-9	579.24
119-64-2	480.77
119-65-3	516.37
119-75-5	616
119-81-3	372.15
119-84-6	545.15
1190-22-3	406.65
1190-39-2	524.65
1190-76-7	380.6
1190-83-6	422.09
1190-93-8	302.15
119033-84-0	393.15
119033-98-6	368.15
119034-03-6	561.65
119034-07-0	460.15
119034-08-1	356.65
1191-04-4	489.65
1191-08-8	468.65
1191-15-7	378.15
1191-25-9	387.65
1191-43-1	515.65
1191-62-4	542.65
1191-95-3	372.15
1191-96-4	309.08
1191-99-7	327.65
1192-18-3	372.68
1192-22-9	323.15
1192-27-4	432.15
1192-28-5	469.15
1192-30-9	443.15
1192-37-6	375.65
1192-62-7	448.15
119235-89-1	479.15
1193-12-0	410.15
1193-16-4	426.15
