CAS	Chemical	C
74-93-1	methyl mercaptan	-31.3932
80-62-6	methyl methacrylate	-17.2946
124-10-7	methyl myristate	7.7745
628-28-4	methyl n-butyl ether	-16.8429
628-29-5	methyl n-butyl sulfide	-16.5813
623-42-7	methyl n-butyrate	-11.7649
628-80-8	methyl n-pentyl ether	-14.2296
557-17-5	methyl n-propyl ether	-20.3353
3877-15-4	methyl n-propyl sulfide	-19.8785
112-62-9	methyl oleate	24.5682
112-39-0	methyl palmitate	11.5366
99-75-2	methyl para-toluate	-10.7958
1741-83-9	methyl pentyl sulfide	-11.5346
100-68-5	methyl phenyl sulfide	-15.2261
554-12-1	methyl propionate	-13.5942
119-36-8	methyl salicylate	-4.5754
6795-87-5	methyl sec-butyl ether	-19.1396
992-94-9	methyl silane	-36.8785
681-84-5	methyl silicate	-7.3808
112-61-8	methyl stearate	15.3816
6163-64-0	methyl t-butyl sulfide	-22.4181
1634-04-4	methyl tert-butyl ether	-19.6401
994-05-8	methyl tert-pentyl ether	-17.729
13286-92-5	methyl t-pentyl sulfide	-19.298
75-79-6	methyl trichlorosilane	-21.7791
124-70-9	methyl vinyl dichlorosilane	-18.5205
107-25-5	methyl vinyl ether	-21.4211
2935-90-2	methyl-3-mercaptopropionate	-9.8101
1571-08-0	methyl-4-formylbenzoate	1.0679
74-99-7	methylacetylene	-24.8371
109-87-5	methylal	-16.9844
74-89-5	methylamine	-16.6022
108-87-2	methylcyclohexane	-23.4252
26519-91-5	methylcyclopentadiene	-22.284
26472-00-4	methylcyclopentadiene dimer	-9.0967
96-37-7	methylcyclopentane	-23.4192
109-83-1	methylethanolamine	3.193
4553-62-2	methylglutaronitrile	4.1609
694-92-8	methylnorbornene	-24.5938
620-17-7	m-ethylphenol	-3.2936
7525-62-4	m-ethylstyrene	-10.7186
620-14-4	m-ethyltoluene	-13.1466
100-80-1	m-methylstyrene	-14.4775
99-09-2	m-nitroaniline	7.6337
99-08-1	m-nitrotoluene	-7.3263
15507-13-8	monobutyl sulfate	-9.099
108-90-7	monochlorobenzene	-21.8641
141-43-5	monoethanolamine	-1.7733
1679-64-7	monomethyl terephthalate	12.2134
598-50-5	monomethyl urea	3.3886
111-03-5	monoolein	25.4033
110-91-8	morpholine	-14.0343
108-45-2	m-phenylenediamine	-3.0353
92-06-8	m-terphenyl	2.4784
587-03-1	m-tolualcohol	12.0608
620-23-5	m-tolualdehyde	-8.1766
99-04-7	m-toluic acid	9.2589
108-44-1	m-toluidine	-9.3398
108-38-3	m-xylene	-16.682
103-76-4	n-(2-hydroxyethyl)piperazine	-7.7623
74-31-7	n,n'-diphenyl-p-phenylenediamine	12.5731
4062-60-6	n,n'-di-tert-butylethylenediamine	3.1075
91-66-7	n,n-diethylaniline	-7.5422
3710-84-7	n,n-diethylhydroxylamine	15.4309
616-39-7	n,n-diethylmethylamine	-17.3834
127-19-5	n,n-dimethylacetamide	-12.1937
121-69-7	n,n-dimethylaniline	-10.3417
68-12-2	n,n-dimethylformamide	-15.0954
927-62-8	n,n-dimethyl-n-butylamine	-14.4108
111-41-1	n-aminoethyl ethanolamine	31.1344
140-31-8	n-aminoethyl piperazine	-3.9662
92-24-0	naphthacene	-2.3973
91-20-3	naphthalene	-20.5772
106-97-8	n-butane	-26.6687
123-86-4	n-butyl acetate	-8.1362
141-32-2	n-butyl acrylate	-6.2875
136-60-7	n-butyl benzoate	-0.3859
109-69-3	n-butyl chloride	-20.816
628-81-9	n-butyl ethyl ether	-14.381
592-84-7	n-butyl formate	-11.7655
542-69-8	n-butyl iodide	-20.8574
111-36-4	n-butyl isocyanate	-8.8334
109-79-5	n-butyl mercaptan	-20.986
97-88-1	n-butyl methacrylate	-6.1213
109-21-7	n-butyl n-butyrate	-5.7589
50623-57-9	n-butyl nonanoate	6.5273
590-01-2	n-butyl propionate	-5.2972
123-95-5	n-butyl stearate	19.514
591-68-4	n-butyl valerate	2.168
109-73-9	n-butylamine	-14.8194
104-51-8	n-butylbenzene	-12.1231
99172-63-1	n-butylbenzene hydroperoxide	23.0814
1678-93-9	n-butylcyclohexane	-17.6153
2040-95-1	n-butylcyclopentane	-16.0388
4813-50-7	n-butylhydroperoxide	23.7463
107-92-6	n-butyric acid	-14.4192
109-74-0	butyronitrile	-14.7288
628-08-0	n-crotyl acetate	-6.8881
124-18-5	n-decane	-5.6481
334-48-5	n-decanoic acid	15.3983
112-17-4	n-decyl acetate	7.8214
5451-52-5	n-decyl formate	8.4479
143-10-2	n-decyl mercaptan	-1.1534
2016-57-1	n-decylamine	4.1735
104-72-3	n-decylbenzene	2.7097
1795-16-0	n-decylcyclohexane	8.0147
629-97-0	n-docosane	15.3322
112-40-3	n-dodecane	-0.3545
143-07-7	n-dodecanoic acid	19.5848
112-55-0	n-dodecyl mercaptan	2.4887
124-22-1	n-dodecylamine	8.0536
123-01-3	n-dodecylbenzene	4.6863
112-95-8	n-eicosane	13.1039
506-30-9	n-eicosanic acid	22.798
471-77-2	neoabietic acid	14.0869
1185-39-3	neoheptanoic acid	9.1901
595-37-9	neohexanoic acid	1.4368
463-82-1	neopentane	-26.4791
75-98-9	neopentanoic acid	1.535
126-30-7	neopentyl glycol	9.5233
18328-90-0	n-ethyl-2-methylallylamine	-13.3635
103-69-5	n-ethylaniline	-9.3588
100-74-3	n-ethylmorpholine	-14.9271
629-94-7	n-heneicosane	14.1924
593-49-7	n-heptacosane	25.1256
629-78-7	n-heptadecane	9.7023
506-12-7	n-heptadecanoic acid	21.4465
14752-75-1	n-heptadecylbenzene	15.818
142-82-5	n-heptane	-14.6797
111-14-8	n-heptanoic acid	9.7203
112-06-1	n-heptyl acetate	1.5445
112-23-2	n-heptyl formate	-3.3515
1639-09-4	n-heptyl mercaptan	-10.5592
111-68-2	n-heptylamine	-4.9586
1078-71-3	n-heptylbenzene	-5.9313
630-01-3	n-hexacosane	22.6703
544-76-3	n-hexadecane	7.1565
57-10-3	n-hexadecanoic acid	21.1367
1459-09-2	n-hexadecylbenzene	15.5083
110-54-3	n-hexane	-18.4756
142-62-1	n-hexanoic acid	0.3151
142-92-7	n-hexyl acetate	-2.0553
629-33-4	n-hexyl formate	-4.5208
638-45-9	n-hexyl iodide	-14.3313
111-31-9	n-hexyl mercaptan	-13.9442
111-26-2	n-hexylamine	-7.511
1077-16-3	n-hexylbenzene	-7.5998
59-67-6	niacin	2.0447
100-54-9	nicotinonitrile	-8.9636
7697-37-2	nitric acid	-13.1801
98-95-3	nitrobenzene	-13.616
79-24-3	nitroethane	-14.9626
10544-72-6	nitrogen tetroxide	10.3649
10025-85-1	nitrogen trichloride	-17.1078
55-63-0	nitroglycerine	40.3659
75-52-5	nitromethane	-17.3491
2696-92-6	nitrosyl chloride	-22.6625
10024-97-2	nitrous oxide	-30.2506
872-50-4	n-methyl-2-pyrrolidone	-11.7495
79-16-3	n-methylacetamide	-7.9696
100-61-8	n-methylaniline	-8.3043
100-60-7	n-methylcyclohexylamine	-11.7162
123-39-7	n-methylformamide	-9.5125
96-54-8	n-methylpyrrole	-22.2844
120-94-5	n-methylpyrrolidine	-23.2781
10441-57-3	n-methylthiopyrrolidone	-22.0909
630-03-5	n-nonacosane	26.2446
629-92-5	n-nonadecane	13.2738
646-30-0	n-nonadecanoic acid	22.8132
111-84-2	n-nonane	-7.8685
112-05-0	n-nonanoic acid	13.7847
143-13-5	n-nonyl acetate	8.1925
5451-92-3	n-nonyl formate	4.9614
1455-21-6	n-nonyl mercaptan	-5.1455
65185-89-9	n-nonyl n-undecyl phthalate	14.1133
112-20-9	n-nonylamine	1.4896
1081-77-2	n-nonylbenzene	0.4987
630-02-4	n-octacosane	25.8619
593-45-3	n-octadecane	11.42
57-11-4	n-octadecanoic acid	21.6014
929727	n-octadecylbenzene	16.8539
111-65-9	n-octane	-10.9944
124-07-2	n-octanoic acid	10.7999
112-14-1	n-octyl acetate	5.025
112-32-3	n-octyl formate	-0.42
111-88-6	n-octyl mercaptan	-8.6073
111-86-4	n-octylamine	-0.8992
2189-60-8	n-octylbenzene	-3.1714
124-19-6	nonanal	-5.1346
25154-52-3	nonylphenol	16.2854
629-99-2	n-pentacosane	20.711
629-62-9	n-pentadecane	3.5222
1002-84-2	n-pentadecanoic acid	19.6276
2131-18-2	n-pentadecylbenzene	13.239
109-66-0	n-pentane	-22.1266
109-52-4	n-pentanoic acid	-3.8574
628-63-7	n-pentyl acetate	-8.105
638-49-3	n-pentyl formate	-6.399
110-66-7	n-pentyl mercaptan	-17.0113
110-58-7	n-pentylamine	-10.1885
538-68-1	n-pentylbenzene	-10.3977
109-60-4	n-propyl acetate	-11.2683
925-60-0	n-propyl acrylate	-7.5712
2315-68-6	n-propyl benzoate	-5.0546
110-74-7	n-propyl formate	-16.2803
107-08-4	n-propyl iodide	-23.2988
644-49-5	n-propyl isobutyrate	-4.1474
107-03-9	n-propyl mercaptan	-23.9889
2210-28-8	n-propyl methacrylate	-11.5613
105-66-8	n-propyl n-butyrate	-7.5443
106-36-5	n-propyl propionate	-7.2287
107-10-8	n-propylamine	-16.7062
103-65-1	n-propylbenzene	-15.0983
60956-33-4	n-propylbenzene hydroperoxide	20.7907
1678-92-8	n-propylcyclohexane	-19.3093
2040-96-2	n-propylcyclopentane	-16.3472
646-31-1	n-tetracosane	19.3902
629-59-4	n-tetradecane	3.4706
544-63-8	n-tetradecanoic acid	19.8477
2016-42-4	n-tetradecylamine	13.0502
1459-10-5	n-tetradecylbenzene	10.9294
638-68-6	n-triacontane	27.8044
638-67-5	n-tricosane	17.5521
629-50-5	n-tridecane	2.0804
638-53-9	n-tridecanoic acid	18.9236
123-02-4	n-tridecylbenzene	9.0141
1120-21-4	n-undecane	-2.8384
112-37-8	n-undecanoic acid	17.8656
6742-54-7	n-undecylbenzene	4.3961
837-08-1	o,p-bisphenol a	23.2737
95-51-2	o-chloroaniline	-11.7665
88-73-3	o-chloronitrobenzene	-7.2161
95-57-8	o-chlorophenol	-16.9116
95-49-8	o-chlorotoluene	-17.7627
95-48-7	o-cresol	-8.8087
360-89-4	octafluoro-2-butene	-16.911
115-25-3	octafluorocyclobutane	-11.2087
7403-22-7	octahydro-pentalene-1-carboxylic acid	6.7535
556-67-2	octamethylcyclotetrasiloxane	2.3849
107-51-7	octamethyltrisiloxane	-2.0335
124-13-0	octanal	-7.2376
527-84-4	o-cymene	-13.0215
95-50-1	o-dichlorobenzene	-21.9877
135-01-3	o-diethylbenzene	-14.6393
528-29-0	o-dinitrobenzene	-0.1168
578-54-1	o-ethylaniline	-6.4285
90-00-6	o-ethylphenol	-7.0782
7564-63-8	o-ethylstyrene	-10.7027
611-14-3	o-ethyltoluene	-15.1957
112-80-1	oleic acid	31.9829
611-15-4	o-methylstyrene	-14.5053
88-74-4	o-nitroaniline	9.0319
91-23-6	o-nitroanisole	-0.7303
119-75-5	o-nitrodiphenylamine	10.4023
88-72-2	o-nitrotoluene	-7.7137
95-54-5	o-phenylenediamine	-1.7449
84-15-1	o-terphenyl	-6.084
89-95-2	o-tolualcohol	8.681
529-20-4	o-tolualdehyde	-9.4015
118-90-1	o-toluic acid	5.7155
95-53-4	o-toluidine	-13.4522
288-42-6	oxazole	-26.2351
95-47-6	o-xylene	-17.82
1945-53-5	palustric acid	18.0838
60-09-3	p-aminoazobenzene	2.2045
92-67-1	p-aminodiphenyl	-3.2714
101-54-2	p-aminodiphenylamine	6.0438
123-63-7	paraldehyde	-7.3279
106-38-7	p-bromotoluene	-16.6543
106-47-8	p-chloroaniline	-9.791
98-56-6	p-chlorobenzotrifluoride	-12.4369
100-00-5	p-chloronitrobenzene	-4.9558
106-48-9	p-chlorophenol	-7.7994
106-43-4	p-chlorotoluene	-17.4827
106-44-5	p-cresol	-5.8153
599-64-4	p-cumylphenol	5.5365
99-87-6	p-cymene	-13.4344
106-46-7	p-dichlorobenzene	-19.0494
105-05-5	p-diethylbenzene	-11.4689
100-18-5	p-diisopropylbenzene	-10.6093
98-49-7	p-diisopropylbenzene hydroperoxide	19.5855
100-10-7	p-dimethylaminobenzaldehyde	-4.7197
100-25-4	p-dinitrobenzene	0.5743
76-01-7	pentachloroethane	-22.4926
354-56-3	pentachlorofluoroethane	-20.9246
115-77-5	pentaerythritol	90.599
78-11-5	pentaerythritol tetranitrate	51.7902
605-01-6	pentaethylbenzene	4.0629
1191-87-3	pentaethylene glycol dimethyl ether	30.7784
4067-16-7	pentaethylene hexamine	43.1648
22410-44-2	pentafluoroethyl methyl ether	-11.7834
771-61-9	pentafluorophenol	-3.7796
700-12-9	pentamethylbenzene	-7.3497
110-62-3	pentanal	-14.0401
79-21-0	peracetic acid	10.3001
7616-94-6	perchloryl fluoride	-29.7474
375-22-4	perfluorobutanoic acid	19.4873
1805-22-7	perfluoromethylcyclopentane	-7.1666
307-45-9	perfluoro-n-decane	9.0323
375-96-2	perfluoro-n-nonane	6.0816
307-34-6	perfluoro-n-octane	3.2725
678-26-2	perfluoro-n-pentane	-6.0541
123-07-9	p-ethylphenol	-1.6877
567776	p-ethylstyrene	-10.7628
622-96-8	p-ethyltoluene	-14.4375
85-01-8	phenanthrene	-7.6823
103-73-1	phenetole	-10.2798
108-95-2	phenol	-9.0617
92-84-2	phenothiazine	-0.4503
122-79-2	phenyl acetate	-7.3122
103-71-9	phenyl isocyanate	-12.7233
108-98-5	phenyl mercaptan	-20.3079
140-29-4	phenylacetonitrile	-5.8838
100-63-0	phenylhydrazine	5.5524
149-74-6	phenylmethyldichlorosilane	-11.3793
98-13-5	phenyltrichlorosilane	-11.9509
75-44-5	phosgene	-26.8209
7803-51-2	phosphine	-47.7213
10025-87-3	phosphorus oxychloride	-21.7252
2125683	phosphorus trichloride	-27.0024
496-14-0	phthalan	-14.4869
88-99-3	phthalic acid	28.9773
85-44-9	phthalic anhydride	3.4599
87-41-2	phthalide	-4.9655
123-31-9	p-hydroquinone	-2.464
123-08-0	p-hydroxybenzaldehyde	2.4194
127-27-5	pimaric acid	10.8896
111-16-0	pimelic acid	17.5028
110-85-0	piperazine	-9.3718
110-89-4	piperidine	-21.1571
4286-23-1	p-isopropenyl phenol	-1.464
16262-48-9	p-isopropenylstyrene	-11.9616
80-47-7	p-menthane hydroperoxide	20.3055
150-76-5	p-methoxyphenol	-3.1271
622-97-9	p-methylstyrene	-16.4982
100-01-6	p-nitroaniline	9.9601
836-30-6	p-nitrodiphenylamine	10.598
99-99-0	p-nitrotoluene	-11.5334
156-43-4	p-phenetidine	-1.0458
106-50-3	p-phenylenediamine	-1.7295
463-49-0	propadiene	-32.2354
123-38-6	propanal	-20.9498
74-98-6	propane	-31.7091
10147-36-1	propanesulfonyl chloride	-7.9809
107-19-7	propargyl alcohol	-7.0266
624-65-7	propargyl chloride	-29.8117
13511-13-2	propenyl cyclohexene	-14.6364
79-09-4	propionic acid	-21.6282
123-62-6	propionic anhydride	-1.1147
107-12-0	propionitrile	-16.4663
540-54-5	propyl chloride	-23.9053
115-07-1	propylene	-31.4522
108-32-7	propylene carbonate	-9.9175
871518-84-2	propylene glycol alpha-methylbenzyl ether	3.7714
57018-52-7	propylene glycol 1-tert-butyl ether	-4.0518
94023-15-1	propylene glycol 2-tert-butyl ether	-4.0427
54839-24-6	propylene glycol ethyl ether acetate	-0.8315
21460-36-6	propylene glycol monoallyl ether	-2.889
107-98-2	propylene glycol monomethyl ether	-4.6666
108-65-6	propylene glycol monomethyl ether acetate	-3.5244
5131-66-8	propylene glycol n-butyl ether	-2.6841
1569-01-3	propylene glycol n-propyl ether	18.0879
75-55-8	propyleneimine	-19.1544
92-94-4	p-terphenyl	2.044
80-46-6	p-tert-amylphenol	-1.1217
7364-19-4	p-tert-butyl ethylbenzene	-8.9259
98-29-3	p-tert-butylcatechol	10.1535
98-54-4	p-tert-butylphenol	-4.3038
1746-23-2	p-tert-butylstyrene	-11.191
140-66-9	p-tert-octylphenol	2.4365
589-18-4	p-tolualcohol	10.6534
104-87-0	p-tolualdehyde	-12.3469
99-94-5	p-toluic acid	5.112
106-49-0	p-toluidine	-7.3205
106-42-3	p-xylene	-17.104
290-37-9	pyrazine	-24.8841
288-13-1	pyrazole	-18.5473
129-00-0	pyrene	-6.81
289-80-5	pyridazine	-24.1843
110-86-1	pyridine	-22.22
289-95-2	pyrimidine	-7.341
89-05-4	pyromellitic acid	67.0051
109-97-7	pyrrole	-16.896
123-75-1	pyrrolidine	-19.2399
127-17-3	pyruvic acid	4.3334
91-63-4	quinaldine	-12.4541
91-22-5	quinoline	-16.0698
106-51-4	quinone	-4.7126
121-82-4	rdx	25.0603
81-07-2	saccharin	1.3419
90-02-8	salicylaldehyde	-1.1008
69-72-7	salicylic acid	18.1922
111-20-6	sebacic acid	25.5345
1766990	sec-butenyl acetate	-9.1697
100524-60-5	sec-butenyl glycol ether	4.5137
105-46-4	sec-butyl acetate	-9.2896
401255	sec-butyl acrylate	-6.0883
78-86-4	sec-butyl chloride	-21.063
589-40-2	sec-butyl formate	-12.7303
513-53-1	sec-butyl mercaptan	-22.6681
13952-84-6	sec-butylamine	-18.125
135-98-8	sec-butylbenzene	-15.9736
1883929	sec-butylcyclohexane	-13.7287
32970-45-9	sec-butyl-tert-butyl ether	-13.6212
83-46-5	sitosterol	21.0516
50-70-4	sorbitol	89.1371
111-01-3	squalane	18.6946
57-88-5	beta-cholesterol	16.9357
555-10-2	beta-phellandrene	-12.0563
127-91-3	beta-pinene	-17.4077
57-57-8	beta-propiolactone	-20.0601
138-87-4	beta-terpineol	8.4797
83-48-7	stigmasterol	22.1858
100-42-5	styrene	-18.5897
505-48-6	suberic acid	21.5812
110-15-6	succinic acid	11.0332
108-30-5	succinic anhydride	-5.075
123-56-8	succinimide	-14.0843
110-61-2	succinonitrile	-0.5326
57-50-1	sucrose	-14.5561
5329-14-6	sulfamic acid	-15.0482
126-33-0	sulfolane	-12.9709
10545-99-0	sulfur dichloride	-24.9034
2025884	sulfur dioxide	-20.2358
7791-25-5	sulfuryl chloride	-24.582
133-37-9	tartaric acid	81.1555
1694-31-1	t-butyl acetoacetate	1.8456
75-91-2	t-butyl hydroperoxide	10.5414
623-27-8	terephthaldehyde	1.0642
100-20-9	terephthaloyl chloride	6.4447
586-62-9	terpinolene	-11.9737
540-88-5	tert-butyl acetate	-12.1107
507-20-0	tert-butyl chloride	-24.475
637-92-3	tert-butyl ethyl ether	-15.3144
762-75-4	tert-butyl formate	-17.8546
75-66-1	tert-butyl mercaptan	-25.8951
585-07-9	tert-butyl methacrylate	-9.1864
75-64-9	tert-butylamine	-18.0674
98-06-6	tert-butylbenzene	-19.0142
3178-22-1	tert-butylcyclohexane	-19.4485
2425-74-3	tert-butylformamide	-7.3954
25103-58-6	tert-dodecyl mercaptan	1.4543
25360-10-5	tert-nonyl mercaptan	-7.2461
141-59-3	tert-octyl mercaptan	-17.9859
127-18-4	tetrachloroethylene	-23.4208
10026-04-7	tetrachlorosilane	-22.324
6012-97-1	tetrachlorothiophene	-11.7336
107-52-8	tetradecamethylhexasiloxane	10.6356
78-10-4	tetraethoxysilane	2.3703
78-00-2	tetraethyl lead	-6.6906
631-36-7	tetraethyl silane	-12.4905
112-60-7	tetraethylene glycol	18.71
143-24-8	tetraethylene glycol dimethyl ether	22.6132
1559-34-8	tetraethylene glycol monobutyl ether	37.9714
112-57-2	tetraethylenepentamine	37.4113
109-99-9	tetrahydrofuran	-24.002
97-99-4	tetrahydrofurfuryl alcohol	4.0953
110-01-0	tetrahydrothiophene	-25.0771
27745-90-0	tetramantane	-19.9292
110-18-9	tetramethylethylenediamine	-10.886
75-76-3	tetramethylsilane	-22.6267
509-14-8	tetranitromethane	-1.7803
632-51-9	tetraphenylethylene	5.4398
630-76-2	tetraphenylmethane	2.9312
479-45-8	tetryl	38.4378
420-12-2	thiacyclopropane	-29.1627
4565-32-6	thiaindan	-15.4482
111-48-8	thiodiglycol	29.7668
68-11-1	thioglycolic acid	-0.0642
2125597	thionyl chloride	-31.2745
110-02-1	thiophene	-26.0976
62-56-6	thiourea	-13.8955
89-83-8	thymol	8.6783
7646-78-8	tin(iv) chloride	-19.9662
108-88-3	toluene	-21.1164
5194-51-4	trans,trans-2,4-hexadiene	-19.0236
156-60-5	trans-1,2-dichloroethylene	-25.6495
6876-23-9	trans-1,2-dimethylcyclohexane	-21.861
822-50-4	trans-1,2-dimethylcyclopentane	-21.0631
10061-02-6	trans-1,3-dichloropropene	-21.6085
112195	trans-1,3-dimethylcyclohexane	-21.3984
1759-58-6	trans-1,3-dimethylcyclopentane	-21.0716
20237-34-7	trans-1,3-hexadiene	-18.9521
2004-70-8	trans-1,3-pentadiene	-27.9159
13990-93-7	trans-1,4-diethylcyclohexane	-11.6259
112227	trans-1,4-dimethylcyclohexane	-21.1222
565-50-4	trans-1,8-terpin	31.5287
873-66-5	trans-1-propenylbenzene	-15.0324
624-64-6	trans-2-butene	-26.1494
821-11-4	trans-2-butene-1,4-diol	40.8938
20063-97-2	trans-2-decene	-5.1142
7206-13-5	trans-2-dodecene	-0.1991
42448-85-1	trans-2-eicosene	15.5495
14686-13-6	trans-2-heptene	-15.0963
4050-45-7	trans-2-hexene	-18.0302
926-54-5	trans-2-methyl-1,3-pentadiene	-20.4025
7443-52-9	trans-2-methylcyclohexanol	7.0779
6434-78-2	trans-2-nonene	-7.8979
13389-42-9	trans-2-octene	-12.1208
74392-36-2	trans-2-pentadecene	6.1295
646-04-8	trans-2-pentene	-22.1187
767-99-7	trans-2-phenylbutene-2	-13.576
21956-56-9	trans-3,5-dimethoxystilbene	9.087
14686-14-7	trans-3-heptene	-15.8446
13269-52-8	trans-3-hexene	-18.3375
7443-55-2	trans-3-methylcyclohexanol	8.9033
14919-01-8	trans-3-octene	-14.8627
7731-29-5	trans-4-methylcyclohexanol	10.0081
14850-23-8	trans-4-octene	-15.2462
123-73-9	trans-crotonaldehyde	-15.8887
107-93-7	trans-crotonic acid	2.4552
627-26-9	trans-crotonitrile	-12.3808
493-02-7	trans-decahydronaphthalene	-19.6867
2141-59-5	trans-dicyano-1-butene	4.2067
103-30-0	trans-stilbene	-5.0193
3682-91-5	triacetone alcohol	50.1793
102-70-5	triallylamine	-4.4454
13349-10-5	triamantane	-25.3693
621-77-2	triamylamine	16.5759
75-25-2	tribromomethane	-28.1048
75-87-6	trichloroacetaldehyde	-14.8631
76-03-9	trichloroacetic acid	0.4755
76-02-8	trichloroacetyl chloride	-20.8071
79-01-6	trichloroethylene	-23.5982
75-69-4	trichlorofluoromethane	-26.8977
10025-78-2	trichlorosilane	-23.5498
375-85-9	tridecafluoroheptanoic acid	28.6767
10486-19-8	tridecanal	9.6159
102-71-6	triethanolamine	38.0285
97-93-8	triethyl aluminum	21.3256
122-52-1	triethyl ester phosphorous acid	-16.0573
1115-99-7	triethyl gallium	0.736
78-40-0	triethyl phosphate	-14.9943
121-44-8	triethylamine	-16.5916
112-27-6	triethylene glycol	9.2794
94-28-0	triethylene glycol bis(2-ethylhexanoate)	22.2541
112-49-2	triethylene glycol dimethyl ether	14.3837
112-50-5	triethylene glycol monoethyl ether	33.5669
112-35-6	triethylene glycol monomethyl ether	30.2276
143-22-6	triethylene glycol n-butyl ether	31.2384
25961-89-1	triethylene glycol n-hexyl ether	32.3691
23305-64-8	triethylene glycol n-propyl ether	30.6465
280-57-9	triethylenediamine	-6.2287
112-24-3	triethylenetetramine	24.5041
354-38-1	trifluoroacetamide	-3.3196
2314-97-8	trifluoroiodomethane	-28.9086
100-99-2	triisobutyl aluminum	-10.4782
78024-33-6	trilactic acid	47.192
528-44-9	trimellitic acid	50.5256
552-30-7	trimellitic anhydride	21.3231
2487-90-3	trimethoxysilane	-13.0467
121-43-7	trimethyl borate	-9.8268
3385-78-2	trimethyl indium	1.7787
512-56-1	trimethyl phosphate	-7.4101
993-07-7	trimethyl silane	-27.9532
1066-40-6	trimethyl silanol	13.6239
75-24-1	trimethylaluminum	-19.8081
75-50-3	trimethylamine	-26.5584
75-77-4	trimethylchlorosilane	-20.3149
287-27-4	trimethylene sulfide	-27.1308
1445-79-0	trimethylgallium	-18.1409
77-99-6	trimethylolpropane	54.37
688-74-4	tri-n-butyl borate	-26.4809
102-82-9	tri-n-butylamine	7.577
1528-48-9	tri-n-heptyl trimellitate	41.722
1116-76-3	tri-n-octylamine	16.4534
110-88-3	trioxane	-14.6548
115-86-6	triphenyl phosphate	1.3519
58-72-0	triphenylethylene	-0.7194
519-73-3	triphenylmethane	-1.6392
603-35-0	triphenylphosphine	-11.3615
102-69-2	tripropylamine	-5.0288
24800-44-0	tripropylene glycol	36.3417
75899-69-3	tripropylene glycol monoethyl ether	36.3228
25498-49-1	tripropylene glycol monomethyl ether	33.6723
1067-53-4	tris(2-methoxyethoxy)vinylsilane	7.5789
112-44-7	undecanal	4.5571
5332-52-5	undecyl mercaptan	1.2607
7307-55-3	undecylamine	4.4491
110-59-8	valeronitrile	-10.1149
121-33-5	vanillin	11.4226
108-05-4	vinyl acetate	-12.4509
593-60-2	vinyl bromide	-28.8405
75-01-4	vinyl chloride	-31.8372
75-02-5	vinyl fluoride	-29.9024
692-45-5	vinyl formate	-15.6186
3377-92-2	vinyl pivalate	-10.7484
105-38-4	vinyl propionate	-11.0805
109-75-1	vinylacetonitrile	-13.2595
689-97-4	vinylacetylene	-28.1641
100-40-3	vinylcyclohexene	-18.4817
4427-96-7	vinylethylene carbonate	-4.8062
3048-64-4	vinylnorbornene	-21.655
75-94-5	vinyltrichlorosilane	-19.0768
317069	vinyltrimethoxysilane	-1.3664
7732-18-5	water	-16.7171
2043-61-0	cyclohexanecarboxaldehyde	-12.4501
536-50-5	p,alpha-dimethylbenzyl alcohol	2.1201
15890-40-1	1-cis-2-trans-3-trimethylcyclopentane	-18.5575
4516-69-2	1,1,3-trimethylcyclopentane	-22.2067
4850-28-6	1-cis-2-trans-4-trimethylcyclopentane	-19.1622
79808-30-3	1,3-di-tert-butyl glycerin	5.0768
4259-00-1	1,1,2-trimethylcyclopentane	-20.7091
115-84-4	2-butyl-2-ethyl-1,3-propanediol	8.4426
1948-33-0	mono-tert-butylhydroquinone	8.4138
96-47-9	2-methyltetrahydrofuran	-18.722
122-51-0	triethyl orthoformate	-0.656
142-68-7	tetrahydropyran	-23.7395
106538-38-9	2,3,4,5,2',3',4',5'-octahydro-bifuryl-(3,3')	-12.2905
542-18-7	chlorocyclohexane	-20.3819
4538-37-8	1,4-butanediisocyanate	-9.3169
1310-58-3	potassium hydroxide	-39.2368
7723-14-0	phosphorus (white)	-35.9155
7632-51-1	vanadium tetrachloride	-27.8568
7727-18-6	vanadium oxytrichloride	-24.8171
7447-40-7	potassium chloride	-41.5661
12135-76-1	ammonium sulfide	-30.2393
7440-62-2	vanadium	-44.6876
7789-20-0	deuterium oxide	-14.8465
27656-49-1	trans-2,2,4,6,6-pentamethyl-3-heptene	-13.4557
13151-05-8	4-methyl-1-heptene	-13.0857
628-87-5	2,2'-iminobis-acetonitrile	9.8664
7439-93-2	lithium	-41.6577
7429-90-5	aluminum	-54.6192
2023695	potassium	-48.1091
7550-45-0	titanium tetrachloride	-23.142
693-23-2	dodecanedioic acid 	26.0499
821-38-5	tetradecanedioic acid 	26.8135
1120-28-1	methyl eicosanoate	15.2317
112-63-0	methyl linoleate	23.1926
1120-25-8	methyl palmitoleate	22.7422
301-00-8	methyl linolenate	23.4741
540-18-1	n-pentyl n-butyrate	0.0995
106-27-4	isopentyl butyrate	-0.6947
869-29-4	allylidene diacetate	1.8422
628-97-7	ethyl palmitate	16.2301
111-62-6	ethyl oleate	18.1627
111-61-5	ethyl stearate	15.7723
1120-34-9	methyl erucate	25.0852
1191-41-9	ethyl linolenate	17.7709
544-35-4	ethyl linoleate	18.2078
37910-77-3	ethyl erucate	26.1314
13048-33-4	1,6-hexanediol diacrylate	15.9822
