CAS	Chemical	C
767-59-9	1-methylindene	-15.6507
90-12-0	1-methylnaphthalene	-14.8163
108-22-5	1-methylvinyl acetate	-11.1637
1634-09-9	1-n-butylnaphthalene	-5.9519
26438-27-7	1-n-decylnaphthalene	7.9041
66325-11-9	1-n-hexyl-1,2,3,4-tetrahydronaphthalene	-0.4049
2876-53-1	1-n-hexylnaphthalene	-0.7655
627-05-4	1-nitrobutane	-10.9969
108-03-2	1-nitropropane	-12.1497
26438-26-6	1-n-nonylnaphthalene	6.7831
1454-84-8	1-nonadecanol	12.4495
18435-45-5	1-nonadecene	9.5199
143-08-8	1-nonanol	3.4298
124-11-8	1-nonene	-8.3602
567104	1-nonyne	-5.911
86-89-5	1-n-pentylnaphthalene	-3.8201
2765-18-6	1-n-propylnaphthalene	-10.2849
18835-34-2	1-octacosene	25.979
112-92-5	1-octadecanol	11.1722
112-88-9	1-octadecene	7.8341
111-87-5	1-octanol	3.9266
111-66-0	1-octene	-12.2659
629-05-0	1-octyne	-9.9987
629-76-5	1-pentadecanol	7.5521
13360-61-7	1-pentadecene	4.4595
71-41-0	1-pentanol	5.8648
109-67-1	1-pentene	-23.8618
646-05-9	1-pentene-3-yne	-25.3087
871-28-3	1-pentene-4-yne	-28.9659
627-19-0	1-pentyne	-20.3715
93-54-9	1-phenyl-1-propanol	8.0983
698-87-3	1-phenyl-2-propanol	8.4037
1961-96-2	1-phenylindene	-7.4238
605-02-7	1-phenylnaphthalene	-3.9476
71-23-8	1-propanol	10.6884
58797-58-3	1-tert-butoxy-2-[2-(hydroxy)propoxy]propane	22.3857
1243297-10-0	1-tert-butoxy-2-[2-(tert-butoxy)propoxy]propane	2.9151
10192-32-2	1-tetracosene	20.9682
112-72-1	1-tetradecanol	6.1911
1120-36-1	1-tetradecene	4.3224
1795-26-2	1-trans-3,5-trimethylcyclohexane	-13.5791
18435-53-5	1-triacontene	27.8771
112-70-9	1-tridecanol	5.4333
2437-56-1	1-tridecene	1.9152
112-42-5	1-undecanol	2.4487
821-95-4	1-undecene	-2.8833
857237-25-3	2-(alpha-methylbenzyloxy)-1-propanol	4.4764
112-34-5	2-(2-butoxyethoxy)ethanol	3.3595
111-90-0	2-(2-ethoxyethoxy)ethanol	5.3408
112-59-4	2-(2-hexoxyethoxy)ethanol	32.3282
111-77-3	2-(2-methoxyethoxy)ethanol	13.1199
18912-81-7	2-(2-pentoxyethoxy)ethanol	10.6101
1885-48-9	2-(difluoromethoxy)-1,1,1-trifluoroethane	-9.1332
3603-45-0	2-(n-morpholino)-2'-hydroxydiethylether	11.1975
594-82-1	2,2,3,3-tetramethylbutane	-21.4759
13475-81-5	2,2,3,3-tetramethylhexane	-14.9018
7154-79-2	2,2,3,3-tetramethylpentane	-18.4003
1186-53-4	2,2,3,4-tetramethylpentane	-17.4864
464-06-2	2,2,3-trimethylbutane	-22.0185
564-02-3	2,2,3-trimethylpentane	-18.3337
909554	2,2,4,4,6,8,8-heptamethylnonane	-4.4667
1070-87-7	2,2,4,4-tetramethylpentane	-17.7312
144-19-4	2,2,4-trimethyl-1,3-pentanediol	4.8653
6846-50-0	2,2,4-trimethyl-1,3-pentanediol diisobutyrate	10.4099
540-84-1	2,2,4-trimethylpentane	-17.9108
1071-81-4	2,2,5,5-tetramethylhexane	-11.6251
3522-94-9	2,2,5-trimethylhexane	-14.2329
7327-60-8	2,2',2''-nitrilotris-acetonitrile	19.8346
306-83-2	2,2-dichloro-1,1,1-trifluoroethane	-19.1183
812-04-4	2,2-dichloro-1,1,2-trifluoroethane	-20.0534
75-84-3	2,2-dimethyl-1-propanol	8.1898
16747-32-3	2,2-dimethyl-3-ethylpentane	-15.3041
75-83-2	2,2-dimethylbutane	-23.6166
1071-26-7	2,2-dimethylheptane	-12.3821
590-73-8	2,2-dimethylhexane	-15.0828
15869-87-1	2,2-dimethyloctane	-8.7774
590-35-2	2,2-dimethylpentane	-19.0762
778-22-3	2,2-diphenyl propane	-5.7499
16747-38-9	2,3,3,4-tetramethylpentane	-17.6385
594-56-9	2,3,3-trimethyl-1-butene	-22.566
560-21-4	2,3,3-trimethylpentane	-19.0648
565-75-3	2,3,4-trimethylpentane	-17.0846
1795-05-7	2,3,5-trimethylthiophene	-16.0261
513-85-9	2,3-butanediol	32.1216
616-23-9	2,3-dichloro-1-propanol	7.1854
7581-97-7	2,3-dichlorobutane	-20.0373
78-88-6	2,3-dichloropropene	-23.9766
1191-99-7	2,3-dihydrofuran	-23.3823
513-81-5	2,3-dimethyl-1,3-butadiene	-22.9835
563-78-0	2,3-dimethyl-1-butene	-22.8797
16746-86-4	2,3-dimethyl-1-hexene	-15.2831
1889-67-4	2,3-dimethyl-2,3-diphenylbutane	-4.9257
563-79-1	2,3-dimethyl-2-butene	-21.4068
4923-91-5	2,3-dimethylbenzothiophene	-9.3998
79-29-8	2,3-dimethylbutane	-22.1355
584-94-1	2,3-dimethylhexane	-14.6795
7146-60-3	2,3-dimethyloctane	-9.1581
565-59-3	2,3-dimethylpentane	-18.3329
632-16-6	2,3-dimethylthiophene	-19.4403
556-52-5	2,3-epoxy-1-propanol	5.5225
591-96-8	2,3-pentadiene	-21.8378
526-75-0	2,3-xylenol	-4.9293
107-39-1	2,4,4-trimethyl-1-pentene	-18.7273
107-40-4	2,4,4-trimethyl-2-pentene	-17.2546
16747-30-1	2,4,4-trimethylhexane	-15.1602
108-75-8	2,4,6-trimethylpyridine	-12.107
118-96-7	2,4,6-trinitrotoluene	17.87
95-80-7	2,4-diaminotoluene	0.9318
320-60-5	2,4-dichlorobenzotrifluoride	-8.327
95-73-8	2,4-dichlorotoluene	-13.6676
1068-87-7	2,4-dimethyl-3-ethylpentane	-14.6322
95-68-1	2,4-dimethylaniline	-4.4287
589-43-5	2,4-dimethylhexane	-14.7449
4032-94-4	2,4-dimethyloctane	-8.3342
108-08-7	2,4-dimethylpentane	-17.7681
121-14-2	2,4-dinitrotoluene	4.1855
6362-80-7	2,4-diphenyl-4-methylpentene-1	-3.749
625-69-4	2,4-pentanediol	30.1623
584-84-9	2,4-toluene diisocyanate	3.9859
105-67-9	2,4-xylenol	-4.4817
1708-29-8	2,5-dihydrofuran	-22.5551
627-58-7	2,5-dimethyl-1,5-hexadiene	-15.5869
764-13-6	2,5-dimethyl-2,4-hexadiene	-11.8867
592-13-2	2,5-dimethylhexane	-13.8134
15869-89-3	2,5-dimethyloctane	-8.7196
638-02-8	2,5-dimethylthiophene	-18.146
619-15-8	2,5-dinitrotoluene	4.2755
95-87-4	2,5-xylenol	-1.9175
123-18-2	2,6,8-trimethyl-4-nonanone	5.0974
823-40-5	2,6-diaminotoluene	-1.6055
579-66-8	2,6-diethylaniline	18.0495
59919-41-4	2,6-diethylnaphthalene	-4.5622
108-82-7	2,6-dimethyl-4-heptanol	11.811
1072-05-5	2,6-dimethylheptane	-10.5361
581-42-0	2,6-dimethylnaphthalene	-10.4326
2051-30-1	2,6-dimethyloctane	-8.1559
108-48-5	2,6-dimethylpyridine	-13.9583
606-20-2	2,6-dinitrotoluene	4.5332
128-37-0	2,6-di-tert-butyl-p-cresol	4.5613
1141-38-4	2,6-naphthalenedicarboxylic acid	31.701
91-08-7	2,6-toluene diisocyanate	-7.3786
576-26-1	2,6-xylenol	-8.8616
16587-40-9	2,7-dimethylbenzothiophene	-9.7266
582-16-1	2,7-dimethylnaphthalene	-8.7053
1072-16-8	2,7-dimethyloctane	-7.9158
21282-97-3	2-acetoacetoxy ethyl methacrylate	14.9163
929-06-6	2-aminoethoxyethanol	0.2804
78-76-2	2-bromobutane	-19.9718
75-26-3	2-bromopropane	-25.3687
78-92-2	2-butanol	9.117
96-29-7	2-butoxime	5.9722
111-76-2	2-butoxyethanol	-2.638
21078-81-9	2-butyl-1-decanol	30.9611
17890-53-8	2-butylbenzothiophene	-3.3859
51655-57-3	2-butyl-nonan-1-ol	29.8458
735273	2-butyl-octan-1-ol	25.3024
110-65-6	2-butyne-1,4-diol	37.354
2837-89-0	2-chloro-1,1,1,2-tetrafluoroethane	-18.6482
75-88-7	2-chloro-1,1,1-trifluoroethane	-22.85
359-10-4	2-chloro-1,1-difluoroethylene	-23.2852
107-07-3	2-chloroethanol	5.1467
557-98-2	2-chloropropene	-30.1334
930-68-7	2-cyclohexene-1-one	-16.9024
90-42-6	2-cyclohexyl cyclohexanone	-16.1819
110-80-5	2-ethoxyethanol	1.9688
111-15-9	2-ethoxyethyl acetate	-2.0992
88-09-5	2-ethyl butyric acid	5.2235
149-57-5	2-ethyl hexanoic acid	15.7769
97-95-0	2-ethyl-1-butanol	9.6407
760-21-4	2-ethyl-1-butene	-20.089
104-76-7	2-ethyl-1-hexanol	1.8304
1632-16-2	2-ethyl-1-hexene	-13.3661
3404-71-5	2-ethyl-1-pentene	-18.4035
645-62-5	2-ethyl-2-hexenal	-7.7433
1196-81-2	2-ethylbenzothiophene	-9.1252
123-05-7	2-ethylhexanal	-6.3393
103-09-3	2-ethylhexyl acetate	-1.2548
103-11-7	2-ethylhexyl acrylate	5.3847
354381	2-ethyl-m-xylene	-11.3303
939-27-5	2-ethylnaphthalene	-11.4051
1758-88-9	2-ethyl-p-xylene	-10.4274
1551-32-2	2-ethyl-tetrahydrothiophene	-19.8803
872-55-9	2-ethylthiophene	-18.14
119-67-5	2-formyl benzoic acid	15.9101
543-49-7	2-heptanol	6.0662
110-43-0	2-heptanone	-9.6624
626-93-7	2-hexanol	7.2465
591-78-6	2-hexanone	-11.819
112-25-4	2-hexoxyethanol	15.7654
764-35-2	2-hexyne	-22.0705
118-93-4	2-hydroxyacetophenone	-1.5309
818-61-1	2-hydroxyethyl acrylate	18.8361
868-77-9	2-hydroxyethyl methacrylate	8.4504
999-61-1	2-hydroxypropyl acrylate	1.4784
923-26-2	2-hydroxypropyl methacrylate	12.864
149-30-4	2-mercaptobenzothiazole	-15.8375
60-24-2	2-mercaptoethanol	1.8485
79-39-0	2-methacrylamide	-9.2981
1589-47-5	2-methoxy propanol-1	-5.0462
109-86-4	2-methoxyethanol	0.7744
1195-14-8	2-methyl benzothiophene	-16.0291
7786-29-0	2-methyl octanal	-0.2199
6165-55-5	2-methyl thiaindan	-17.5663
77-68-9	2-methyl-, 3-hydroxy-2,2,4-trimethylpentyl propanoate	12.6637
497-26-7	2-methyl-1,3-dioxolane	-14.3482
