CAS	Chemical	C1	C2	C3	C4	Tmin	Hv at Tmin	Tmax	Hv  at Tmax 
557-91-5	1,1-Dibromoethane  	57120000	0.5255	0	0	210.15	46111000	628	0
106-93-4	1,2-Dibromoethane  	53700000	0.416	0	0	282.85	42346000	650.15	0
74-95-3	Dibromomethane  	48200000	0.3771	0	0	220.6	40709000	611	0
142-96-1	Dibutyl ether  	59616000	0.38833	0	0	175.3	51902000	584.1	0
541-73-1	m-Dichlorobenzene  	56899000	0.35765	0	0	248.39	48419000	683.95	0
95-50-1	o-Dichlorobenzene  	62117000	0.42845	0	0	256.15	51191000	705	0
106-46-7	p-Dichlorobenzene  	59765000	0.38559	0	0	326.14	46573000	684.75	0
75-34-3	1,1-Dichloroethane  	42117000	0.36927	0	0	176.19	36189000	523	0
107-06-2	1,2-Dichloroethane  	45507000	0.34444	0	0	237.49	37657000	561.6	0
75-09-2	Dichloromethane  	41860000	0.4092	0	0	178.01	35116000	510	0
78-99-9	1,1-Dichloropropane  	47740000	0.39204	0	0	200	40147000	560	0
78-87-5	1,2-Dichloropropane  	46750000	0.36529	0	0	172.71	40997000	572	0
111-42-2	Diethanol amine  	101540000	0.3403	0	0	301.15	84908000	736.6	0
109-89-7	Diethyl amine  	46133000	0.42628	0	0	223.35	35761000	496.6	0
60-29-7	Diethyl ether  	40600000	0.3868	0	0	156.85	34651000	466.7	0
352-93-2	Diethyl sulfide  	47659000	0.37987	0	0	169.2	41537000	557.15	0
75-37-6	1,1-Difluoroethane  	32312000	0.37653	0	0	154.56	26659000	386.44	0
624-72-6	1,2-Difluoroethane  	34552000	0.3499	0	0	215	27427000	445	0
75-10-5	Difluoromethane  	28081000	0.3364	0	0	136.95	23781000	351.26	0
108-18-9	Di-isopropyl amine  	50070000	0.4362	0	0	176.85	41823000	523.1	0
108-20-3	Di-isopropyl ether  	46117000	0.4	0	0	187.65	38207000	500.05	0
565-80-0	Di-isopropyl ketone  	50256000	0.29611	0	0	204.81	44125000	576	0
534-15-6	1,1-Dimethoxyethane  	43872000	0.56226	-0.60662	0.4202	159.95	37528000	507.8	0
7778-85-0	1,2-Dimethoxypropane  	47999000	0.30724	-0.024545	0.091361	226.1	40557000	543	0
503-17-3	Dimethyl acetylene  	38560000	0.3737	0	0	240.91	29557000	473.2	0
124-40-3	Dimethyl amine  	40900000	0.42005	0	0	180.96	32678000	437.2	0
79-29-8	2,3-Dimethylbutane  	41509000	0.38383	0	0	145.19	36388000	500	0
590-66-9	1,1-Dimethylcyclohexane  	50402000	0.4036	0	0	239.66	40862000	591.15	0
2207-01-4	cis-1,2-Dimethylcyclohexane  	52852000	0.41607	0	0	223.16	43662000	606.15	0
6876-23-9	trans-1,2-Dimethylcyclohexane  	51194000	0.405	0	0	184.99	44043000	596.15	0
624-92-0	Dimethyl disulfide  	49825000	0.3958	0	0	188.44	43108000	615	0
115-10-6	Dimethyl ether  	29940000	0.3505	0	0	131.65	26032000	400.1	0
68-12-2	N,N-Dimethyl formamide  	59217000	0.37996	0	0	212.72	50931000	649.6	0
565-59-3	2,3-Dimethylpentane  	46533000	0.37577	0	0	160	40745000	537.3	0
131-11-3	Dimethyl phthalate  	81578000	0.29346	0	0	274.18	71632000	766	0
1111-74-6	Dimethylsilane  	28365000	0.35393	0	0	122.93	24928000	402	0
75-18-3	Dimethyl sulfide  	39022000	0.37731	0	0	174.88	33213000	503.04	0
67-68-5	Dimethyl sulfoxide  	66290000	0.4084	0	0	291.67	53804000	729	0
120-61-6	Dimethyl terephthalate  	72360000	0.2424	0	0	413.8	60070000	772	0
123-91-1	1,4-Dioxane  	50510000	0.3791	0	0	284.95	39263000	587	0
101-84-8	Diphenyl ether  	68243000	0.30877	0	0	300.03	58546000	766.8	0
142-84-7	Dipropyl amine  	54280000	0.3665	0	0	210.15	45500000	550	0
112-40-3	Dodecane  	77337000	0.40681	0	0	263.57	62802000	658	0
112-95-8	Eicosane  	128600000	0.50351	0.32986	-0.42184	309.58	95933000	768	0
74-84-0	Ethane  	21091000	0.60646	-0.55492	0.32799	90.35	17879000	305.32	0
64-17-5	Ethanol  	55789000	0.31245	0	0	159.05	49694000	514	0
141-78-6	Ethyl acetate  	49330000	0.3847	0	0	189.6	41490000	523.3	0
75-04-7	Ethyl amine  	42750000	0.5857	-0.332	0.169	192.15	32955000	456.15	0
100-41-4	Ethylbenzene  	54805000	0.39524	0	0	178.2	47900000	617.15	0
93-89-0	Ethyl benzoate  	67093000	0.33273	0	0	238.45	58382000	698	0
88-09-5	2-Ethyl butanoic acid 	78980000	0.39445	0	0	258.15	64816000	655	0
105-54-4	Ethyl butyrate  	56419000	0.37985	0	0	175.15	49090000	571	0
1678-91-7	Ethylcyclohexane  	53832000	0.41763	0	0	161.84	47318000	609.15	0
1640-89-7	Ethylcyclopentane  	48287000	0.37804	0	0	134.71	43603000	569.5	0
74-85-1	Ethylene  	18844000	0.36485	0	0	104	15936000	282.34	0
107-15-3	Ethylenediamine  	57521000	0.34513	0	0	284.29	45918000	593	0
107-21-1	Ethylene glycol  	83518000	0.42625	0	0	260.15	68989000	720	0
151-56-4	Ethyleneimine  	49400000	0.466	0	0	195.2	40022000	537	0
75-21-8	Ethylene oxide  	36652000	0.37878	0	0	160.65	31271000	469.15	0
109-94-4	Ethyl formate  	45909000	0.4123	0	0	193.55	37679000	508.4	0
149-57-5	2-Ethyl hexanoic acid 	111840000	0.86189	-0.47845	0.048646	235	82832000	674.6	0
5756-43-4	Ethylhexyl ether  	62786000	0.39513	0	0	180	54262000	583	0
625-54-7	Ethylisopropyl ether  	42580000	0.37221	0	0	140	37556000	489	0
565-69-5	Ethylisopropyl ketone 	52207000	0.34893	0	0	204.15	44677000	567	0
75-08-1	Ethyl mercaptan  	38440000	0.37534	0	0	125.26	34489000	499.15	0
105-37-3	Ethyl propionate  	53325000	0.401	0	0	199.25	44449000	546	0
628-32-0	Ethylpropyl ether  	54380000	0.60624	0	0	145.65	44140000	500.23	0
115-21-9	Ethyltrichlorosilane  	49482000	0.39871	0	0	167.55	42942000	559.95	0
7782-41-4	Fluorine  	8875700	0.34072	0	0	53.48	7578000	144.12	0
462-06-6	Fluorobenzene  	45820000	0.3717	0	0	230.94	37605000	560.09	0
353-36-6	Fluoroethane  	27617000	0.32162	0	0	129.95	24089000	375.31	0
