CAS	Chemical	C1	C2	C3	C4	Tmin	Hv at Tmin	Tmax	Hv  at Tmax 
629-59-4	Tetradecane  	90539000	0.44467	0	0	279.01	72002000	693	0
109-99-9	Tetrahydrofuran  	43021000	0.36972	0	0	164.65	37610000	540.15	0
119-64-2	1,2,3,4-Tetrahydronaphthalene  	68086000	0.43054	0	0	237.38	57314000	720	0
110-01-0	Tetrahydrothiophene  	50642000	0.38904	0	0	176.99	44565000	631.95	0
594-82-1	2,2,3,3-Tetramethylbutane  	49055000	0.40678	0	0	373.96	31691000	568	0
110-02-1	Thiophene  	45854000	0.38756	0	0	234.94	37484000	579.35	0
108-88-3	Toluene  	49507000	0.37742	0	0	178.18	43246000	591.75	0
79-00-5	1,1,2-Trichloroethane  	50929000	0.38013	0	0	236.5	42130000	602	0
629-50-5	Tridecane  	84339000	0.4257	0	0	267.76	68015000	675	0
121-44-8	Triethyl amine  	46640000	0.3663	0	0	158.45	41011000	535.15	0
75-50-3	Trimethyl amine  	33050000	0.354	0	0	156.08	28216000	433.25	0
526-73-8	1,2,3-Trimethylbenzene  	59996000	0.35578	0	0	247.79	50818000	664.5	0
95-63-6	1,2,4-Trimethylbenzene  	59254000	0.35709	0	0	229.33	50713000	649.1	0
540-84-1	2,2,4-Trimethylpentane  	47711000	0.37949	0	0	165.78	41561000	543.8	0
560-21-4	2,3,3-Trimethylpentane  	49910000	0.383	0	0	172.22	43530000	573.5	0
99-35-4	1,3,5-Trinitrobenzene  	106870000	0.38	0	0	398.4	83906000	846	0
118-96-7	2,4,6-Trinitrotoluene  	106860000	0.40074	0	0	354	85455000	828	0
1120-21-4	Undecane  	72284000	0.40607	0	0	247.57	59240000	639	0
112-42-5	1-Undecanol  	87274000	-1.5834	5.0913	-3.2171	288.45	89007000	703.9	0
108-05-4	Vinyl acetate  	47700000	0.3765	0	0	180.35	40619000	519.13	0
689-97-4	Vinyl acetylene  	36490000	0.4	0.043	0	173.15	29876000	454	0
75-01-4	Vinyl chloride  	34125000	0.4513	0	0	119.36	29491000	432	0
75-94-5	Vinyl trichlorosilane  	45659000	0.36278	0	0	178.35	39520000	543.15	0
7732-18-5	Water  	52053000	0.3199	-0.212	0.25795	273.16	44733000	647.1	0
108-38-3	m-Xylene  	54626000	0.37289	0	0	225.3	46112000	617	0
95-47-6	o-Xylene  	55395000	0.37788	0	0	247.98	45859000	630.3	0
106-42-3	p-Xylene  	53819000	0.36695	0	0	286.41	42787000	616.2	0
