CASRN	Chemical	Formula	Tb	HvapTb	Hvap298
7791-21-1	Chlorine monoxide	Cl2O	275.35	25900	
7791-25-5	Sulfuryl chloride	Cl2O2S	342.55	31400	30100
78-75-1	1,2-Dibromopropane	C3H6Br2	415.05	35610	41670
78-77-3	1-Bromo-2-methylpropane	C4H9Br	364.25	31330	34820
78-78-4	Isopentane	C5H12	301.03	24690	24850
78-81-9	Isobutylamine	C4H11N	340.9	30610	33850
78-82-0	2-Methylpropanenitrile	C4H7N	377.05	32390	37130
78-83-1	2-Methyl-1-propanol	C4H10O	381.04	41820	50820
78-92-2	2-Butanol	C4H10O	372.66	40750	49720
78-93-3	2-Butanone	C4H8O	352.74	31300	34790
7803-51-2	Phosphine	H3P	185.4	14600	
7803-52-3	Stibine	H3Sb	256.15	21300	
7803-62-5	Silane	H4Si	161.25	12100	
78918-91-9	3-Methylhexane	C7H16	365.15	30900	
79-00-5	1,1,2-Trichloroethane	C2H3Cl3	386.95	34820	40240
79-01-6	Trichloroethene	C2HCl3	360.36	31400	34540
79-09-4	Propanoic acid	C3H6O2	414.3		32140
79-20-9	Methyl acetate	C3H6O2	330.02	30320	32290
79-24-3	Nitroethane	C2H5NO2	387.15	38000	
79-27-6	1,1,2,2-Tetrabromoethane	C2H2Br4	516.65	48700	
79-29-8	2,3-Dimethylbutane	C6H14	331.08	27380	29120
79-31-2	2-Methylpropanoic acid	C4H8O2	427.6		35300
79-34-5	1,1,2,2-Tetrachloroethane	C2H2Cl4	418.35	37640	45710
79-46-9	2-Nitropropane	C3H7NO2	393.35	36800	
80-62-6	Methyl methacrylate	C5H8O2	373.65	36000	
821-55-6	2-Nonanone	C9H18O	468.45		56440
821-67-0	Azopropane	C6H14N2	387.15		39880
827-52-1	Cyclohexylbenzene	C12H16	513.25		60800
84-74-2	Dibutyl phthalate	C16H22O4	613.15	79200	
85-01-8	Phenanthrene	C14H10	613.15		75500
871-83-0	2-Methylnonane	C10H22	440.25	38230	49630
872-05-9	1-Decene	C10H20	443.65		50430
873-49-4	Cyclopropylbenzene	C9H10	446.75		50220
90-02-8	Salicylaldehyde	C7H6O2	470.15	38200	
90-11-9	1-Bromonaphthalene	C10H7Br	554.15	39300	
90-12-0	1-Methylnaphthalene	C11H10	517.85	45500	
90-13-1	1-Chloronaphthalene	C10H7Cl	532.15	52100	
91-20-3	Naphthalene	C10H8	491.05	43200	
91-22-5	Quinoline	C9H7N	510.31	49700	59300
91-62-3	6-Methylquinoline	C10H9N	531.75		67700
91-63-4	2-Methylquinoline	C10H9N	519.65		66100
91840-99-2	2-Butanethiol	C4H10S	358.15	30590	33990
92-51-3	Cyclohexylcyclohexane	C12H22	511.15		57980
922-62-3	3-Methyl-cis-2-pentene	C6H12	340.85		32090
93-58-3	Methyl benzoate	C8H8O2	472.15		55570
93658-33-4	7-Heptadecanol	C17H36O			108200
95-47-6	o-Xylene	C8H10	417.65	36240	43430
95-48-7	o-Cresol	C7H8O	464.19	45190	
95-49-8	2-Chlorotoluene	C7H7Cl	432.15	37500	
95-50-1	o-Dichlorobenzene	C6H4Cl2	453.15	39660	50210
95-51-2	2-Chloroaniline	C6H6ClN	481.95	44400	
95-52-3	2-Fluorotoluene	C7H7F	388.15	35400	
95-53-4	2-Methylaniline	C7H9N	473.45	44600	
95-63-6	1,2,4-Trimethylbenzene	C9H12	442.53		47930
95-65-8	3,4-Xylenol	C8H10O	500.15		85030
95-68-1	2,4-Dimethylaniline	C8H11N	487.15		61300
95-78-3	2,5-Dimethylaniline	C8H11N	487.15		61700
95-87-4	2,5-Xylenol	C8H10O	484.25	46900	
95-92-1	Diethyl oxalate	C6H10O4	458.85	42000	
96-14-0	3-Methylpentane	C6H14	336.42	28060	30280
96-18-4	1,2,3-Trichloropropane	C3H5Cl3	430.15	37100	
96-22-0	3-Pentanone	C5H10O	374.85	33450	38520
96-33-3	Methyl acrylate	C4H6O2	353.85	33100	
96-34-4	Methyl chloroacetate	C3H5ClO2	402.65	39230	46730
96-37-7	Methylcyclopentane	C6H12	344.95	29080	31640
96-41-3	Cyclopentanol	C5H10O	413.57		57050
96-48-0	γ-Butyrolactone	C4H6O2	477.15	52200	
97-62-1	Ethyl 2-methylpropanoate	C6H12O2	383.25	33670	39830
97-85-8	Isobutyl isobutanoate	C8H16O2	421.75	38200	
97-95-0	2-Ethyl-1-butanol	C6H14O	420.15	43200	
97-99-4	Tetrahydrofurfuryl alcohol	C5H10O2	451.15	45200	
98-00-0	Furfuryl alcohol	C5H6O2	444.15	53600	
98-01-1	Furfural	C5H4O2	434.85	43200	
98-06-6	tert-Butylbenzene	C10H14	442.25		47600
98-08-8	(Trifluoromethyl)benzene	C7H5F3	375.25	32630	37600
98-82-8	Isopropylbenzene	C9H12	425.56		45130
98-86-2	Acetophenone	C8H8O	475.15	43980	55400
98-95-3	Nitrobenzene	C6H5NO2	483.95		55010
99-87-6	1-Isopropyl-4-methylbenzene	C10H14	450.25	38200	
