CASRN	Chemical	Formula	Tb	HvapTb	Hvap298
6163-64-0	tert-Butyl methyl sulfide	C5H12S	372.05	31470	35840
6163-66-2	Di-tert-butyl ether	C8H18O	380.38	32150	37610
617-78-7	3-Ethylpentane	C7H16	366.65	31120	35220
619-99-8	3-Ethylhexane	C8H18	391.75	33590	39640
62-53-3	Aniline	C6H7N	457.32	42440	55830
62016-38-0	2,4,7-Trimethyloctane	C11H24	441.25	38220	49910
623-42-7	Methyl butanoate	C5H10O2	375.95	33790	39280
624-08-8	9-Heptadecanol	C17H36O			108500
624-24-8	Methyl pentanoate	C6H12O2	400.55	35360	43100
624-29-3	cis-1,4-Dimethylcyclohexane	C8H16	397.55	33280	39020
624-64-6	trans-2-Butene	C4H8	274.03	22720	21400
624-89-5	Ethyl methyl sulfide	C3H8S	339.85	29530	31850
624-92-0	Dimethyl disulfide	C2H6S2	382.89	33780	37860
625-23-0	2-Methyl-2-hexanol	C7H16O	416.15		58570
625-25-2	2-Methyl-2-heptanol	C8H18O	429.15		62870
625-27-4	2-Methyl-2-pentene	C6H12	340.45		31600
625-28-5	3-Methylbutanenitrile	C5H9N	400.65	35100	41640
625-44-5	Isobutyl methyl ether	C5H12O	331.75	28020	30130
625-50-3	N-Ethylacetamide	C4H9NO	478.15		64890
625-54-7	Ethyl isopropyl ether	C5H12O	327.25	28210	30080
625-65-0	2,4-Dimethyl-2-pentene	C7H14	356.55		34190
625-80-9	Diisopropyl sulfide	C6H14S	393.15	33800	39600
626-89-1	4-Methyl-1-pentanol	C6H14O	425.05	44460	60470
627-20-3	cis-2-Pentene	C5H10	310.08		26860
627-45-2	N-Ethylformamide	C3H7NO	471.15		58440
627-93-0	Dimethyl 1,6-hexanedioate	C8H14O4			69000
628-17-1	1-Iodopentane	C5H11I	430.15		45270
628-28-4	Butyl methyl ether	C5H12O	343.31	29550	32370
628-29-5	Butyl methyl sulfide	C5H12S	396.55	34470	40460
628-32-0	Ethyl propyl ether	C5H12O	336.36	28940	31430
628-63-7	Pentyl acetate	C7H14O2	422.35	38420	48560
628-73-9	Hexanenitrile	C6H11N	436.8		47910
628-76-2	1,5-Dichloropentane	C5H10Cl2	452.15		50710
628-80-8	Methyl pentyl ether	C6H14O	372.15	32020	36850
628-81-9	Butyl ethyl ether	C6H14O	365.45	31630	36320
629-04-9	1-Bromoheptane	C7H15Br	452.05		50600
629-05-0	1-Octyne	C8H14	399.45	35830	42300
629-06-1	1-Chloroheptane	C7H15Cl	433.55		47660
629-11-8	1,6-Hexanediol	C6H14O2	481.15		90200
629-14-1	1,2-Diethoxyethane	C6H14O2	394.35	36280	43200
629-30-1	1,7-Heptanediol	C7H16O2	535.15		97900
629-41-4	1,8-Octanediol	C8H18O2			104900
629-50-5	Tridecane	C13H28	508.62	46200	66680
629-59-4	Tetradecane	C14H30	526.73	48160	71730
629-62-9	Pentadecane	C15H32	543.75	50080	76770
629-63-0	Tetradecanenitrile	C14H27N			85290
629-73-2	1-Hexadecene	C16H32	558.05		80250
629-76-5	1-Pentadecanol	C15H32O	573.15		103500
629-78-7	Heptadecane	C17H36	575.15	53580	86470
629-92-5	Nonadecane	C19H40	603.05	56930	96400
629-96-9	1-Eicosanol	C20H42O	629.15		125900
630-08-0	Carbon monoxide	CO	81.65	6040	
630-18-2	2,2-Dimethylpropanenitrile	C5H9N	379.25	32400	37350
638-04-0	cis-1,3-Dimethylcyclohexane	C8H16	393.25	32910	38260
638-45-9	1-Iodohexane	C6H13I	454.45		49750
638-46-0	Butyl ethyl sulfide	C6H14S	417.45	37010	44510
64-17-5	Ethanol	C2H6O	351.44	38560	42320
64-18-6	Formic acid	CH2O2	374.15	22690	20100
64-19-7	Acetic acid	C2H4O2	391.05	23700	23360
641-06-5	Triacetamide	C6H9NO3			60410
6443-92-1	cis-2-Heptene	C7H14	371.55		36260
646-04-8	trans-2-Pentene	C5H10	309.49		26760
659-70-1	Isopentyl isopentanoate	C10H20O2	463.55	45900	
661-19-8	1-Docosanol	C22H46O			135900
661-97-2	1,2-Dichloro-1,1,2,3,3,3-hexafluoropropane	C3Cl2F6	307.25	26280	26930
67-56-1	Methanol	CH4O	337.75	35210	37430
67-63-0	2-Propanol	C3H8O	355.45	39850	45390
67-64-1	Acetone	C3H6O	329.2	29100	30990
67-66-3	Trichloromethane	CHCl3	334.32	29240	31280
67-68-5	Dimethyl sulfoxide	C2H6OS	462.15	43100	
674-76-0	4-Methyl-trans-2-pentene	C6H12	331.75		29970
674-82-8	Diketene	C4H4O2	399.25	36800	42890
6742-54-7	Undecylbenzene	C17H28	589.15		82400
68-12-2	N,N-Dimethylformamide	C3H7NO	426.15		46890
6863-58-7	Di-sec-butyl ether	C8H18O	394.25	34060	40840
6876-23-9	trans-1,2-Dimethylcyclohexane	C8H16	396.65	32960	38360
688-74-4	Tributyl borate	C12H27BO3	507.15	56100	
