VLCAYQIMSMPEBW-UHFFFAOYSA-N	1 1 1	1 2 3 1 7 1 14 1 77 1 	1 2 3 1 7 1 77 1 81 1 	1 2 3 1 7 1 14 1 77 1 
QNHNSPNFZFBEQR-UHFFFAOYSA-N	1 0 1	2 3 14 3 29 1 32 1 81 1 	2 3 29 1 32 1 82 3 	2 3 14 3 29 1 32 1 81 1 
ZUWLIWZVBOETHU-JEIPZWNWSA-N	1 1 1	1 2 2 32 6 1 77 2 	1 2 2 32 6 1 77 2 	1 2 2 32 6 1 77 2 
WPRAXAOJIODQJR-UHFFFAOYSA-N	1 1 1	9 3 10 1 11 2 18 1 	9 3 10 1 11 2 18 1 	9 3 10 1 11 2 18 1 
WNWMJFBAIXMNOF-UHFFFAOYSA-N	1 0 1	1 4 2 2 81 1 	1 4 2 2 	1 4 2 2 81 1 
IYOLBFFHPZOQGW-UHFFFAOYSA-N	1 1 1	9 1 11 2 17 1 53 2 	9 1 11 2 17 1 53 2 	9 1 11 2 17 1 53 2 
OOWGFJQYZCXHEY-UHFFFAOYSA-N	1 1 1	9 4 10 2 24 1 100 1 	2 1 9 4 10 2 14 1 24 1 25 1 	9 4 10 2 24 1 100 1 
XHHZIFBFFGIFNI-UHFFFAOYSA-N	1 0 1	2 4 9 3 10 3 27 6 64 1 	9 3 10 3 27 4 64 1 78 2 	2 4 9 3 10 3 27 6 64 1 
HMNFSPVCKZFHGZ-UHFFFAOYSA-N	1 1 1	2 6 5 2 9 4 10 2 25 2 77 2 	2 6 5 2 9 4 10 2 25 2 77 2 	2 6 5 2 9 4 10 2 25 2 77 2 
QNZLAXONNWOLJY-UHFFFAOYSA-N	1 1 1	1 1 2 5 18 1 22 1 	1 1 2 5 18 1 22 1 	1 1 2 5 18 1 22 1 
QJGWNDLRYDTKEI-UHFFFAOYSA-N	1 1 1	1 2 2 4 96 1 	1 2 2 4 100 1 	1 2 2 4 96 1 
DEGXTCKEZCCZOP-UHFFFAOYSA-N	1 1 1	1 2 2 1 3 1 38 1 	1 2 3 1 9 2 12 1 37 1 	1 2 2 1 3 1 38 1 
QSCYGMBVVDDPGY-UHFFFAOYSA-N	1 1 1	1 1 2 7 3 1 21 2 22 1 	1 1 2 7 3 1 21 2 22 1 	1 1 2 7 3 1 21 2 22 1 
RKOUCPMGBBKLNK-UHFFFAOYSA-N	1 1 1	1 4 2 4 3 7 8 1 14 3 42 1 	1 4 2 3 3 5 8 1 42 1 78 1 79 2 81 3 	1 4 2 4 3 7 8 1 14 3 42 1 
WDMOXLRWVGEXJV-UHFFFAOYSA-N	1 1 1	1 2 2 6 3 1 20 1 	1 2 2 6 3 1 20 1 	1 2 2 6 3 1 20 1 
LUGFNAYTNQMMMY-UHFFFAOYSA-N	1 1 1	1 2 2 2 3 2 19 1 	1 2 19 1 78 2 79 2 	1 2 2 2 3 2 19 1 
LCXMEXLGMKFLQO-UHFFFAOYSA-N	1 1 1	9 4 10 2 53 6 	9 4 10 2 53 6 	9 4 10 2 53 6 
CHWNEIVBYREQRF-UHFFFAOYSA-N	1 1 1	1 1 9 3 10 1 12 1 17 1 24 1 	1 1 9 3 10 1 12 1 17 1 24 1 	1 1 9 3 10 1 12 1 17 1 24 1 
BRUOAURMAFDGLP-UHFFFAOYSA-N	1 1 1	9 8 10 6 64 2 	9 8 10 6 64 2 	9 8 10 6 64 2 
GAUOXRYNXHWONS-UHFFFAOYSA-N	1 1 1	2 1 75 2 	75 2 78 1 	2 1 75 2 
CTURECVBUDVEDW-UHFFFAOYSA-N	1 1 1	1 2 2 5 7 2 	1 2 2 5 7 2 	1 2 2 5 7 2 
WDRSCFNERFONKU-UHFFFAOYSA-N	1 1 1	3 1 9 5 12 1 42 1 64 1 	3 1 9 5 12 1 42 1 64 1 	3 1 9 5 12 1 42 1 64 1 
