101-59-7	s
101-60-0	s
101-61-1	s
1016-19-9	s
101-63-3	s
101-64-4	s
1016-58-6	s
1016-77-9	s
1016-78-0	s
101-68-8	s
101-70-2	s
101-71-3	s
1017-22-7	s
101-72-4	s
101-73-5	s
1017-56-7	s
101-75-7	s
101-76-8	s
101-77-9	s
101-79-1	s
101-80-4	s
101-81-5	s
101-82-6	l
101-83-7	l
101-84-8	s
101-86-0	l
1018-71-9	s
101-90-6	s
10191-60-3	s
101-91-7	s
101-92-8	s
101-93-9	s
1019-45-0	s
1019-52-9	s
1019-57-4	s
101-96-2	l
101-97-3	l
10199-50-5	s
101-99-5	s
10199-89-0	s
102-01-2	s
102-02-3	s
10203-08-4	s
1020-31-1	s
10203-28-8	l
10203-30-2	s
10203-32-4	l
10203-33-5	l
102-04-5	s
102-06-7	s
102-07-8	s
102082-89-3	s
1020-84-4	s
102-08-9	s
102-09-0	s
10210-64-7	s
10213-74-8	s
102-14-7	s
10220-20-9	s
102-20-5	s
1022-13-5	s
10222-01-2	s
10222-95-4	l
102-24-9	l
102-25-0	l
102-28-3	s
102-29-4	s
10230-26-9	l
10230-68-9	s
102-32-9	s
10233-13-3	l
102-36-3	s
10238-21-8	s
10240-08-1	s
10241-05-1	s
1024-57-3	s
102-47-6	l
102-50-1	l
102-51-2	s
102-54-5	s
102-56-7	s
10257-92-8	s
102593-74-8	s
10262-69-8	s
10265-92-6	s
102-69-2	l
102-70-5	l
102-71-6	l
10272-07-8	s
10276-09-2	l
102-76-1	l
102-77-2	s
102-79-4	l
102-82-9	l
102-83-0	l
10283-15-5	s
1028-33-7	s
102-87-4	l
10287-53-3	s
10289-68-6	s
102-92-1	s
10292-98-5	s
10294-33-4	l
10294-34-5	g
10294-40-3	s
10294-46-9	s
10294-48-1	l
10294-54-9	s
10294-70-9	s
102-96-5	s
10298-80-3	s
103-00-4	l
103-01-5	s
103-02-6	s
103-03-7	s
103-05-9	s
103-09-3	l
1031-07-8	s
103-11-7	l
10311-84-9	s
103-12-8	s
103140-12-1	s
103-14-0	s
1031-47-6	s
10316-00-4	s
103-16-2	s
103-17-3	s
1031-93-2	s
103-19-5	s
10321-71-8	s
103-23-1	l
10325-94-7	s
10326-41-7	s
103-26-4	s
10328-92-4	s
103-29-7	s
103-30-0	s
103-32-2	s
103-33-3	s
103-34-4	s
103361-09-7	s
1034-01-1	s
103-41-3	s
103426-97-7	s
10342-83-3	s
103-43-5	s
103-44-6	l
103-45-7	l
103-46-8	s
103-47-9	s
103-49-1	l
