Tc	Pc	c0	c1	c2	name	inchikey
572	3733172.41196	0.980507488284996	0.891259180704695	0.877072088985145	propyl chloroformate	QQKDTTWZXHEGAQ-UHFFFAOYSA-N
679	2445468.33609	0.214300605407234	0.823937776166118	3.02628896210257	1,1-dichlorooctane	OQYNFBPKTVQOKO-UHFFFAOYSA-N
530.9	3929372.47275	0.213724092601633	0.848508616424933	2.57320073190741	1,3,5-trifluorobenzene	JXUKFFRPLNTYIV-UHFFFAOYSA-N
786	4115791.67336	0.512399870419155	0.786510735654349	1.41168769576989	1,2,3,4-tetrahydroquinoline	LBUJPTNKIBCYBY-UHFFFAOYSA-N
831	4457311.46701	0.340927677022914	0.850949849878962	2.53407198156154	.gamma.,.gamma.'-bipyridyl	MWVTWFVJZLCBMC-UHFFFAOYSA-N
460	3327511.00792	0.177486412331719	0.831937288618132	2.86539395714991	1,1,2,2,3,3,4,4,5-nonafluorocyclopentane	SOJZMJXWEOBDIC-UHFFFAOYSA-N
540.5	3121894.43378	0.306323968393541	0.815163635106616	2.00290760070098	1-(ethenyloxy)butane	UZKWTJUDCOPSNM-UHFFFAOYSA-N
735	3951622.25295	0.3312311734312	0.814466393253071	1.92355658111697	1H-2-benzopyran, 3,4-dihydro-	HEBMCVBCEDMUOF-UHFFFAOYSA-N
503	1831871.7485	0.273282204308672	0.813016728665216	2.66588002379478	1,1,1,2,2,3,3,4,4-nonafluoro-4-propoxybutane	TVOMDPDLBZJPTG-UHFFFAOYSA-N
537	1256288.84494	0.405733398743568	0.803435392106537	2.40965601333103	perfluoro(2-methylpropyl)cyclohexane	KOIDEQKLBFUNQU-UHFFFAOYSA-N
484	1911392.50053	0.572145491842477	0.814003493105186	1.74832755926916	1,1,1,2,2,3,3-heptafluoro-3-(2,2,3,3-tetrafluoropropoxy)propane	SOERTGBQDRIVMU-UHFFFAOYSA-N
597	3598521.82276	0.261643454538606	0.825717807631515	1.99295260717284	2,2-dimethyl-3-thiapentane	GZJUDUMQICJSFJ-UHFFFAOYSA-N
538.9	3302585.00213	0.24793589996383	0.827325632705613	2.12374297348854	1-butene, 2-ethyl-3-methyl-	ADHCYQWFCLQBFG-UHFFFAOYSA-N
304.179353468	7381764.54696	0.646067920218348	0.827942676466649	0.957675702925436	carbon dioxide	CURLTUGMZLYLDI-UHFFFAOYSA-N
700	2419256.61243	0.191245920945692	0.836577026761756	2.60658662959777	1,3,5-trimethyl-tricyclo[3.3.1.1(3,7)]decane	WCACLGXPFTYVEL-UHFFFAOYSA-N
744	3824631.22339	0.454158106120477	0.815659453800438	1.56186121403586	5,6,7,8-tetrahydroquinoline	YQDGQEKUTLYWJU-UHFFFAOYSA-N
883	6716253.87069	1.28000467075134	0.692151741859672	0.482382122586331	4,5-dichloro-1-methyl-1H-imidazole	VVYQLPWYFQBZOL-UHFFFAOYSA-N
452	2161323.24458	0.581353937896577	0.833466129140099	1.49935924853062	undecafluoropiperidine	VCEAGMYKGZNUFL-UHFFFAOYSA-N
618	3886958.16058	0.283282542747153	0.823579264748154	1.97546381632313	1,3-dichlorobutane	QBGVARBIQGHVKR-UHFFFAOYSA-N
706	1323248.27392	0.29292352144611	0.808489563707636	3.38092195062211	N,N-dimethyl(2-pentylnonyl)amine	OCKPWMNLYXGKSL-UHFFFAOYSA-N
608	3585637.45475	0.187986124627194	0.851410691956301	2.5267695788536	2,3-dimethyl-2-butanethiol	CRJLQECEGNIMNG-UHFFFAOYSA-N
740	3143251.09006	1.20365312843952	0.999998450530955	0.765802620367144	benzonitrile, o-chloro-	NHWQMJMIYICNBP-UHFFFAOYSA-N
763	2340397.71234	1.48349988433134	0.991294923226274	0.653816920309719	2,6-bis(1,1-dimethylethyl)-4-methylphenol	SMNGQGWPUVVORF-UHFFFAOYSA-N
565.3	2935641.08415	0.292755399550363	0.822702375627438	1.95343886111524	3-ethyl-2-methyl-1-pentene	HPHHYSWOBXEIRG-UHFFFAOYSA-N
668	3105312.51521	0.237553812028422	0.828308882933242	2.34173037272938	1-methylpropylcyclohexane	QTYARKOMFKRPSY-UHFFFAOYSA-N
606	2305737.46041	0.722506093452578	0.853410883192337	1.18867834631363	tetraethylsilane	VCZQFJFZMMALHB-UHFFFAOYSA-N
367.85	3379452.68218	0.165942937509939	0.843701186610807	2.652585391263	2,3,3,3-tetrafluoro-1-propene	FXRLMCRCYDHQFW-UHFFFAOYSA-N
607.51	2716106.20268	0.643019630234622	0.85512584701095	1.1722848093716	2,3,3,4-tetramethylpentane	JLCYYQOQSAMWTA-UHFFFAOYSA-N
577	2867665.52204	0.559517832425115	0.840554960671924	1.2484484556319	1,cis-2,trans-4-trimethylcyclopentane	PNUFYSGVPVMNRN-WHUPJOBBSA-N
431.95	2781464.96891	0.190875528719758	0.827678527007638	2.94841096325706	1,1,1,2,2,3,3,4-octafluorobutane	XALFNZSGFNPWSM-UHFFFAOYSA-N
643	4817970.73595	0.515072752482557	0.845834565415624	1.44572216223228	2,4-dimethylthiazole	OBSLLHNATPQFMJ-UHFFFAOYSA-N
516	3657510.28765	0.289161933849126	0.865186851511836	2.32263177038884	(Z)-3-methyl-2-pentene	BEQGRRJLJLVQAQ-XQRVVYSFSA-N
634	3860612.66217	0.297488912914812	0.822186928736956	1.7887642511915	5-ethenylbicyclo[2.2.1]-2-heptene	INYHZQLKOKTDAI-UHFFFAOYSA-N
698	3507671.17589	0.455597583030208	0.811049990526364	1.60734384597739	(mercaptomethyl)benzene	UENWRTRMUIOCKN-UHFFFAOYSA-N
729	2595367.60311	1.45070690156505	0.728996997425663	0.710549027389945	2-(2-pentyl)phenol	ROMXEVFSCNLHAB-UHFFFAOYSA-N
793	4612659.48578	1.78537087732621	0.839114969581573	0.496145978496309	3,4-dichlorophenol	WDNBURPWRNALGP-UHFFFAOYSA-N
519.994859957	2770308.19364	1.09462366215043	0.969732487818082	0.847341574186486	(+-)-1,4-dichloro-1,1,2,3,4,4-hexafluorobutane	CRWVIHDUBRTGIP-JCYAYHJZSA-N
289.748148424	5836332.76019	0.0955197650363965	0.891991258682787	1.98793501729728	xenon	FHNFHKCVQCLJFQ-UHFFFAOYSA-N
852	2592546.24538	0.681897681772769	0.828155761986271	1.47453932929802	1,2,3,4-tetrahydro-N-methylcarbazole	LXRZSWPAXJBXQM-UHFFFAOYSA-N
323.48695	8020385.95361	0.838921254588031	0.999797672119383	0.666869231603363	deuterium chloride	VEXZGXHMUGYJMC-DYCDLGHISA-N
449.001544554	3511510.50349	0.758192791227255	0.855697749926792	1.15540034528931	1,1,1-trifluoro-2-methoxyethane	OHLVGBXMHDWRRX-UHFFFAOYSA-N
858	4180260.72395	0.35584484607357	0.81019279617882	1.92469268284337	(E)-1,2-diphenyldiazene	DMLAVOWQYNRWNQ-BUHFOSPRSA-N
816	3827397.08117	1.27659980848105	0.999984852510366	0.727884218922468	4-phenylpyrimidine	MKLQPIYLZMLAER-UHFFFAOYSA-N
857	2945596.02474	0.774446783098958	0.850601622431252	1.18217061413358	1,2,3,4-tetrahydrodibenzothiophene	JCLPOPNXITXHOR-UHFFFAOYSA-N
726	2993833.56623	0.491872750680253	0.815073680921739	1.60010801025925	2,3-dihydro-4,7-dimethyl-1H-indene	IWHKMCQFAMHMSX-UHFFFAOYSA-N
707	4792240.95807	1.55744183866995	0.555816164390811	0.441792737043945	bromotrinitromethane	KWSSHZBBUQSMKF-UHFFFAOYSA-N
396.44	3950362.65529	0.660876122122244	0.923119486462888	0.91816082978848	trifluoroiodomethane	VPAYJEUHKVESSD-UHFFFAOYSA-N
594	4946124.34374	1.12476175747116	0.910468480719387	0.785042960495628	.gamma.-methoxypropylamine	FAXDZWQIWUSWJH-UHFFFAOYSA-N
538	1187953.57466	0.369858826864992	0.802264808177448	2.48141310859222	cis-perfluorodecahydronaphthalene	UWEYRJFJVCLAGH-XIXRPRMCSA-N
735	1536828.16293	0.327389628820183	0.814646751521429	3.23160707918252	8-pentadecanone	PQYGSSYFJIJDFK-UHFFFAOYSA-N
914	4162491.13281	1.77440462204412	0.913323171093919	0.547989961882807	9-fluorenemethanol	XXSCONYSQQLHTH-UHFFFAOYSA-N
536	1015361.88112	0.345387272195644	0.799189379525892	3.62925135884105	perfluoro-2,4,6,8,11,13,15,17-octaoxaoctadecane	FUEWSPZXMQYTKN-UHFFFAOYSA-N
