CASRN	Chemical	T	Permittivity	A	B	C	D	Tmin	Tmax
103-65-1	Propylbenzene	293.2	2.37	2.6933	0.00021679	-0.0000044643		273	323
103-69-5	N-Ethylaniline	293.2	5.87						
103-71-9	Phenyl isocyanate	293.2	8.94	17.541	-0.02979	0.0000015476		293	353
103-73-1	Ethoxybenzene	293.2	4.216	-15.043	0.13752	-0.000245		293	313
103-82-2	Benzeneacetic acid	353.2	3.47	2.4104	0.003			353	393
10327-08-9	2-Bromopropanoic acid, ()-	294.2	11						
10395-45-6	Carvenone, (S)-	293.2	18.8						
104-12-1	4-Chlorophenyl isocyanate	288.2	3.177	4.0896	-0.0031667			288	348
104-51-8	Butylbenzene	293.2	2.359						
104-57-4	Benzyl formate	303.2	6.34	26.162	-0.11026	0.00014787		303	358
104-76-7	2-Ethyl-1-hexanol	298.2	7.58	86.074	-0.42636	0.00055078		208	318
104-92-7	4-Bromoanisole	303.2	7.4	7.4367	0.012648	-0.000042128		303	358
104-93-8	4-Methylanisole	293.2	3.914	8.6608	-0.02351	0.000025		293	333
104-94-9	4-Methoxyaniline	333.2	7.85	30.149	-0.10523	0.00011467		333	453
105-05-5	p-Diethylbenzene	293.2	2.259						
105-36-2	Ethyl bromoacetate	303.2	9.75	15.627	-0.0196			303	333
105-37-3	Ethyl propanoate	293.2	5.76						
105-40-8	Ethyl N-methylcarbamate	298.2	21.1	114.77	-0.47568	0.00054127		298	373
105-46-4	sec-Butyl acetate	293.2	5.135	12.427	-0.032035	0.000024286		273	323
105-53-3	Diethyl malonate	304.2	7.55	14.809	-0.031207	0.000024066		304	393
105-54-4	Ethyl butanoate	301.2	5.18	48.698	-0.2566	0.00037237		301	343
105-56-6	Ethyl cyanoacetate	263.2	31.62						
105-58-8	Diethyl carbonate	297.2	2.82						
105-66-8	Propyl butanoate	293.2	4.3						
105-67-9	2,4-Xylenol	303.2	5.06	22.125	-0.085543	0.000096548		303	363
105-68-0	Isopentyl propanoate	273.2	5.21	17.665	-0.071718	0.000095635		273	373
105-70-4	Glycerol 1,3-diacetate	288.2	9.8	28.321	-0.089073	0.000086891		258	374
10544-63-5	Ethyl 2-butenoate	293.2	5.4						
10544-72-6	Nitrogen tetroxide	293.2	2.44	2.8212	-0.0013			253	293
10544-73-7	Nitrogen trioxide	203.2	31.13	92.287	-0.43306	0.00065		203	243
10545-99-0	Sulfur dichloride	298.2	2.915						
10588-10-0	Isobutyl pentanoate	292.2	3.8						
106-27-4	Isopentyl butanoate	293.2	4						
106-31-0	Butanoic anhydride	293.2	12.8						
106-33-2	Ethyl laurate	273.2	3.94						
106-35-4	3-Heptanone	293.2	12.7						
106-36-5	Propyl propanoate	293.2	5.249						
106-37-6	p-Dibromobenzene	368.2	2.57						
106-38-7	4-Bromotoluene	293.2	5.503	10.014	-0.013918	-0.000005		273	293
106-42-3	p-Xylene	293.2	2.2735	2.314	0.00097221	-0.00000375		293	363
106-43-4	4-Chlorotoluene	293.2	6.25	2.0265	0.04006	-0.0000875		293	333
