CASRN	Chemical	T	Permittivity	A	B	C	D	Tmin	Tmax
123-19-3	4-Heptanone	293.2	12.6	41.52	-0.13839	0.00013497		253	393
123-25-1	Diethyl succinate	293.2	6.098	8.0213	0.001181	-0.0000264		293	343
123-32-0	2,5-Dimethylpyrazine	293.2	2.436						
123-35-3	-Myrcene	298.2	2.3						
123-38-6	Propanal	290.2	18.5						
123-39-7	N-Methylformamide	293.2	189	1038.3	-4.3165	0.0048398		276	353
123-42-2	Diacetone alcohol	298.2	18.2						
123-51-3	3-Methyl-1-butanol	293.2	15.63	79.733	-0.31272	0.00032014		173	513
123-54-6	2,4-Pentanedione	303.2	26.524						
123-62-6	Propanoic anhydride	293.2	18.3						
123-66-0	Ethyl hexanoate	293.2	4.45	11.007	-0.0328	0.000035714		253	353
123-72-8	Butanal	298.2	13.45						
123-75-1	Pyrrolidine	293	8.3	38.191	-0.15462	0.00017941		274	333
123-86-4	Butyl acetate	293.2	5.07	13.825	-0.043994	0.000048214		253	353
123-91-1	1,4-Dioxane	293.2	2.2189	2.7299	-0.001744			293	313
123-92-2	Isopentyl acetate	293.2	4.72						
123-95-5	Butyl stearate	298.2	3.12	73.894	-0.46261	0.000755		298	343
123434-07-1	2,4,6-Trimethyl-3-heptene (unspecified isomer)	293.2	2.293						
124-06-1	Ethyl myristate	293.2	3.5	5.2642	-0.006	-4.7358E-016		293	353
124-07-2	Octanoic acid	288.2	2.85	2.9391	-0.00038721			288	423
124-10-7	Methyl tetradecanoate	293.2	3.352						
124-11-8	1-Nonene	293.2	2.18	2.271	0.0015797	-0.0000064286		273	323
124-12-9	Octanenitrile	293.2	13.9						
124-18-5	Decane	293.2	1.9853	2.4054	-0.0015445	0.00000044643		253	393
124-22-1	Dodecylamine	303.2	3.07	2.7999	0.004481	-0.000011905		303	373
124-30-1	Octadecylamine	326.35	2.67						
124-38-9	Carbon dioxide	295	1.4492	0.79062	0.010639	-0.00002851		220	300
124-63-0	Methanesulfonyl chloride	293.2	34	103.84	-0.33838	0.00034156		293	373
124-73-2	1,2-Dibromotetrafluoroethane	298.2	2.34						
126-73-8	Tributyl phosphate	293.2	8.34	26.304	-0.08848	0.000092857		293	373
126-99-8	2-Chloro-1,3-butadiene	293.2	4.914						
127-00-4	1-Chloro-2-propanol	153.2	59	-19.169	1.3605	-0.0055567		153	177
127-18-4	Tetrachloroethene	303.2	2.268						
127-19-5	N,N-Dimethylacetamide	294.2	38.85	154.2	-0.57506	0.00061911		294	433
127-63-9	Diphenyl sulfone	406.2	21.1						
127-91-3	-Pinene	298.2	2.497						
131-11-3	Dimethyl phthalate	293.2	8.66						
131-18-0	Dipentyl phthalate	293.2	6						
132-64-9	Dibenzofuran	373.2	3						
13269-52-8	trans-3-Hexene	293.2	1.954						
13313-91-2	Propyl trichloroacetate	298.2	8.32						
1333-74-0	Hydrogen	13.52	1.2792	1.3327	-0.0051946			14	19
134-20-3	Methyl 2-aminobenzoate	298.2	21.9						
134-32-7	1-Naphthylamine	333.2	5.2	10.577	-0.022114	0.000017857		333	453
134-55-4	Phenyl 2-(acetyloxy)benzoate	384.2	4.33						
134-81-6	Benzil	368.2	13.04	-23.599	0.22715	-0.00034667		368	393
13403-37-7	Epichlorohydrin	293.2	22.6						
13444-87-6	Nitrosyl bromide	288.4	13.4						
13450-92-5	Germanium(IV) bromide	299.9	2.955	3.445	-0.0016083			300	316
13454-99-4	Phosphorus(V) dichloride trifluoride	228.63	2.8129	4.6501	-0.0080358			172	229
13463-30-4	Lead(IV) chloride	293.2	2.78						
13463-40-6	Iron pentacarbonyl	293.2	2.602						
13498-11-8	Phosphorus(V) tetrachloride fluoride	272.64	2.6499	3.3503	-0.0029651			244	273
135-01-3	o-Diethylbenzene	293.2	2.594						
135-19-3	2-Naphthol	413	4.95	9.2865	-0.0105	4.2501E-016		413	453
13520-90-6	Vanadyl tribromide	298.2	3.6	6.1112	-0.0084211			203	298
13537-23-0	Phosphorus(V) trichloride difluoride	268	2.3752	2.8905	-0.0019228			215	268
136-60-7	Butyl benzoate	303.2	5.52	7.7854	-0.0034972	-0.000013149		303	358
13637-63-3	Chlorine pentafluoride	193.2	4.28	7.8192	-0.02086	0.000013132		193	256
13693-09-9	Xenon hexafluoride	328.2	4.1						
139-66-2	Diphenyl sulfide	298.2	5.43						
140-11-4	Benzyl acetate	303.2	5.34	11.727	-0.030869	0.00003234		303	358
140-29-4	Benzeneacetonitrile	299.2	17.87	82.175	-0.37416	0.0005322		299	343
140-88-5	Ethyl acrylate	303.2	6.05	47.827	-0.24394	0.00035		303	343
141-04-8	Diisobutyl hexanedioate	293.2	5.19						
141-05-9	Diethyl maleate	298.2	7.56	13.953	-0.021969	0.0000017817		298	343
141-06-0	Propyl pentanoate	292.2	4						
141-28-6	Diethyl hexanedioate	293.2	6.109	14.824	-0.040749	0.0000376		293	343
141-32-2	Butyl acrylate	301.2	5.25	38.296	-0.19109	0.00027006		301	343
141-43-5	Ethanolamine	293.2	31.94	148.9	-0.62491	0.00077143		253	293
141-62-8	Decamethyltetrasiloxane	293.2	2.37						
141-78-6	Ethyl acetate	293.2	6.0814	15.646	-0.044066	0.000039137		293	433
141-79-7	Mesityl oxide	273.2	15.6						
141-93-5	m-Diethylbenzene	293.2	2.369						
141-97-9	Ethyl acetoacetate	293.2	14						
142-26-7	N-Acetylethanolamine	298.2	96.6	370.16	-1.3113	0.0013214		298	348
142-28-9	1,3-Dichloropropane	303.2	10.27	21.609	-0.037333			303	333
142-29-0	Cyclopentene	295	2.083	2.8177	-0.0027597	0.00000089346		171	319
142-62-1	Hexanoic acid	298.2	2.6	2.173	0.001484	-0.00000016526		298	433
142-68-7	Tetrahydropyran	293.2	5.66	19.793	-0.076071	0.000094852		234	333
142-77-8	Butyl oleate	298.2	4						
142-82-5	Heptane	293.2	1.9209	2.474	-0.0022577	0.0000012428		273	373
142-84-7	Dipropylamine	293.2	2.923	11.376	-0.049796	0.000071792		243	323
142-92-7	Hexyl acetate	293.2	4.42						
142-96-1	Dibutyl ether	293.2	3.083	6.5383	-0.016172	0.000014969		293	314
143-08-8	1-Nonanol	293.2	8.83	97.467	-0.51103	0.00071429		288	343
143-13-5	Nonyl acetate	293.2	3.87						
143-15-7	1-Bromododecane	298.2	4.07	8.6103	-0.020891	0.000018994		274	328
143-24-8	Tetraethylene glycol dimethyl ether	298.2	7.68						
143-27-1	Hexadecylamine	328.35	2.71						
14321-27-8	Benzylethylamine	293.2	4.3						
14371-10-9	trans-Cinnamaldehyde	305.8	17.72	41.837	-0.1106	0.00010401		306	354
1454-85-9	1-Heptadecanol	333.2	3.41						
1455-13-6	Methan-d1-ol	297.5	31.68	208.39	-1.0318	0.001474		176	298
1461-25-2	Tetrabutylstannane	293.2	9.74	56.115	-0.24812	0.00030682		293	313
1462-03-9	1-Methylcyclopentanol	310.1	7.11	75.444	-0.36617	0.00047021		310	333
1476-23-9	Allyl isocyanate	288.2	15.15	34.299	-0.066444			288	333
14850-22-7	cis-3-Octene	298.2	2.062						
14850-23-8	trans-4-Octene	298.2	2.004						
149-32-6	1,2,3,4-Butanetetrol	393.2	28.2						
149-57-5	2-Ethylhexanoic acid	296.2	2.64						
1490-04-6	5-Methyl-2-isopropylcyclohexanol	309.3	3.9	6.8202	-0.015894	0.000020837		309	358
14919-01-8	trans-3-Octene	298.2	2.002						
14979-39-6	4-Methyl-3-heptanol	293.2	3.312	-4.8003	0.05074	-0.000075		343	403
150-19-6	3-Methoxyphenol	298.2	11.59	37.279	-0.12113	0.00011698		298	433
150-76-5	4-Methoxyphenol	333.7	11.05	39.483	-0.12142	0.00010841		334	453
150-78-7	1,4-Dimethoxybenzene	333.7	5.6	11.289	-0.020765	0.000011987		334	463
1501-27-5	Monomethyl glutarate	293.2	8.37	16.779	-0.039839	0.000038095		293	363
1501-60-6	cis-2-Methyl-1,3-pentadiene	298.2	2.422						
151-10-0	1,3-Dimethoxybenzene	298.2	5.363	11.911	-0.030804	0.000029643		298	358
151-56-4	Ethyleneimine	298.2	18.3	61.405	-0.14474			273	298
1529-17-5	Trimethylphenoxysilane	298.2	3.3953						
1551-44-6	Cyclohexyl butanoate	293.2	4.58						
156-43-4	4-Ethoxyaniline	298.2	7.43						
156-59-2	cis-1,2-Dichloroethene	298.2	9.2						
156-60-5	trans-1,2-Dichloroethene	293.2	2.14						
1563-90-2	N,N-Dibutylacetamide	293.2	19.1						
1565-81-7	3-Decanol	298.2	4.05	52.09	-0.3102	0.0005		288	308
1569-69-3	Cyclohexanethiol	298.2	5.42						
1570-45-2	Ethyl 4-pyridinecarboxylate	293.2	8.95						
1574-41-0	cis-1,3-Pentadiene	298.2	2.319						
1585-07-5	1-Bromo-4-ethylbenzene	298.2	5.42						
15918-07-7	5-Methyl-4-nonene	293.2	2.175						
1603-84-5	Carbon oxyselenide	283.2	3.47	4.874	-0.0049425			219	283
1639-09-4	1-Heptanethiol	293.2	4.194	7.1333	-0.009732	-0.00000125		273	333
1653-40-3	6-Methyl-1-heptanol	290.3	10.54	57.997	-0.23517	0.00024663		265	328
1674-10-8	1,2-Dimethylcyclohexene	296	2.144	2.6443	-0.0017973	0.00000035815		211	374
1674-33-5	1,2-Dichloropentane	293.2	6.89	19.016	-0.057954	0.000056801		293	356
1679-09-0	2-Methyl-2-butanethiol	293.2	5.087	15.116	-0.0507	0.00005625		273	333
16921-96-3	Iodine heptafluoride	298.2	1.75						
17015-11-1	3-Hexanol	298.2	9.66						
1731-84-6	Methyl nonanoate	293.2	3.943						
1731-86-8	Methyl undecanoate	293.2	3.671						
1731-88-0	Methyl tridecanoate	293.2	3.442						
1731-92-6	Methyl heptadecanoate	313.2	3.07						
1731-94-8	Methyl nonadecanoate	313.2	2.982						
17312-63-9	5-Butylnonane	293.2	2.0319						
1755-01-7	Dicyclopentadiene	313.2	2.43	3.0564	-0.002	8.2443E-016		313	373
17639-93-9	Methyl 2-chloropropanoate	303.2	11.45	22.449	-0.03625			303	343
1778-09-2	4-Acetylthioanisole	355.2	11.34						
17952-11-3	Ethyl pentyl ether	296.2	3.6						
1809-05-8	3-Iodopentane	293.2	7.432						
1809-10-5	3-Bromopentane	298.2	8.37						
1825-62-3	Ethoxytrimethylsilane	298.2	3.013						
1838-73-9	3-Methyl-4-heptanol	290	7.46	33.354	-0.14077	0.0001775		230	330
18492-37-0	()-Fenchone	294.2	12.8						
1850-14-2	Tetramethoxymethane	293.2	2.4						
18720-65-5	5-Methyl-3-heptanol	293.2	3.832	6.1967	-0.006375			343	383
1873-29-6	Isobutyl isocyanate	293.2	11.638	38.026	-0.12714	0.00012679		293	353
19287-45-7	Diborane	180.66	1.8725	2.3848	-0.0029501	0.00000064189		108	181
19329-89-6	Isopentyl lactate	273.2	11.2	48.649	-0.21253	0.00027619		273	373
1943-83-5	2-Chloroethyl isocyanate	288.2	29.1	64.311	-0.12217			288	403
19624-22-7	Pentaborane(9)	298.2	21.1	409.52	-2.4414	0.0038225		226	298
1973-22-4	1-Bromo-2-ethylbenzene	298.2	5.55						
1974-04-5	2-Bromoheptane	295.2	6.46						
1986-90-9	Dipentyl sulfoxide	348.2	18.8						
2009-83-8	6-Chloro-1-hexanol	242.2	21.6	-7.3364	0.46377	-0.0014202		195	242
20115-23-5	Phenyl pentanoate	293.2	4.3						
2016-42-4	Tetradecylamine	312.55	2.9						
2016-57-1	Decylamine	293.2	3.31	6.1497	-0.012801	0.000010606		293	373
20281-83-8	3-Methyl-1-pentanol, ()-	298.2	15.2						
20281-86-1	2-Hexanol	298.2	11.06						
2031-67-6	Triethoxymethylsilane	298.2	3.845						
2049-96-9	Pentyl benzoate	293.2	5.07						
2050-08-0	Pentyl salicylate	301.2	6.25						
2050-09-1	Isopentyl pentanoate	292.2	3.6						
2050-24-0	1,3-Diethyl-5-methylbenzene	293.2	2.264						
2051-31-2	4-Decanol	298.2	3.42	-11.26	0.09396	-0.00015		288	308
20972-43-4	trans-Azoxybenzene	311.2	5.2						
21266-88-6	2,3-Dibromoheptane	298.2	5.08						
21266-90-0	3,4-Dibromoheptane	298.2	4.7						
21570-35-4	2-Methyl-4-heptanol	296.3	3.338	0.42102	0.010427	-0.0000020438		230	333
2162-98-3	1,10-Dichlorodecane	308.2	6.68	-5.7423	0.09422	-0.000175		308	338
2162-99-4	1,8-Dichlorooctane	298.2	7.64						
2163-00-0	1,6-Dichlorohexane	308.2	8.6	11.277	0.00672	-0.00005		308	338
2168-93-6	Dibutyl sulfoxide	313.2	24.73	67.156	-0.16448	0.000092275		313	393
2173-56-0	Pentyl pentanoate	305.6	4.076	7.7641	-0.014335	0.000007374		306	393
2176-98-9	Tetrapropylstannane	293.2	2.267						
2189-60-8	Octylbenzene	293.2	2.26						
2213-23-2	2,4-Dimethylheptane	293.2	1.89						
2216-30-0	2,5-Dimethylheptane	293.2	1.89						
2216-34-4	4-Methyloctane	293.2	1.967						
2216-69-5	1-Methoxynaphthalene	293.2	4.02	7.1885	-0.014838	0.00001375		293	333
2243-27-8	Nonanenitrile	293.2	12.08						
22768-19-0	cis-3-Methyl-2-heptene	293.2	2.436						
2313-65-7	3-Methyl-2-hexanol	297.2	4.99	59.724	-0.32417	0.00047058		244	372
2315-68-6	Propyl benzoate	303.2	5.78	10.927	-0.020535	0.000011745		303	358
2370-12-9	2,2-Dimethyl-1-pentanol	293.2	6.02	37.318	-0.17095	0.00022022		283	393
2370-13-0	2,2-Dimethyl-1-hexanol	293.2	4.5	9.1244	-0.021785	0.000021018		283	393
2370-14-1	2,2-Dimethyl-1-octanol	293.2	7.86	69.536	-0.34596	0.0004625		293	333
2385-70-8	2-Bromobutanoic acid, ()-	293.2	7.2						
2432-87-3	Dioctyl sebacate	299.2	4.01						
2437-56-1	1-Tridecene	293.2	2.139	1.4154	0.0066514	-0.000014286		273	323
2456-28-2	Didecyl ether	293.2	2.644	4.1465	-0.006224	0.00000375		293	333
2473-01-0	1-Chlorononane	293.2	4.803	9.5528	-0.0162	-0.000000000000016365		293	323
24734-68-7	Benzenepropanethiol	303.2	4.36	8.2411	-0.015034	0.0000073617		303	358
24965-84-2	2-Methylcyclohexanone, ()-	293.2	14						
2551-62-4	Sulfur hexafluoride	223.2	1.81						
2570-26-5	Pentadecylamine	313.25	2.85						
2612-33-1	3-Chloro-1,2-propanediol dinitrate	293.2	17.5						
26171-83-5	1,2-Butanediol, ()-	298.2	22.4	63.702	-0.13807			278	323
26198-63-0	1,2-Dichloropropane, ()-	293.2	8.37	18.915	-0.035907			281	323
2652-13-3	Eicosamethylnonasiloxane	293.2	2.645	5.784	-0.016568	0.00002		293	323
26549-25-7	3-Heptanol, (S)-	296.1	7.07	195.86	-1.1465	0.0017175		248	349
2676-33-7	Ethyl lactate	303.2	15.4	31.225	-0.043531	-0.000028571		273	373
2696-92-6	Nitrosyl chloride	285.2	18.2						
2725-82-8	1-Bromo-3-ethylbenzene	298.2	5.56						
2738-19-4	2-Methyl-2-hexene	293.2	2.962						
2808-76-6	1,3-Dimethylcyclohexene	296	2.182	2.9951	-0.0034615	0.0000024026		213	373
2810-04-0	Ethyl thiophene-2-carboxylate	293.2	6.18						
287-92-3	Cyclopentane	293.2	1.9687	2.4287	-0.0015304	-0.000000131		278	313
290-37-9	Pyrazine	323.2	2.8						
291-64-5	Cycloheptane	293.2	2.0784	2.5136	-0.0015089	0.000000084915		278	333
292-64-8	Cyclooctane	295	2.116	2.5036	-0.001246	-0.00000023175		295	411
29662-90-6	2,2-Dimethyloctanoic acid	296.2	2.8						
300-57-2	Allylbenzene	293.2	2.63						
3004-93-1	2-Methyloctanoic acid	293.2	2.39						
301-00-8	Methyl linolenate	293.2	3.355						
3017-68-3	cis-2-Bromo-2-butene	293.2	5.38						
3017-71-8	trans-2-Bromo-2-butene	293.2	6.76						
302-01-2	Hydrazine	298.2	51.7	220.61	-0.89633	0.0011066		278	323
30685-95-1	trans--Ionone, ()-	292.4	10.78						
3070-53-9	1,6-Heptadiene	293	2.161	3.0815	-0.0036095	0.0000016354		184	293
311-89-7	Tris(perfluorobutyl)amine	293.2	2.15						
3112-85-4	Methyl phenyl sulfone	373.2	37.9						
31294-92-5	3-Iodoheptane	295.2	6.39						
31367-46-1	3-Methyl-2-heptanol	289.6	7.47	39.178	-0.17976	0.00024218		229	329
3153-37-5	Methyl 4-chlorobutanoate	303.2	9.51	17.127	-0.025			303	343
3178-29-8	4-Propylheptane	293.2	1.9955						
3217-86-5	N-Propylpropanamide	298.2	118.1	588.46	-2.2012	0.002087		298	328
3221-61-2	2-Methyloctane	293.2	1.967						
3234-49-9	1,2-Dibromopentane	298.2	4.39						
3274-29-1	2-Ethylheptanoic acid	293.2	1.98						
3289-28-9	Ethyl cyclohexanecarboxylate	293.2	4.64						
3329-56-4	Butoxyacetylene	298.2	6.62						
335-57-9	Perfluoroheptane	289.2	1.847						
33560-15-5	Isobutyl trichloroacetate	293.2	7.667						
3395-91-3	Methyl 3-bromopropanoate	303.2	5.81	3.6001	0.00725			303	343
3404-78-2	2,5-Dimethyl-2-hexene	293.2	2.431						
3439-97-2	Methyltriphenoxysilane	298.2	3.628						
3440-02-6	Dimethyldiphenoxysilane	298.2	3.5	5.1669	-0.0077001	0.0000070156		283	353
3454-07-7	4-Ethylstyrene	298.2	3.35						
34713-94-5	2-Methyl-1-butanol, ()-	298.2	15.63	14.02	0.13948	-0.00045		288	318
348-51-6	1-Chloro-2-fluorobenzene	298.2	6.1						
348-52-7	1-Fluoro-2-iodobenzene	298.2	8.22						
3487-99-8	Pentyl cinnamate	293.2	4.89						
352-32-9	4-Fluorotoluene	298.2	5.88						
352-33-0	1-Chloro-4-fluorobenzene	298.2	3.34						
352-34-1	1-Fluoro-4-iodobenzene	298.2	3.12						
352-70-5	3-Fluorotoluene	298.2	5.41						
352-93-2	Diethyl sulfide	298.2	5.723						
353-54-8	Tribromofluoromethane	293.2	3	5.3203	-0.011061	0.000010688		206	323
353-59-3	Bromochlorodifluoromethane	123.2	3.92	5.2442	-0.011			123	223
354-21-2	1,2,2-Trichloro-1,1-difluoroethane	303.2	4.01	7.5423	-0.011667			303	333
355-02-2	Perfluoromethylcyclohexane	298.2	1.82						
355-42-0	Perfluorohexane	298.2	1.76						
355-80-6	2,2,3,3,4,4,5,5-Octafluoro-1-pentanol	298.2	15.3						
36383-15-0	sec-Butylbenzene, ()-	293.2	2.357	2.8348	-0.00068586	-0.0000032143		273	323
3657-07-6	Butyl trichloroacetate	293.2	7.48						
36653-82-4	1-Hexadecanol	333.2	3.69	8.5935	-0.014714	-0.000000000000045533		333	363
367-11-3	o-Difluorobenzene	301.2	13.38	59.107	-0.23611	0.00027987		273	323
3710-30-3	1,7-Octadiene	293	2.186	2.8376	-0.0017442	-0.0000016141		214	293
372-09-8	Cyanoacetic acid	277.2	33.4						
372-18-9	m-Difluorobenzene	301.2	5.01	14.448	-0.046982	0.000051948		273	323
3741-38-6	1,2-Ethanediol, monosulfite	298.2	39.6	85.483	-0.154			298	328
375-01-9	2,2,3,3,4,4,4-Heptafluoro-1-butanol	298.2	14.4						
3760-11-0	2-Nonenoic acid	296.2	2.5						
3913-02-8	2-Butyl-1-octanol	363.2	3.28						
392-56-3	Hexafluorobenzene	298.2	2.029	2.4041	-0.00083086	-0.0000014286		298	338
3967-54-2	4-Chloro-1,3-dioxolan-2-one	313.2	62						
3982-91-0	Phosphorothioc trichloride	298.2	4.94						
402-31-3	1,3-Bis(trifluoromethyl)benzene	303.2	5.98						
4050-45-7	trans-2-Hexene	295	1.978	2.4338	-0.0011323	-0.000001372		157	295
407-25-0	Trifluoroacetic acid anhydride	298.2	2.7						
4101-68-2	1,10-Dibromodecane	303.2	6.56	17.35	-0.050328	0.000048633		303	368
4124-30-5	Dichloroacetic anhydride	298.2	15.8						
4124-31-6	Trichloroacetic anhydride	298.2	5						
4128-31-8	2-Octanol	293.2	8.13	63.76	-0.27643	0.00031075		213	513
4192-77-2	Ethyl trans-cinnamate	293.2	5.63						
42027-23-6	2,3-Pentanediol	296.9	17.37	95.876	-0.46463	0.00067434		238	297
4228-00-6	Phenyl laurate	293.2	3.28						
42474-21-5	1,2-Dibromoheptane	298.2	3.77						
4253-91-2	Dipropyl sulfoxide	303.2	30.37	84.868	-0.23486	0.00018198		303	373
4254-02-8	Cyclopentanecarbonitrile	293.2	22.68	69.83	-0.25303	0.00031491		201	293
4279-76-9	Phenoxyacetylene	298.2	4.76						
4282-40-0	1-Iodoheptane	298.2	4.92	11.856	-0.033493	0.000034368		294	323
4292-19-7	1-Iodododecane	298.2	3.91	3.4641	0.0097404	-0.000027602		293	323
431-03-8	2,3-Butanedione	298.2	4.04	4.6907	-0.0022302			278	348
4346-18-3	Phenyl butanoate	293.2	4.48						
4351-54-6	Cyclohexyl formate	293.2	6.47						
4549-32-0	1,8-Dibromooctane	298.2	7.43	0.94117	0.06152	-0.00013333		298	328
4549-33-1	1,9-Dibromononane	293.2	7.153	18.931	-0.057764	0.00006		293	343
4549-74-0	3-Methyl-1,3-pentadiene	298.2	2.426						
455-32-3	Benzoyl fluoride	293.2	22.7						
460-00-4	1-Bromo-4-fluorobenzene	298.2	2.6						
460-35-5	3-Chloro-1,1,1-trifluoropropane	295.2	7.32	22.361	-0.06884	0.000060594		275	313
462-06-6	Fluorobenzene	293.2	5.465						
462-18-0	7-Tridecanone	303.2	7.6						
462-95-3	Diethoxymethane	293.2	2.527	2.5294	0.000073988	-0.00000028331		227	293
463-04-7	Pentyl nitrite	298.2	7.21						
463-11-6	1-Fluorooctane	293.2	3.89						
463-40-1	cis,cis,cis-9,12,15-Octadecatrienoic acid	293.2	2.825	3.3867	-0.0019181			274	368
463-49-0	Allene	269	2.025	2.6049	-0.00044147	-0.000006342		156	269
463-58-1	Carbon oxysulfide	185	4.47	8.4702	-0.021488			143	185
463-82-1	Neopentane	296	1.769	10.949	-0.063057	0.00010835		251	296
4630-82-4	Methyl cyclohexanecarboxylate	293.2	4.87						
464-06-2	2,2,3-Trimethylbutane	293.2	1.93						
464-10-8	Tribromonitromethane	298.2	9.034	16.079	-0.02363			298	328
4645-15-2	Dicyclohexyl ether	293.2	3.45	9.5324	-0.03174	0.0000375		293	333
470-82-6	Eucalyptol	298.2	4.57						
473-55-2	Pinane	298.2	2.1456						
4730-22-7	6-Methyl-2-heptanol	290.1	6.41	77.52	-0.41724	0.00059448		239	329
4806-61-5	Ethylcyclobutane	293.2	1.965						
488-23-3	1,2,3,4-Tetramethylbenzene	296	2.538	3.3822	-0.003363	0.0000017475		273	412
491-35-0	4-Methylquinoline	293.2	9.31	17.788	-0.03258	0.0000125		293	333
493-01-6	cis-Decahydronaphthalene	293.2	2.219	2.541	-0.001142	0.00000015092		293	373
493-02-7	trans-Decahydronaphthalene	293.2	2.184	2.6615	-0.0021241	0.0000016864		293	373
50-70-4	D-Glucitol	353.2	35.5						
50-78-2	2-(Acetyloxy)benzoic acid	333.2	6.55	6.9994	-0.0014553			333	416
502-42-1	Cycloheptanone	298.2	13.16	175.11	-1.1221	0.0019417		258	298
502-56-7	5-Nonanone	293.2	10.6						
503-66-2	3-Hydroxypropanoic acid	296.2	30						
504-57-4	10-Nonadecanone	353.2	5.37						
504-63-2	1,3-Propanediol	293.2	35.1	113.65	-0.3668	0.00033766		288	328
507-09-5	Thioacetic acid	298.2	14.3						
507-16-4	Thionyl bromide	293.2	9.06						
507-19-7	2-Bromo-2-methylpropane	293	10.98	35.085	-0.14075	0.0001996		258	293
507-20-0	2-Chloro-2-methylpropane	293.2	9.663	35.077	-0.12867	0.00014304		273	323
507-36-8	2-Bromo-2-methylbutane	298.2	9.21						
509-14-8	Tetranitromethane	293.2	2.317						
51-79-6	Ethyl carbamate	328.2	14.14	32.431	-0.065097	0.000028571		328	368
512-56-1	Trimethyl phosphate	293.2	20.6						
513-08-6	Tripropyl phosphate	293.2	10.93	33.166	-0.10514	0.0001		293	373
513-35-9	2-Methyl-2-butene	296	1.979	2.6064	-0.0019578	-0.00000053908		225	296
513-36-0	1-Chloro-2-methylpropane	293.2	7.027	14.945	-0.033747	0.000023036		273	323
513-44-0	2-Methyl-1-propanethiol	298.2	4.961						
513-81-5	2,3-Dimethyl-1,3-butadiene	293.2	2.102	2.6258	-0.001799	0.00000012035		223	323
513-88-2	1,1-Dichloroacetone	293.2	14.6						
515-84-4	Ethyl trichloroacetate	293.2	8.428						
519-73-3	Triphenylmethane	367.2	2.46	4.0201	-0.0066507	0.0000065329		367	448
5194-51-4	trans,trans-2,4-Hexadiene	297	2.123	2.6774	-0.0016977	-0.00000055637		232	353
5205-34-5	5-Decanol	298.2	3.24	-2.5832	0.031456	-0.00004		288	308
52152-71-3	2-Iodobutane, ()-	293.2	7.873	10.883	-0.001468	-0.00003		293	323
52390-72-4	2-Heptanol, ()-	293.7	9.72	100.5	-0.49793	0.00064504		207	365
526-73-8	1,2,3-Trimethylbenzene	293.2	2.656	7.6006	-0.029118	0.000041786		273	323
526-75-0	2,3-Xylenol	343.2	4.81	14.399	-0.041438	0.000039244		343	433
52708-03-9	4-Nonanol	298.2	3.69	2.7954	0.003	-0.000000000000052375		288	308
530-91-6	1,2,3,4-Tetrahydro-2-naphthol	293.2	11.7	98.978	-0.48267	0.00063008		293	363
53178-20-4	2-Chlorobutane	293.2	8.564	30.376	-0.11377	0.00013429		273	323
5328-01-8	1-Ethoxynaphthalene	292.2	3.3						
533-68-6	Ethyl 2-bromobutanoate	303.2	8.57	49.005	-0.23193	0.000325		303	333
533-98-2	1,2-Dibromobutane	293.2	4.74	111.99	-0.63334	0.0009125		293	333
5337-36-0	Trihexyl borate	293.2	2.22						
534-22-5	2-Methylfuran	293.2	2.76						
535-11-5	Ethyl 2-bromopropanoate	293.2	9.4						
535-13-7	Ethyl 2-chloropropanoate	303.2	11.95	25.965	-0.04625			303	343
536-74-3	Phenylacetylene	298.2	2.98						
536-75-4	4-Ethylpyridine	293.2	10.98	-7.3831	0.14326	-0.000275		293	333
536-90-3	3-Methoxyaniline	298.2	8.76	28.179	-0.09784	0.00011027		289	393
537-39-3	Glycerol trielaidate	313.2	2.98						
538-23-8	Glycerol trioctanoate	293.2	3.931						
538-24-9	Glycerol trilaurate	313.2	3.287						
538-93-2	Isobutylbenzene	293.2	2.318	2.8055	-0.00092614	-0.0000025		273	323
539-30-0	Benzyl ethyl ether	298.2	3.9						
539-82-2	Ethyl pentanoate	291.2	4.71						
54-11-5	L-Nicotine	293.2	8.937	21.347	-0.057177	0.000050655		293	363
540-07-8	Pentyl hexanoate	288.2	4.22	8.3503	-0.018449	0.000014286		288	323
540-08-9	9-Heptadecanone	328.2	5.43	44.176	-0.21183	0.00028571		328	363
540-18-1	Pentyl butanoate	301.2	4.08	5.9029	-0.0049905	-0.0000034292		301	343
540-54-5	1-Chloropropane	293.2	8.588	21.214	-0.04313			273	313
540-63-6	1,2-Ethanedithiol	293.2	7.26	11.228	-0.0135			293	333
540-80-7	tert-Butyl nitrite	298.2	11.47						
540-84-1	2,2,4-Trimethylpentane	293.2	1.943	2.3677	-0.0014768	0.000000094261		173	373
540-88-5	tert-Butyl acetate	293.2	5.672	55.435	-0.30494	0.00046107		273	323
5408-86-6	2,3-Dibromobutane	298.2	6.245	23.849	-0.0963	0.000125		293	333
541-02-6	Decamethylcyclopentasiloxane	293.2	2.5						
541-05-9	Hexamethylcyclotrisiloxane	343.2	2.139						
541-28-6	1-Iodo-3-methylbutane	292.2	5.6						
541-41-3	Ethyl chloroformate	308.7	9.736	15.356	-0.01825			309	349
541-42-4	Isopropyl nitrite	260	13.92	74.578	-0.38283	0.00057071		150	300
541-73-1	m-Dichlorobenzene	293.2	5.02	7.7565	-0.0093333	-2.688E-015		293	353
