CASRN	Chemical	sigma	epsilon
1927-25-9	Homoserine	5.59519	637.73
1333-74-0	Hydrogen	5.94111	3.4503
7783-06-4	Hydrogen sulfide	3.64669	288.86
98-82-8	i-Propylbenzene	5.97029	488.47
591-50-4	Iodobenzene	5.59976	558.05
563-83-7	Isobutyramide	5.64024	509.29
73-32-5	Isoleucine	6.0269	589.41
7439-90-9	Krypton	2.8987	511.92
6485-40-1	L -Carvone	6.55942	549.08
14073-97-3	L -Menthone	6.6065	541.37
63-42-3	Lactose	8.49677	1108.28
328-39-2	Leucine	6.0269	589.41
78-70-6	Linalool	6.40654	499.85
60-33-3	Linoleic acid	7.93427	599.85
112-63-0	Linoleic acid methyl ester	8.34769	673.98
301-00-8	Linolenic acid methyl ester	8.02997	595.52
108-38-3	m-Xylene	5.75507	477.64
69-65-8	Mannitol	5.66525	964.45
3458-28-4	Mannose	5.56327	820.08
149-32-6	meso-Erythritol	5.09718	727.78
74-82-8	Methane	3.58484	167.15
67-56-1	Methanol	3.79957	685.96
74-83-9	Methyl bromide	4.06694	361.46
74-87-3	Methyl chloride	4.14999	322.22
593-53-3	Methyl fluoride	4.01832	243.81
96-37-7	Methylcyclopentane	5.38824	412.31
141-43-5	Monoethanolamine	4.72275	493.81
78-96-6	Monoisopropanolamine	4.95944	475.24
111-03-5	Monoolein	8.39247	684.99
87-89-8	myo-Inositol	5.60259	657.9
124-06-1	Myristic acid ethyl ester	7.99595	610.96
544-64-9	Myristoleic acid	7.76875	661.17
56219-06-8	Myristoleic acid methyl ester	7.79244	602.01
26227-73-6	N-(4-Methoxybenzylidene)-4- n-butylaniline	7.55769	744.64
106-97-8	n-Butane	5.01118	329.1
104-51-8	n-Butylbenzene	6.24687	511.23
124-18-5	n-Decane	6.71395	434.86
112-40-3	n-Dodecane	7.00451	672.9
112-95-8	n-Eicosane	8.33954	593.66
142-82-5	n-Heptane	5.94356	404.05
544-76-3	n-Hexadecane	7.3648	1669.19
110-54-3	n-Hexane	5.61841	434.76
105-59-9	n-Methyldiethanolamine	5.75149	522.45
872-50-4	N-Methylpyrrolidone	5.51061	560.38
111-84-2	n-Nonane	6.43057	497.35
630-02-4	n-Octacosane	8.80825	643.97
111-65-9	n-Octane	6.17328	478.32
109-66-0	n-Pentane	5.36967	363.55
538-68-1	n-Pentylbenzene	6.49745	526.24
103-65-1	n-Propylbenzene	5.99624	493.97
629-59-4	n-Tetradecane	7.68286	536.38
1120-21-4	n-Undecane	6.91444	494.43
100-37-8	N,N-Diethylethanolamine	5.87199	458.21
91-20-3	Naphthalene	5.85874	579.26
7440-01-9	Neon	2.66839	34.37
98-95-3	Nitrobenzene	5.64167	556.51
10024-97-2	Nitrous oxide	3.67545	239.63
616-06-8	Norleucine	6.03538	586.4
760-78-1	Norvaline	5.77086	571.09
367-11-3	o-Difluorobenzene	5.3327	429.15
95-47-6	o-Xylene	5.70029	487.85
434-64-0	Octafluorotoluene	5.97931	413.68
112-80-1	Oleic acid	7.97503	604.49
111-62-6	Oleic acid ethyl ester	8.53715	690.38
112-62-9	Oleic acid methyl ester	8.41384	672.34
7782-44-7	Oxygen	3.29728	119.66
100-00-5	p-Chloronitrobenzene	5.89621	581.27
106-46-7	p-Dichlorobenzene	5.69261	530
540-36-3	p-Difluorobenzene	5.2072	430.34
106-42-3	p-Xylene	5.76754	476.94
14024-61-4	Palladium(II) acetylacetonate	6.1317	503.96
628-97-7	Palmitic acid ethyl ester	8.30307	646.77
115-77-5	Pentaerythritol	5.63923	603.72
363-72-4	Pentafluorobenzene	5.49825	410.97
85-01-8	Phenanthrene	6.77034	675.7
108-95-2	Phenol	5.03026	537.31
103-82-2	Phenylacetic acid	6.03311	606.47
536-74-3	Phenylacetylene	5.48099	507.3
100-51-6	Phenylmethanol	5.64457	557.43
110-85-0	Piperazine	5.05991	493.81
79-05-0	Propanamide	5.42671	555.73
74-98-6	Propane	4.50412	457.99
115-07-1	Propene	4.4902	282.43
57-55-6	Propylene glycol	4.87551	484.52
129-00-0	Pyrene	7.11077	724.46
10043-92-2	Radon	4.10118	292.11
110-88-3	s-Trioxane	4.89292	467.5
69-72-7	Salicylic acid	5.40889	571.99
302-84-1	Serine	5.27315	623.05
111-02-4	Squalene	8.44325	754.6
57-11-4	Stearic acid	8.106	621.52
111-61-5	Stearic acid ethyl ester	8.49783	602.09
100-42-5	Styrene	5.62827	500.78
57-50-1	Sucrose	7.34222	840.56
126-33-0	Sulfolane	5.69827	657.13
7446-09-5	Sulfur dioxide	3.98053	333.4
2551-62-4	Sulfur hexafluoride	4.76629	271.68
98-06-6	tert-Butylbenzene	6.20099	510.84
33105-81-6	tert-Leucine	6.12747	593.57
1461-25-2	Tetrabutyltin	7.5329	594.41
112-60-7	Tetraethylene glycol	6.62241	558.83
597-64-8	Tetraethyltin	6.45047	507.68
109-99-9	Tetrahydrofuran	4.89719	418.04
594-27-4	Tetramethyltin	5.49115	396.11
2176-98-9	Tetrapropyltin	7.16031	588.15
326-91-0	Thenoyltrifluoroacetone	6.88081	649.15
80-68-2	Threonine	5.39767	665.49
108-88-3	Toluene	5.4545	350.74
