CASRN	Name	Formula	A	B	C	Tmin	Tmax
91-67-8	n,n - Diethyl - m - toludine 	C12H17NO 	-1.9635	-683.97	-5.57	380	510
381-73-7	Difluoro acetic acid 	C2H2F2O2 	-1.5695	-380.88	106.79	290	340
367-30-6	2,5 - Difluoro aniline 	C6H5F2N 	-1.2269	-264.07	127.26	290	340
372-18-9	1,3 - Difluoro benzene 	C6H4F2 	-1.7875	-466.28	-8.3165	290	340
540-36-3	1,4 - Difluoro benzene 	C6H4F2 	-1.9046	-549.69	-28.264	290	340
454-31-9	1,1 - Difluoro ethyl acetate 	C4H6F2O2 	-2.014	-560.88	21.795	290	340
359-13-7	2,2 - Difluoro ethyl alcohol 	C2H4F2O 	-1.755	-380.84	118.36	290	340
75-10-5	Difluoro methane 	CH2F2 	-3.6081	-1079.9	-185.87	200	290
2470-68-0	Diheptyl amine 	C14H31N 	-1.5966	-429.86	91.79	290	430
110-96-3	Di iso butyl amine 	C 8H19N 	-1.6618	-345.27	71.137	270	400
544-00-3	Di iso pentyl amine 	C10H23N 	-1.7264	-415.49	72.234	270	430
513-81-5	Diiso propenyl 	C6H10 	-2.3047	-701.2	-109.18	270	330
108-18-9	Diiso propyl amine 	CHN 	-2.0566	-540.15	-29.009	280	360
151-10-0	1,3 - Dimethoxy benzene 	C8H10O2 	-1.6919	-461.09	70.728	310	490
127-19-5	n,n - Dimethyl acetamide 	C4H9NO 	-1.8134	-547.67	37.944	290	450
121-69-7	n,n - Dimethyl aniline 	C8H11N 	-1.694	-483.96	30.46	270	470
75-83-2	2,2 - Dimethyl butane 	C8H14 	1.4653	-651.45	637.56	270	310
616-38-6	Dimethyl carbonate 	C3H6O3 	-0.7328	-35.269	227.61	290	380
80-73-9	n,n - Dimethyl - ethylene urea 	C5H12N2O 	-1.2477	-295.33	105.93	290	380
68-12-2	n,n - Dimethyl  formamide 	C3H7NO 	-0.6398	-56.047	194.25	270	320
1072-16-8	2,7 - Dimethyl octane 	C10H22 	-0.7054	-38.588	236.15	290	340
54964-83-9	1,4 - Dimethyl - 5 - octyl deca hydro naphthalene 	C20H38 	-1.148	-302.82	168.39	270	380
54964-85-1	2,6 - Dimethyl - 3 - octyl deca hydro naphthalene 	C20H38 	-1.1606	-302.58	171.06	290	380
55000-53-8	1,4 - Dimethyl - 5 - octyl naphthalene 	C20H28 	-1.1315	-294.82	180.84	270	380
3672-60-4	4,4 - Dimethyl -2 -oxa zolidine 	C5H9NO2 	-1.8411	-497.42	168.44	270	340
565-80-0	2,4 - Dimethyl -3 - pentanone 	C7H14O 	-2.2591	-791.85	-91.339	290	380
1073-23-0	2,6 - Dimethyl pyridine-N-oxide 	C7H9NO 	-1.0622	-218.72	179.99	290	400
1003-78-7	2,4 - Dimethyl sulfolane 	C6H12O2S 	-1.1963	-331.93	143.99	290	400
7226-23-5	1,3 - Dimethyl - 3,4,5,6 -tetra - hydro - 2 ( 1H ) pyridimidinone 	C6H12N2O 	-1.1959	-283.4	127.74	290	380
609-72-3	n,n - Dimethyl - o - toluidine 	C9H13N 	-1.8977	-598.28	2.4885	340	460
99-97-8	n,n - Dimethyl - p - toluidine 	C9H13N 	-1.9002	-645	-24.571	370	490
99-65-0	1,3-Dinitro benzene 	C6H4N2O4 	-0.9732	-200.42	241.63	370	580
2050-92-2	Dipentyl amine 	C10H23N 	-1.5796	-349.69	97.021	270	430
122-39-4	Diphenyl amine 	C12H11N 	-1.2791	-281.54	186.14	300	410
101-81-5	Diphenyl methane 	C13H12 	-1.84	-654.74	11.031	330	540
53214-07-6	Ditellurium deca fluoride 	Te2F10 	-1.8292	-170.32	105.09	240	320
