CAS	Chemical	Tc	C1	C2	C3	C4	Tmin	Tmax
584-03-2	1,2-Butanediol  	680	89754	0.45316	0	0	220	680
107-88-0	1,3-Butanediol  	676	92247	0.42442	0	0	196.15	676
71-36-3	1-Butanol  	563.1	71274	0.0483	0.8966	-0.5116	183.85	563.1
78-92-2	2-Butanol  	535.9	79227	0.58361	0.02016	-0.08654	158.45	535.9
106-98-9	1-Butene  	419.5	33774	0.5107	-0.17304	0.05181	87.8	419.5
590-18-1	cis-2-Butene  	435.5	34358	0.38004	0	0	134.26	435.5
624-64-6	trans-2-Butene  	428.6	33191	0.36968	0	0	167.62	428.6
123-86-4	Butyl acetate  	575.4	58276	0.38854	0	0	199.65	575.4
104-51-8	Butylbenzene  	660.5	63487	0.38222	0	0	185.3	660.5
109-79-5	Butyl mercaptan  	570.1	49702	0.41199	0	0	157.46	570.1
513-53-1	sec-Butyl mercaptan  	554	46432	0.399	0	0	133.02	554
107-00-6	1-Butyne  	440	36972	0.39168	0	0	147.43	440
123-72-8	Butyraldehyde  	537.2	46403	0.3849	0	0	176.75	537.2
107-92-6	Butyric acid  	615.7	61947	1.6524	-2.8505	1.6285	250	615.7
109-74-0	Butyronitrile  	582.25	52200	0.165	0.6692	-0.539	161.25	582.25
124-38-9	Carbon dioxide  	304.21	21730	0.382	-0.4339	0.42213	216.58	304.21
75-15-0	Carbon disulfide  	552	34960	0.2986	0	0	161.11	552
630-08-0	Carbon monoxide  	132.92	8585	0.4921	-0.326	0.2231	68.13	132.5
56-23-5	Carbon tetrachloride  	556.35	43252	0.37688	0	0	250.33	556.35
75-73-0	Carbon tetrafluoride  	227.51	19311	0.94983	-1.0615	0.51894	89.56	227.51
7782-50-5	Chlorine  	417.15	30680	0.8458	-0.9001	0.453	172.12	417.15
108-90-7	Chlorobenzene  	632.35	51480	0.36614	0	0	227.95	632.35
75-00-3	Chloroethane  	460.35	35240	0.3652	0	0	134.8	460.35
67-66-3	Chloroform  	536.4	41860	0.3584	0	0	209.63	536.4
74-87-3	Chloromethane  	416.25	29745	0.353	0	0	175.43	416.25
540-54-5	1-Chloropropane  	503.15	39890	0.37956	0	0	150.35	503.15
75-29-6	2-Chloropropane  	489	38871	0.38043	0	0	155.97	489
108-39-4	m-Cresol  	705.85	80082	0.45314	0	0	285.39	705.85
95-48-7	o-Cresol  	697.55	71979	0.40317	0	0	304.19	697.55
106-44-5	p-Cresol  	704.65	84942	0.50234	0	0	307.93	704.65
98-82-8	Cumene  	631	57660	0.38939	0	0	177.14	631
460-19-5	Cyanogen  	400.15	33840	0.3707	0	0	245.25	400.15
287-23-0	Cyclobutane  	459.93	33340	0.3395	0	0	182.48	459.93
110-82-7	Cyclohexane  	553.8	44902	0.39881	0	0	279.69	553.8
108-93-0	Cyclohexanol  	650.1	91791	0.6382	0	0	296.6	650.1
108-94-1	Cyclohexanone  	653	56772	0.37431	0	0	242	653
110-83-8	Cyclohexene  	560.4	44405	0.37479	0	0	169.67	560.4
287-92-3	Cyclopentane  	511.7	38911	0.36111	0	0	179.28	511.7
142-29-0	Cyclopentene  	507	38107	0.3543	0	0	138.13	507
75-19-4	Cyclopropane  	398	27672	0.35588	0	0	145.59	398
1569-69-3	Cyclohexyl mercaptan  	664	56067	0.38729	0	0	189.64	664
112-31-2	Decanal  	674.2	79073	0.4129	0	0	267.15	674.2
124-18-5	Decane  	617.7	66126	0.39797	0	0	243.51	617.7
334-48-5	Decanoic acid  	722.1	131070	1.0674	-0.97372	0.40491	304.55	722.1
112-30-1	1-Decanol  	688	79041	-1.36	4.0854	-2.3871	280.05	688
872-05-9	1-Decene  	616.6	66985	0.76944	-0.79975	0.42379	206.89	616.6
143-10-2	Decyl mercaptan  	696	80617	0.41045	0	0	247.56	696
764-93-2	1-Decyne  	619.85	69461	0.42109	0	0	229.15	619.85
7782-39-0	Deuterium  	38.35	1657	0.352	0	0	18.73	38.35
557-91-5	1,1-Dibromoethane  	628	57120	0.5255	0	0	210.15	628
106-93-4	1,2-Dibromoethane  	650.15	53700	0.416	0	0	282.85	650.15
74-95-3	Dibromomethane  	611	48200	0.3771	0	0	220.6	611
142-96-1	Dibutyl ether  	584.1	59616	0.38833	0	0	175.3	584.1
541-73-1	m-Dichlorobenzene  	683.95	56899	0.35765	0	0	248.39	683.95
95-50-1	o-Dichlorobenzene  	705	62117	0.42845	0	0	256.15	705
106-46-7	p-Dichlorobenzene  	684.75	59765	0.38559	0	0	326.14	684.75
75-34-3	1,1-Dichloroethane  	523	42117	0.36927	0	0	176.19	523
107-06-2	1,2-Dichloroethane  	561.6	45507	0.34444	0	0	237.49	561.6
75-09-2	Dichloromethane  	510	41860	0.4092	0	0	178.01	510
78-99-9	1,1-Dichloropropane  	560	47740	0.39204	0	0	200	560
78-87-5	1,2-Dichloropropane  	572	46750	0.36529	0	0	172.71	572
111-42-2	Diethanol amine  	736.6	101540	0.3403	0	0	301.15	736.6
109-89-7	Diethyl amine  	496.6	46133	0.42628	0	0	223.35	496.6
60-29-7	Diethyl ether  	466.7	40600	0.3868	0	0	156.85	466.7
352-93-2	Diethyl sulfide  	557.15	47659	0.37987	0	0	169.2	557.15
75-37-6	1,1-Difluoroethane  	386.44	32312	0.37653	0	0	154.56	386.44
624-72-6	1,2-Difluoroethane  	445	34552	0.3499	0	0	215	445
75-10-5	Difluoromethane  	351.255	28081	0.3364	0	0	136.95	351.255
108-18-9	Di-isopropyl amine  	523.1	50070	0.4362	0	0	176.85	523.1
108-20-3	Di-isopropyl ether  	500.05	46117	0.4	0	0	187.65	500.05
565-80-0	Di-isopropyl ketone  	576	50256	0.29611	0	0	204.81	576
534-15-6	1,1-Dimethoxyethane  	507.8	43872	0.56226	-0.60662	0.4202	159.95	507.8
7778-85-0	1,2-Dimethoxypropane  	543	47999	0.30724	-0.024545	0.091361	226.1	543
503-17-3	Dimethyl acetylene  	473.2	38560	0.3737	0	0	240.91	473.2
124-40-3	Dimethyl amine  	437.2	40900	0.42005	0	0	180.96	437.2
79-29-8	2,3-Dimethylbutane  	500	41509	0.38383	0	0	145.19	500
590-66-9	1,1-Dimethylcyclohexane  	591.15	50402	0.4036	0	0	239.66	591.15
2207-01-4	cis-1,2-Dimethylcyclohexane  	606.15	52852	0.41607	0	0	223.16	606.15
6876-23-9	trans-1,2-Dimethylcyclohexane  	596.15	51194	0.405	0	0	184.99	596.15
624-92-0	Dimethyl disulfide  	615	49825	0.3958	0	0	188.44	615
115-10-6	Dimethyl ether  	400.1	29940	0.3505	0	0	131.65	400.1
68-12-2	N,N-Dimethyl formamide  	649.6	59217	0.37996	0	0	212.72	649.6
565-59-3	2,3-Dimethylpentane  	537.3	46533	0.37577	0	0	160	537.3
131-11-3	Dimethyl phthalate  	766	81578	0.29346	0	0	274.18	766
1111-74-6	Dimethylsilane  	402	28365	0.35393	0	0	122.93	402
75-18-3	Dimethyl sulfide  	503.04	39022	0.37731	0	0	174.88	503.04
67-68-5	Dimethyl sulfoxide  	729	66290	0.4084	0	0	291.67	729
120-61-6	Dimethyl terephthalate  	772	72360	0.2424	0	0	413.8	772
123-91-1	1,4-Dioxane  	587	50510	0.3791	0	0	284.95	587
101-84-8	Diphenyl ether  	766.8	68243	0.30877	0	0	300.03	766.8
142-84-7	Dipropyl amine  	550	54280	0.3665	0	0	210.15	550
112-40-3	Dodecane  	658	77337	0.40681	0	0	263.57	658
112-95-8	Eicosane  	768	128600	0.50351	0.32986	-0.42184	309.58	768
74-84-0	Ethane  	305.32	21091	0.60646	-0.55492	0.32799	90.35	305.32
64-17-5	Ethanol  	514	55789	0.31245	0	0	159.05	514
141-78-6	Ethyl acetate  	523.3	49330	0.3847	0	0	189.6	523.3
75-04-7	Ethyl amine  	456.15	42750	0.5857	-0.332	0.169	192.15	456.15
100-41-4	Ethylbenzene  	617.15	54805	0.39524	0	0	178.2	617.15
93-89-0	Ethyl benzoate  	698	67093	0.33273	0	0	238.45	698
88-09-5	2-Ethyl butanoic acid 	655	78980	0.39445	0	0	258.15	655
105-54-4	Ethyl butyrate  	571	56419	0.37985	0	0	175.15	571
1678-91-7	Ethylcyclohexane  	609.15	53832	0.41763	0	0	161.84	609.15
1640-89-7	Ethylcyclopentane  	569.5	48287	0.37804	0	0	134.71	569.5
74-85-1	Ethylene  	282.34	18844	0.36485	0	0	104	282.34
107-15-3	Ethylenediamine  	593	57521	0.34513	0	0	284.29	593
107-21-1	Ethylene glycol  	720	83518	0.42625	0	0	260.15	720
151-56-4	Ethyleneimine  	537	49400	0.466	0	0	195.2	537
75-21-8	Ethylene oxide  	469.15	36652	0.37878	0	0	160.65	469.15
109-94-4	Ethyl formate  	508.4	45909	0.4123	0	0	193.55	508.4
149-57-5	2-Ethyl hexanoic acid 	674.6	111840	0.86189	-0.47845	0.048646	235	674.6
5756-43-4	Ethylhexyl ether  	583	62786	0.39513	0	0	180	583
625-54-7	Ethylisopropyl ether  	489	42580	0.37221	0	0	140	489
565-69-5	Ethylisopropyl ketone 	567	52207	0.34893	0	0	204.15	567
75-08-1	Ethyl mercaptan  	499.15	38440	0.37534	0	0	125.26	499.15
105-37-3	Ethyl propionate  	546	53325	0.401	0	0	199.25	546
628-32-0	Ethylpropyl ether  	500.23	54380	0.60624	0	0	145.65	500.23
115-21-9	Ethyltrichlorosilane  	559.95	49482	0.39871	0	0	167.55	559.95
7782-41-4	Fluorine  	144.12	8875.7	0.34072	0	0	53.48	144.12
462-06-6	Fluorobenzene  	560.09	45820	0.3717	0	0	230.94	560.09
353-36-6	Fluoroethane  	375.31	27617	0.32162	0	0	129.95	375.31
593-53-3	Fluoromethane  	317.42	24708	0.37014	0	0	131.35	317.42
50-00-0	Formaldehyde  	408	30760	0.2954	0	0	181.15	408
75-12-7	Formamide  	771	73580	0.3564	0	0	275.7	771
64-18-6	Formic acid  	588	23195	1.9091	-5.0003	3.2641	250	588
110-00-9	Furan  	490.15	40050	0.3995	0	0	196.29	490.15
7440-59-7	Helium-4  	5.2	125.04	1.3038	-2.6954	1.7098	2.2	5.2
629-78-7	Heptadecane  	736	104730	0.4374	0	0	295.13	736
111-71-7	Heptanal  	616.8	59560	0.36474	0	0	229.8	616.8
142-82-5	Heptane  	540.2	50014	0.38795	0	0	182.57	540.2
111-14-8	Heptanoic acid  	677.3	112740	0.86047	-0.40661	-0.012644	265.83	677.3
111-70-6	1-Heptanol  	632.3	70236	-1.3652	3.987	-2.2545	239.15	632.3
543-49-7	2-Heptanol  	608.3	96433	0.783	-0.27273	0.038495	230	608.3
106-35-4	3-Heptanone  	606.6	63357	0.42167	0	0	234.15	606.6
110-43-0	2-Heptanone  	611.4	61425	0.39802	0	0	238.15	611.4
592-76-7	1-Heptene  	537.4	49437	0.35428	0.22149	-0.2353	154.12	537.4
1639-09-4	Heptyl mercaptan  	645	65473	0.40968	0	0	229.92	645
628-71-7	1-Heptyne  	547	48222	0.33858	0	0	192.22	547
544-76-3	Hexadecane  	723	101560	0.45726	0	0	291.31	723
66-25-1	Hexanal  	591	56661	0.38533	0	0	217.15	591
110-54-3	Hexane  	507.6	44544	0.39002	0	0	177.83	507.6
142-62-1	Hexanoic acid  	660.2	90746	0.8926	-0.75172	0.34378	269.25	660.2
111-27-3	1-Hexanol  	611.3	70350	-0.9575	3.1431	-1.8066	228.55	611.3
626-93-7	2-Hexanol  	585.3	115500	2.2877	-3.6724	2.1326	223	585.3
591-78-6	2-Hexanone  	587.61	56231	0.38207	0	0	217.35	587.61
589-38-8	3-Hexanone  	582.82	56232	0.39972	0	0	217.5	582.82
592-41-6	1-Hexene  	504	41429	0.49118	-0.44821	0.32105	133.39	504
928-49-4	3-Hexyne  	544	48080	0.436	0	0	170.05	544
111-31-9	Hexyl mercaptan  	623	58422	0.38704	0	0	192.62	623
693-02-7	1-Hexyne  	516.2	45740	0.3698	0	0	141.25	516.2
764-35-2	2-Hexyne  	549	49110	0.4392	0	0	183.65	549
302-01-2	Hydrazine  	653.15	59794	0.9424	-1.398	0.8862	274.69	653.15
1333-74-0	Hydrogen  	33.19	1012.7	0.698	-1.817	1.447	13.95	33.19
10035-10-6	Hydrogen bromide  	363.15	24850	0.39	0	0	185.15	363.15
7647-01-0	Hydrogen chloride  	324.65	22093	0.3466	0	0	158.97	324.65
74-90-8	Hydrogen cyanide  	456.65	33490	0.2053	0	0	259.83	456.65
7664-39-3	Hydrogen fluoride  	461.15	134510	13.36	-23.383	10.785	277.56	461.15
7783-06-4	Hydrogen sulfide  	373.53	25676	0.37358	0	0	187.68	373.53
79-31-2	Isobutyric acid  	605	40385	0.82698	-2.033	1.4769	227.15	605
75-31-0	Isopropyl amine  	471.85	44041	0.43325	0	0	177.95	471.85
141-82-2	Malonic acid  	805	117670	0.37877	0	0	407.95	805
79-41-4	Methacrylic acid  	662	46095	0.23331	0	0	288.15	662
74-82-8	Methane  	190.564	10194	0.26087	-0.14694	0.22154	90.69	190.564
67-56-1	Methanol  	512.5	50451	0.33594	0	0	175.47	512.5
79-16-3	N-Methyl acetamide  	718	73402	0.38974	0	0	301.15	718
79-20-9	Methyl acetate  	506.55	44920	0.3685	0	0	175.15	506.55
74-99-7	Methyl acetylene  	402.4	31889	0.37881	0	0	170.45	402.4
96-33-3	Methyl acrylate  	536	46800	0.349	0	0	196.32	536
74-89-5	Methyl amine  	430.05	38580	0.404	0	0	179.69	430.05
93-58-3	Methyl benzoate  	693	68504	0.38852	0	0	260.75	693
598-25-4	3-Methyl-1,2-butadiene  	490	41233	0.426	0	0	159.53	490
78-78-4	2-Methylbutane  	460.4	37593	0.39173	0	0	113.25	460.4
116-53-0	2-Methylbutanoic acid  	643	74800	0.3933	0	0	193	643
123-51-3	3-Methyl-1-butanol  	577.2	101780	1.3211	-1.2234	0.44836	155.95	577.2
563-46-2	2-Methyl-1-butene  	465	39091	0.39866	0	0	135.58	465
513-35-9	2-Methyl-2-butene  	470	39248	0.36173	0	0	139.39	470
78-80-8	2-Methyl -1-butene-3-yne 	492	36480	0.3863	0	0	160.15	492
628-28-4	Methylbutyl ether  	512.74	45302	0.37779	0	0	157.48	512.74
628-29-5	Methylbutyl sulfide  	593	53416	0.3835	0	0	175.3	593
598-23-2	3-Methyl-1-butyne  	463.2	37920	0.3565	0	0	183.45	463.2
623-42-7	Methyl butyrate  	554.5	53781	0.39523	0	0	187.35	554.5
993-00-0	Methylchlorosilane  	442	32835	0.33116	0	0	139.05	442
108-87-2	Methylcyclohexane  	572.1	47528	0.39437	0	0	146.58	572.1
590-67-0	1-Methylcyclohexanol  	686	64770	0.4853	0	0	299.15	686
7443-70-1	cis-2-Methylcyclohexanol 	614	78011	0.4172	0	0	280.15	614
7443-52-9	trans-2-Methylcyclohexanol 	617	78995	0.42479	0	0	269.15	617
96-37-7	Methylcyclopentane  	532.7	43595	0.38507	0	0	130.73	532.7
693-89-0	1-Methylcyclopentene  	542	43541	0.36805	0	0	146.62	542
1120-62-3	3-Methylcyclopentene  	526	42090	0.36779	0	0	115	526
75-54-7	Methyldichlorosilane  	483	36756	0.31266	0	0	182.55	483
540-67-0	Methylethyl ether  	437.8	35300	0.376	0	0	160	437.8
78-93-3	Methylethyl ketone  	535.5	46220	0.355	0	0	186.48	535.5
624-89-5	Methylethyl sulfide  	533	44842	0.41151	0	0	167.23	533
107-31-3	Methyl formate  	487.2	41030	0.3825	0	0	174.15	487.2
625-44-5	Methylisobutyl ether  	497	42678	0.37995	0	0	150	497
108-10-1	Methylisobutyl ketone  	574.6	54687	0.40583	0	0	189.15	574.6
624-83-9	Methyl Isocyanate  	488	42967	0.37922	0	0	256.15	488
598-53-8	Methylisopropyl ether  	464.48	38501	0.36453	0	0	127.93	464.48
563-80-4	Methylisopropyl ketone  	553.4	47075	0.33601	0	0	180.15	553.4
1551-21-9	Methylisopropyl sulfide  	553.1	45052	0.36493	0	0	171.64	553.1
74-93-1	Methyl mercaptan  	469.95	34448	0.37427	0	0	150.18	469.95
80-62-6	Methyl methacrylate  	566	54680	0.4472	0	0	224.95	566
3004-93-1	2-Methyloctanoic acid  	694	105300	0.7454	-0.39297	0.047214	240	694
107-83-5	2-Methylpentane  	497.7	42522	0.3807	0	0	119.55	497.7
628-80-8	Methyl pentyl ether  	546.49	50002	0.3781	0	0	176	546.49
75-28-5	2-Methylpropane  	407.8	31880	0.39006	0	0	113.54	407.8
75-65-0	2-Methyl-2-propanol  	506.2	77646	0.56757	0	0	298.97	506.2
115-11-7	2-Methyl propene  	417.9	32614	0.38073	0	0	132.81	417.9
554-12-1	Methyl propionate  	530.6	50080	0.3959	0	0	185.65	530.6
557-17-5	Methylpropyl ether  	476.25	42719	0.43175	0	0	133.97	476.25
3877-15-4	Methylpropyl sulfide  	565	48253	0.38087	0	0	160.17	565
992-94-9	Methylsilane  	352.5	22656	0.30269	0	0	116.34	352.5
98-83-9	alpha-Methyl styrene  	654	58071	0.37009	0	0	249.95	654
1634-04-4	Methyl tert-butyl ether  	497.1	38720	0.044	0.448	-0.112	164.55	497.1
107-25-5	Methyl vinyl ether  	437	35870	0.3769	0	0	151.15	437
91-20-3	Naphthalene  	748.4	70911	0.46468	0	0	353.43	748.4
7440-01-9	Neon  	44.4	2389	0.3494	0	0	24.56	44.4
79-24-3	Nitroethane  	593	51459	0.33017	0	0	183.63	593
7727-37-9	Nitrogen  	126.2	7490.5	0.40406	-0.317	0.27343	63.15	126.2
7783-54-2	Nitrogen trifluoride  	234	16402	0.36494	0	0	66.46	234
75-52-5	Nitromethane  	588.15	47417	0.3062	0	0	244.6	588.15
10024-97-2	Nitrous oxide  	309.57	23215	0.384	0	0	182.3	309.57
10102-43-9	Nitric oxide  	180.15	21310	0.4056	0	0	109.5	180.15
629-92-5	Nonadecane  	758	116740	0.45865	0	0	305.04	758
124-19-6	Nonanal  	658	73363	0.41735	0	0	255.15	658
111-84-2	Nonane  	594.6	60370	0.38522	0	0	219.66	594.6
112-05-0	Nonanoic acid  	710.7	123800	0.69869	0.097854	-0.35082	285.55	710.7
143-08-8	1-Nonanol  	670.9	75429	-1.5966	4.6489	-2.7229	268.15	670.9
628-99-9	2-Nonanol  	649.5	79797	-1.0341	3.553	-2.1149	238.15	649.5
124-11-8	1-Nonene  	593.1	59054	0.61039	-0.54533	0.30683	191.91	593.1
1455-21-6	Nonyl mercaptan  	681	75239	0.3991	0	0	253.05	681
3452-09-3	1-Nonyne  	598.05	63337	0.3975	0	0	223.15	598.05
593-45-3	Octadecane  	747	109690	0.44327	0	0	301.31	747
124-13-0	Octanal  	638.9	67735	0.40607	0	0	246	638.9
111-65-9	Octane  	568.7	55180	0.38467	0	0	216.38	568.7
124-07-2	Octanoic acid  	694.26	122300	0.69294	0.12287	-0.36132	289.65	694.26
111-87-5	1-Octanol  	652.3	72468	-1.2464	3.6797	-2.0665	257.65	652.3
123-96-6	2-Octanol  	629.8	76376	-0.7612	2.7875	-1.6033	241.55	629.8
111-13-7	2-Octanone  	632.7	65363	0.38718	0	0	252.85	632.7
106-68-3	3-Octanone  	627.7	66142	0.58562	-0.40512	0.22144	255.55	627.7
111-66-0	1-Octene  	566.9	54859	0.26207	0.50642	-0.43873	171.45	566.9
111-88-6	Octyl mercaptan  	667.3	68907	0.40017	0	0	223.95	667.3
629-05-0	1-Octyne  	574	54046	0.35299	0	0	193.55	574
144-62-7	Oxalic acid  	804	114730	0.37238	0	0	462.65	804
7782-44-7	Oxygen  	154.58	9008	0.4542	-0.4096	0.3183	54.36	154.58
10028-15-6	Ozone  	261	18587	0.30416	0	0	80.15	261
629-62-9	Pentadecane  	708	96741	0.45399	0	0	283.07	708
110-62-3	Pentanal  	566.1	51478	0.37541	0	0	182	566.1
109-66-0	Pentane  	469.7	39109	0.38681	0	0	143.42	469.7
109-52-4	Pentanoic acid  	639.16	73197	1.2093	-1.9114	1.1591	239.15	639.16
71-41-0	1-Pentanol  	588.1	73900	-0.1464	1.4751	-0.9208	195.56	588.1
6032-29-7	2-Pentanol  	561	111110	1.8011	-2.1801	1.0641	200	561
107-87-9	2-Pentanone  	561.08	51740	0.39422	0	0	196.29	561.08
96-22-0	3-Pentanone  	560.95	52359	0.40465	0	0	234.18	560.95
109-67-1	1-Pentene  	464.8	35027	0.3481	-0.19672	0.22394	108.02	464.8
2084-19-7	2-Pentyl mercaptan  	584.3	50573	0.45827	-0.22568	0.16393	160.75	584.3
110-66-7	Pentyl mercaptan  	598	54315	0.3972	0	0	197.45	598
627-19-0	1-Pentyne  	481.2	39540	0.3512	0	0	167.45	481.2
627-21-4	2-Pentyne  	519	44158	0.44347	0	0	163.83	519
85-01-8	Phenanthrene  	869	83482	0.33172	0	0	372.38	869
108-95-2	Phenol  	694.25	73060	0.4246	0	0	314.06	694.25
103-71-9	Phenyl isocyanate  	653	55769	0.30346	0	0	243.15	653
85-44-9	Phthalic anhydride  	791	69160	0.1755	0	0	404.15	791
463-49-0	Propadiene  	394	29535	0.41367	0	0	136.87	394
74-98-6	Propane  	369.83	29209	0.78237	-0.77319	0.39246	85.47	369.83
71-23-8	1-Propanol  	536.8	68988	0.6458	-0.5384	0.3317	146.95	536.8
67-63-0	2-Propanol  	508.3	72542	0.79137	-0.66092	0.34223	185.26	508.3
13511-13-2	Propenylcyclohexene  	636	58866	0.38533	0	0	199	636
123-38-6	Propionaldehyde  	504.4	41492	0.36751	0	0	170	504.4
79-09-4	Propionic acid  	600.81	40000	1.3936	-2.9465	1.794	252.45	600.81
107-12-0	Propionitrile  	564.4	49348	0.41873	0	0	180.26	564.4
109-60-4	Propyl acetate  	549.73	54327	0.407	0	0	178.15	549.73
107-10-8	Propyl amine  	496.95	44488	0.39494	0	0	188.36	496.95
103-65-1	Propylbenzene  	638.35	58887	0.38534	0	0	173.55	638.35
115-07-1	Propylene  	364.85	25216	0.33721	-0.18399	0.22377	87.89	364.85
110-74-7	Propyl formate  	538	49687	0.4025	0	0	180.25	538
75-33-2	2-Propyl mercaptan  	517	42191	0.41161	0	0	142.61	517
107-03-9	Propyl mercaptan  	536.6	44782	0.41073	0	0	159.95	536.6
57-55-6	1,2-Propylene glycol  	626	80700	0.295	0	0	213.15	626
106-51-4	Quinone  	683	64900	0.3112	0	0	388.85	683
7783-61-1	Silicon tetrafluoride  	259	24105	0.37988	0	0	186.35	259
100-42-5	Styrene  	636	57260	0.4055	0	0	242.54	636
110-15-6	Succinic acid  	806	120180	0.37149	0	0	460.65	806
7446-09-5	Sulfur dioxide  	430.75	36760	0.4	0	0	197.67	430.75
2551-62-4	Sulfur hexafluoride  	318.69	25710	0.383	0	0	223.15	318.69
7446-11-9	Sulfur trioxide  	490.85	73370	0.5647	0	0	289.95	490.85
84-15-1	o-Terphenyl  	857	87165	0.3224	0	0	329.35	857
629-59-4	Tetradecane  	693	90539	0.44467	0	0	279.01	693
109-99-9	Tetrahydrofuran  	540.15	43021	0.36972	0	0	164.65	540.15
119-64-2	1,2,3,4-Tetrahydronaphthalene  	720	68086	0.43054	0	0	237.38	720
110-01-0	Tetrahydrothiophene  	631.95	50642	0.38904	0	0	176.99	631.95
594-82-1	2,2,3,3-Tetramethylbutane  	568	49055	0.40678	0	0	373.96	568
110-02-1	Thiophene  	579.35	45854	0.38756	0	0	234.94	579.35
108-88-3	Toluene  	591.75	49507	0.37742	0	0	178.18	591.75
79-00-5	1,1,2-Trichloroethane  	602	50929	0.38013	0	0	236.5	602
629-50-5	Tridecane  	675	84339	0.4257	0	0	267.76	675
121-44-8	Triethyl amine  	535.15	46640	0.3663	0	0	158.45	535.15
75-50-3	Trimethyl amine  	433.25	33050	0.354	0	0	156.08	433.25
526-73-8	1,2,3-Trimethylbenzene  	664.5	59996	0.35578	0	0	247.79	664.5
95-63-6	1,2,4-Trimethylbenzene  	649.1	59254	0.35709	0	0	229.33	649.1
540-84-1	2,2,4-Trimethylpentane  	543.8	47711	0.37949	0	0	165.78	543.8
560-21-4	2,3,3-Trimethylpentane  	573.5	49910	0.383	0	0	172.22	573.5
99-35-4	1,3,5-Trinitrobenzene  	846	106870	0.38	0	0	398.4	846
118-96-7	2,4,6-Trinitrotoluene  	828	106860	0.40074	0	0	354	828
1120-21-4	Undecane  	639	72284	0.40607	0	0	247.57	639
112-42-5	1-Undecanol  	703.9	87274	-1.5834	5.0913	-3.2171	288.45	703.9
108-05-4	Vinyl acetate  	519.13	47700	0.3765	0	0	180.35	519.13
689-97-4	Vinyl acetylene  	454	36490	0.4	0.043	0	173.15	454
75-01-4	Vinyl chloride  	432	34125	0.4513	0	0	119.36	432
75-94-5	Vinyl trichlorosilane  	543.15	45659	0.36278	0	0	178.35	543.15
7732-18-5	Water  	647.096	52053	0.3199	-0.212	0.25795	273.16	647.096
108-38-3	m-Xylene  	617	54626	0.37289	0	0	225.3	617
95-47-6	o-Xylene  	630.3	55395	0.37788	0	0	247.98	630.3
106-42-3	p-Xylene  	616.2	53819	0.36695	0	0	286.41	616.2
