CASRN	Chemical	A	B	C	Tmin	Tmax
106-99-0	1,3-butadiene 	8.9664	927.21	-34.52	198	287.49
287-23-0	cyclobutane 	9.04436	1025.5	-31.72	210.2	305.67
106-98-9	1-butene 	8.9178	908.8	-34.61	196.41	285.88
624-64-6	trans-2-butene 	9.00827	967.5	-32.31	201.83	293.29
590-18-1	cis-2-butene 	9.00958	967.32	-35.277	204.73	296.11
115-11-7	2-methylpropene 	8.80956	866.25	-38.51	195.77	285.41
78-93-3	butanone 	9.1386	1232.63	-54.46	265.62	375.66
109-99-9	tetrahydrofuran 	9.12142	1203.11	-46.795	253.5	361.71
107-92-6	butanoic acid 	9.8234	1731.708	-77.195	342.7	460.12
79-31-2	2-methylpropanoic acid 	8.71153	1097.83	-131.41	334	453.31
554-12-1	methyl propanoate 	8.98745	1129.57	-68.91	267.5	375.32
141-78-6	ethyl ethanoate 	9.13361	1195.13	-60.68	265.5	372.51
110-74-7	propyl methanoate 	8.97008	1132.3	-69.07	268.9	377.68
78-86-4	2-chlorobutane 	9.1222	1245.2	-38.75	252.6	364.62
106-97-8	butane 	8.93266	935.773	-34.361	200.5	292.03
75-28-5	2-methylpropane 	9.00272	947.54	-24.28	190.4	280.25
71-36-3	1-butanol 	9.6493	1395.14	-90.411	310.18	411.26
78-83-1	2-methyl-1-propanol 	9.34504	1190.38	-106.48	303.4	400.84
75-65-0	2-methyl-2-propanol 	9.44484	1154.48	-95.5	283	374.1
60-29-7	diethyl ether 	9.10962	1090.64	-41.95	229.71	328.31
352-93-2	3-thiapentane 	9.05326	1257.833	-54.488	273.1	389.71
109-73-9	1-butanamine 	9.3077	1276.87	-52.63	265.2	371.32
78-81-9	2-methyl-1-propanamine	8.9007	1055.56	-69.8	258.31	363.04
110-86-1	pyridine 	9.16749	1373.026	-58.46	292.51	413.57
534-22-5	2-methylfuran 	8.7041	991.2	-69.86	253.3	361.13
627-19-0	1-pentyne 	9.0026	1068.1	-46.15	233	334
287-92-3	cyclopentane 	9.06783	1152.574	-38.64	238.5	344.62
109-67-1	1-pentene 	8.96914	1044.01	-39.7	223.89	324.32
627-20-3	cis-2-pentene 	8.96798	1052.44	-44.457	229.4	331.46
513-35-9	2-methyl-2-butene 	9.09149	1124.33	-36.52	230.69	333.14
563-45-1	3-methyl-1-butene 	8.94945	1012.37	-36.503	215.73	221.5
107-87-9	2-pentanone 	9.1514	1316.73	-57.77	282.84	399.74
96-22-0	3-pentanone 	9.42708	1481.17	-40.14	281.9	399.12
563-80-4	3-methyl-2-butanone 	8.46583	955.43	-91.42	276.4	393.31
96-47-9	2-methyltetrahydrofuran 	8.95009	1175.51	-55.348	263.44	377.49
109-52-4	pentanoic acid 	9.1692	1405.8	-121.35	361	484.78
503-74-2	3-methylbutanoic acid 	9.5847	1676.3	-83.65	350	474.97
623-42-7	methyl butanoate 	9.10641	1271.06	-65.94	284.9	399.96
105-37-3	ethyl propanoate 	9.144	1274.7	-64.15	282.4	395.85
109-60-4	propyl ethanoate 	9.05548	1233.46	-70.07	284.4	398.6
542-55-2	2-methylpropyl methanoate 	8.9845	1195.9	-70.65	288	395.32
543-59-9	1-chloropentane 	8.93641	1271.16	-58.15	283.72	407.81
109-66-0	pentane 	8.97786	1064.84	-41.136	228.71	330.75
78-78-4	2-methylbutane 	8.92023	1022.88	-39.69	221.72	322.32
463-82-1	2,2-dimethylpropane 	8.83916	938.234	-37.901	259.33	303.08
71-41-0	1-pentanol 	9.39646	1336.01	-106.83	326.01	433.05
6032-29-7	2-pentanol 	9.42349	1291.212	-100.02	298.12	383.34
137-32-6	2-methyl-1-butanol 	9.48266	1360.367	-99.93	298.12	393.7
75-85-4	2-methyl-2-butanol 	8.6442	863.4	-137.85	299	396.11
123-51-3	3-methyl-1-butanol 	9.07851	1128.19	-126.68	321.9	425.34
628-32-0	ethyl propyl ether 	8.83648	1052.47	-62.27	252.4	359.96
541-31-1	3-methyl-1-butanethiol 	9.03981	1342.509	-58.704	292.6	417.78
108-90-7	chlorobenzene 	9.02012	1378.79	-61.45	302.5	432.18
71-43-2	benzene 	8.98523	1184.24	-55.578	279.64	377.06
108-95-2	phenol 	9.2696	1523.42	-97.75	353	481.62
62-53-3	benzeneamine 	9.4087	1692.77	-72.71	349.86	484.81
109-06-8	2-methylpyridine 	9.1555	1415.41	-61.42	303.19	428.63
108-99-6	3-methylpyridine 	9.1893	1492.13	-60.62	314.03	444.37
108-89-4	4-methylpyridine 	9.1675	1481.571	-62.5	315.05	445.68
110-82-7	cyclohexane 	8.93002	1182.774	-52.532	282.11	378.46
96-37-7	methylcyclopentane 	9.18199	1295.543	-34.76	255.06	368.58
592-41-6	1-hexene 	8.9826	1148.62	-47.81	249.98	359.8
691-37-2	4-methylpent-1-ene 	8.96019	1121.302	-43.463	241.6	349.9
591-78-6	2-hexanone 	9.1533	1395.8	-64.17	302.68	426.5
589-38-8	3-hexanone 	9.11658	1359.88	-65.85	299.6	422.25
108-10-1	4-methyl-2-pentanone 	8.8222	1190.6904	-77.7	293.4	415.85
105-54-4	ethyl butanoate 	8.27456	921.56	-112.77	298	422.69
106-36-5	propyl propanoate 	9.4489	1545.3	-47.85	299.2	420.4
123-86-4	butyl ethanoate 	9.5	1596.7	-43.85	301	424.11
110-19-0	2-methylpropyl ethanoate 	9.3546	1462.4	-53.45	295	414.22
110-45-2	3-methylbutyl methanoate 	9.2488	1439.4	-58.05	300	422.66
110-54-3	hexane 	9.00139	1170.875	-48.833	254.24	365.25
107-83-5	2-methylpentane 	8.98332	1145.8	-45.335	246.9	356.5
96-14-0	3-methylpentane 	8.99283	1162.37	-44.864	249	359.72
75-83-2	2,2-dimethylbutane 	8.8959	1090.16	-42.633	237.4	345.89
79-29-8	2,3-dimethylbutane 	8.93486	1127.4	-44.184	244.2	354.43
111-27-3	1-hexanol 	9.18948	1295.59	-120.64	340.8	453.83
626-93-7	2-hexanol 	9.93223	1696.19	-68.72	324.5	434.97
623-37-0	3-hexanol 	11.1625	2662.265	23.47	298	411
105-30-6	2-methyl-1-pentanol 	11.1979	2625.143	3.18	298	423
590-36-3	2-methyl-2-pentanol 	8.27663	811.05	-146.55	309.5	419.12
626-89-1	4-methyl-1-pentanol 	9.17605	1273.35	-119.59	336.4	448.19
108-11-2	4-methyl-2-pentanol 	9.6618	1566.76	-68.36	315	427.65
108-88-3	toluene 	9.05043	1327.62	-255.525	286.44	409.61
95-48-7	2-methylphenol 	9.1834	1534.54	-96.85	357.8	492.11
108-39-4	3-methylphenol 	9.2153	1556.83	-105.55	368.8	503.28
108-47-4	2,4-dimethylpyridine 	9.20962	1542.94	-64.52	325.65	459.28
589-93-5	2,5-dimethylpyridine 	9.20857	1541.78	-63.3	324.2	457.87
108-48-5	2,6-dimethylpyridine 	9.08748	1407.25	-72.149	315.34	443.79
583-58-4	3,4-dimethylpyridine 	9.1892	1605.14	-68.6	341.1	481.43
591-22-0	3,5-dimethylpyridine 	9.2129	1595.15	-65.91	335.73	473.68
291-64-5	cycloheptane 	8.9633	1322.21997	-57.853	291.4	418.89
108-87-2	methylcyclohexane 	8.98232	1290.968	-49.449	276.68	400.13
1640-89-7	ethylcyclopentane 	9.00408	1293.712	-53.03	279.88	402.39
2532-58-3	cis-1,3-dimethylcyclopentane 	9.00405	1259.821	-49.62	270.52	389.83
1759-58-6	trans-1,3-dimethylcyclopentane 	8.95279	1232.161	-51.73	269.74	389.15
592-76-7	1-heptene 	9.02677	1258.34	-53.85	273.62	391.59
105-66-8	propyl butanoate 	8.40455	1019.49	-116.55	316	445.04
540-42-1	2-methylpropyl propanoate 	8.5618	1042.3	-116.65	321.6	436.3
142-82-5	heptane 	9.02023	1263.909	-56.718	277.71	396.53
591-76-4	2-methylhexane 	8.99739	1235.52	-53.653	270.55	387.88
589-34-4	3-methylhexane 	8.99571	1242.018	-53.715	271.9	389.82
617-78-7	3-ethylpentane 	9.00449	1254.055	-53.014	272.9	391.62
590-35-2	2,2-dimethylpentane 	8.94392	1191.959	-49.652	260.9	376.84
565-59-3	2,3-dimethylpentane 	8.98066	1238.986	-51.208	281.56	387.89
108-08-7	2,4-dimethylpentane 	8.95442	1193.612	-51.343	262.4	378.01
562-49-2	3,3-dimethylpentane 	8.94912	1227.02	-48.029	265.2	384.36
464-06-2	2,2,3-trimethylbutane 	8.91555	1199.397	-47.242	260.9	379.04
111-70-6	1-heptanol 	9.01991	1274.89	-132.21	355.1	475.03
100-41-4	ethylbenzene 	9.06861	1415.77	-60.85	306.32	436.63
95-47-6	1,2-dimethylbenzene 	9.09789	1458.706	-61.109	312.75	445.3
108-38-3	1,3-dimethylbenzene 	9.14051	1468.703	-57.03	308.54	439.56
106-42-3	1,4-dimethylbenzene 	9.10494	1446.832	-58.523	307.81	438.88
90-00-6	2-ethylphenol 	9.13365	1550.44	-102.076	367.9	506.61
620-17-7	3-ethylphenol 	9.16568	1572.26	-113.62601	381.72	520.46
123-07-9	4-ethyl-phenol 	9.13227	1545.23999	-116.682	381.67	520.01
526-75-0	2,3-dimethylphenol 	9.12202	1576.78	-106.977	377.86	519.64
105-67-9	2,4-dimethylphenol 	9.18688	1592.78	-103.146	373.76	513.04
95-87-4	2,5-dimethylphenol 	9.13449	1563.14	-105.697	373.66	513.46
576-26-1	2,6-dimethylphenol 	9.19336	1627.23	-85.603	361.76	503.66
95-65-8	3,4-dimethylphenol 	9.21183	1627.78	-113.109	388.5	529.34
108-68-9	3,5-dimethylphenol 	9.26229	1645.27	-108.329	384.32	523.67
292-64-8	cyclooctane 	8.98125	1434.67	-63.438	316	453.27
2207-04-7	t-1,4-dimethylcyclohexane 	9.02425	1457.08	-67.16	321.75	458.51
111-66-0	1-octene 	9.05985	1355.46	-60.1	295.47	420.71
111-65-9	octane 	9.05075	1356.36	-63.515	299.42	425.23
592-27-8	2-methylheptane 	9.03877	1335.22	-59.735	299.81	416.95
589-81-1	3-methylheptane 	9.01533	1326.14	-61.337	306.32	418.36
589-53-7	4-methylheptane 	9.02214	1325.704	-60.783	292.5	417.05
619-99-8	3-ethylhexane 	9.01533	1327.93	-60.505	292.9	418.01
590-73-8	2,2-dimethylhexane 	8.95748	1271.18	-58.32	283	405.96
584-94-1	2,3-dimethylhexane 	8.99236	1314.29	-59.091	290	415.13
589-43-5	2,4-dimethylhexane 	8.97399	1285.85	-58.55	285.2	408.63
592-13-2	2,5-dimethylhexane 	8.98112	1285.47	-58.902	285.2	408.2
563-16-6	3,3-dimethylhexane 	8.97403	1306.96	-55.774	286.1	411.59
583-48-2	3,4-dimethylhexane 	9.0031	1329.4	-58.314	291.4	417.4
609-26-7	3-ethyl-2-methylpentane 	8.9861	1317.05	-57.921	289.5	415.31
1067-08-9	3-ethyl-3-methylpentane 	8.9895	1345.92	-53.566	290.1	418.46
564-02-3	2,2,3-trimethylpentane 	8.94826	1293.94	-54.795	283.9	409.56
540-84-1	2,2,4-trimethylpentane 	8.93646	1257.85	-52.383	275.5	398.38
560-21-4	2,3,3-trimethylpentane 	8.96421	1325.81	-52.989	287	414.91
565-75-3	2,3,4-trimethylpentane 	8.977	1314.31	-55.669	300.19	413.19
594-82-1	2,2,3,3-tetramethylbutane 	8.9042	1270.1	-53.65	375.2	406
111-87-5	1-octanol 	8.90225	1274.8	-141.16	368.8	495.15
123-96-6	2-octanol 	8.5137	1060.4	-150.65	354	480.72
589-62-8	4-octanol 	10.08522	1816.393	-83.13	283	353
91-22-5	quinoline 	9.1949	1812.25	-77.7	385.18	543.11
103-65-1	propylbenzene 	9.07664	1491.8	-65.9	324.19	461.01
98-82-8	1-methylethylbenzene 	9.06112	1460.766	-65.32	318.92	453.81
622-96-8	1-ethyl-4-methylbenzene 	9.10862	1517.577	-65.25	326.56	463.82
526-73-8	1,2,3-trimethylbenzene 	9.1711	1598.241	-65.53	337.8	478.5
95-63-6	1,2,4-trimethylbenzene 	9.17692	1579.353	-63.86	332.64	471.34
108-67-8	1,3,5-trimethylbenzene 	9.22541	1581.36	-63.14	330.06	466.1
124-11-8	1-nonene 	9.0792	1436.2	-67.46	316.02	447.59
106-27-4	3-methylbutyl butanoate 	9.50447	1805.08	-50.85	342	480.28
111-84-2	nonane 	9.07356	1438.03	-70.456	319.57	451.64
3221-61-2	2-methyloctane 	9.0366	1399.9	-69.15	313	444
1071-26-7	2,2-dimethylheptane 	8.9553	1346.1	-65.15	303	433
3522-94-9	2,2,5-trimethylhexane 	8.97372	1332.86	-61.34	296.3	424.25
7154-79-2	2,2,3,3-tetramethylpentane 	8.95319	1397.69	-59.37	306.6	442
1186-53-4	2,2,3,4-tetramethylpentane 	8.95552	1373.79	-58.37	301.4	434.2
1070-87-7	2,2,4,4-tetramethylpentane 	8.92055	1324.65	-57.07	292.79	423.04
16747-38-9	2,3,3,4-tetramethylpentane 	8.99105	1422.03	-57.894	307.81	443.27
143-08-8	1-nonanol 	8.83303	1297.75	-148.15	382.1	515.58
91-20-3	naphthalene 	9.13555	1733.71	-71.291	368.44	523.4
104-51-8	butylbenzene 	9.10345	1575.47	-71.95	343.5	486.2
538-93-2	2-methylpropylbenzene 	9.05978	1529.96	-68.51	334.19	475.5
105-05-5	1,4-diethylbenzene 	9.12958	1592.59	-70.71	343.95	486.6
99-87-6	1-(1-methylethyl)-4-methylbenzene	9.17215	1606.89	-64.58	338.28	479.6
95-93-2	1,2,4,5-tetramethylbenzene 	9.18329	1660.56	-72.51	354.8	500.2
493-01-6	cis-bicyclo[4.4.0]decane 	9.00019	1594.46	-69.758	349.53	500.79
493-02-7	trans-bicyclo[4.4.0]decane 	8.98171	1564.683	-66.891	342.33	492
124-18-5	decane 	9.06853	1495.17	-79.292	338.53	476.15
20291-95-6	2,2,5-trimethylheptane 	9.00345	1417.4	-69.35	318	452
7154-80-5	3,3,5-trimethylheptane 	8.98014	1435.43	-67.66	320	458
13475-81-5	2,2,3,3-tetramethylhexane 	8.96928	1464.03	-64.09	322.38	463.2
1071-81-4	2,2,5,5-tetramethylhexane 	9.00614	1377.98	-66.15	307.68	438.06
112-30-1	1-decanol 	8.84905	1369	-148.072	394.8	533.92
90-12-0	1-methylnaphthalene 	9.16082	1826.948	-78.148	389.93	551.4
91-57-6	2-methylnaphthalene 	9.1934	1840.268	-74.755	387.07	547.5
1120-21-4	undecane 	9.0971	1569.57	-85.45	356.25	499
92-52-4	1,1Ј-biphenyl 	9.1887	1841.48	-88	400.77	561.6
112-40-3	dodecane 	9.12285	1639.27	-91.31	372.89	520.24
101-81-5	diphenylmethane 	9.1806	1862.64	-91.5	408.2	571.7
629-50-5	tridecane 	9.13246	1690.67	-98.93	388.85	540.19
85-01-8	phenanthrene 	9.37081	2329.54	-77.87	461.6	650
120-12-7	anthracene 	9.79891	2819.63	-26.13	460	653
629-59-4	tetradecane 	9.1379	1740.88	-105.43	403.69	559.15
629-62-9	pentadecane 	9.14849	1789.95	-111.77	417.8	576.9
544-76-3	hexadecane 	9.15357	1830.51	-118.7	431.47	593.8
629-78-7	heptadecane 	9.1392	1865.1	-123.95	443.5	610
593-45-3	octadecane 	9.1271	1894.3	-129.85	455	625
629-92-5	nonadecane 	9.1402	1932.8	-135.55	466.5	639
112-95-8	eicosane 	9.2771	2032.7	-141.05	481.1	652
7698-05-7	deuterium chloride 	9.06086	668.2	-23.651	160.44	201.37
7616-94-6	perchloryl fluoride 	9.02009	791.727	-29.27	167.8	242.15
13637-63-3	chlorine pentafluoride 	8.39423	653.06	-66.55	194.8	277.68
7647-01-0	hydrogen chloride 	9.2949	745.78	-14.27	159.97	201
12125-02-9	ammonium chloride 	11.4806	3703.7	-41.15	494	640.5
2696-92-6	nitrogen oxychloride 	9.48644	1094.73	-23.45	209.4	285.01
7782-50-5	chlorine 	9.0628	861.34	-26.82	176.31	255.79
13983-20-5	deuterium hydride 	8.14102	77.1349	2.47	15.73	24.69
14104-45-1	deuterium iodide 	7.72964	414.68	-85.28	217.8	256.03
7782-39-0	deuterium 	8.14102	77.1349	2.47	15.2	18.97
800000-54-8	deuterium, normal 	8.25315	83.5251	2.07	17.57	26.23
7789-20-0	deuterium oxide 	10.04327	1616.76	-53.61	335.17	394.54
13550-49-7	trideuteroammonia 	9.61234	966.226	-32.35	195.75	256.46
7664-39-3	hydrogen fluoride 	9.80588	1475.6	14.73	212.1	312.83
10022-50-1	nitrogen dioxyfluoride 	8.9583	654.55	-35.15	151	214.12
7782-41-4	fluorine 	8.89078	304.35	-6.61	61	91.39
7783-41-7	oxygen difluoride 	9.36109	545.05	-3.24	93.1	137.4
7783-54-2	nitrogen trifluoride 	8.90456	501.913	-57.15	146.72	196.43
7783-60-0	sulfur tetrafluoride 	8.9644	823.4	-25.15	170	249.92
2551-62-4	sulfur hexafluoride 	10.5409	1096.5	-11.15	162	220.4
10034-85-2	hydrogen iodide 	7.69803	405.33	-87.02	217.9	256.12
1333-74-0	hydrogen 	7.93954	66.7954	2.5	10.25	22.82
800000-51-5	hydrogen, normal 	7.94928	67.5078	2.55	13.33	22.94
7732-18-5	water 	10.11564	1687.537	-42.98	273.2	473.2
7783-06-4	hydrogen sulfide 	9.22882	806.933	-21.76	185.51	227.2
13465-07-1	dihydrogen disulfide 	9.055	1199	-48.15	256	367.55
13845-23-3	dihydrogen trisulfide 	8.932	1488	-64.15	328	473.96
13845-25-5	dihydrogen tetrasulfide 	9.07	1772	-77.15	384	547.3
13845-24-4	dihydrogen pentasulfide 	9.445	2104	-84.15	426	591.88
7783-07-5	hydrogen selenide 	9.7603	927.6	-33.15	177	213
7664-41-7	ammonia 	9.4854	926.132	-32.98	193.03	254.31
7803-51-2	phosphine 	8.84049	645.512	-17.08	137.44	199.46
302-01-2	hydrazine 	9.9268	1679.07	-45.45	298.9	408.43
7440-59-7	helium 	6.6836	8.1548	0.56	1.85	5.34
14762-55-1	helium-3 	6.3975	5.594	0.69	1.12	4.41
7553-56-2	iodine 	9.1431	1611.9	-67.97	392.49	487.51
7439-90-9	krypton 	8.7556	416.38	-8.7	111.34	129.23
10102-43-9	nitrogen monoxide 	10.8679	682.9386	-4.88	106.94	127.56
7727-37-9	nitrogen 	8.61947	255.68	-6.6	60.81	83.65
10024-97-2	dinitrogen oxide 	9.12884	654.26	-25.99	180.82	196.91
10544-72-6	dinitrogen tetroxide 	9.50989	1185.722	-38.97	254.17	320.69
7440-01-9	neon 	8.20934	78.38	-2.6	24.33	29.55
7782-44-7	oxygen 	8.81634	319.013	-6.45	64.29	97.2
7446-09-5	sulfur dioxide 	9.4072	999.9	-35.96	199.71	279.47
10028-15-6	ozone 	8.962	552.5	-22.15	120	173.07
7446-11-9	sulfur trioxide 	11.17575	1735.31	-36.65	284.5	332.04
10043-92-2	radon 	9.6204	884.41	-18.15	158	222.9
7704-34-9	sulfur 	8.96853	2500.12	-86.85	527.98	768.55
7782-49-2	selenium 	9.7565	4213	-71.15	724	1017
7440-63-3	xenon 	8.76779	566.282	-14.49	156.43	177.84
