CASRN	Name	A	B	C	D	Tc	Pc	Tmin	Tmax
108-94-1	cyclohexanone 	-7.4938	1.63094	-2.12212	-3.91327	653	4000000	242	653
141-79-7	4-methyl-3-penten-2-one 	-8.68118	3.99203	-4.81662	-1.73164	605	4000000	303.67	428.56
108-93-0	cyclohexanol 	-7.12838	1.40189	-5.60756	-9.57158	650	4260000	296.6	650
108-10-1	isobutyl ketone) 	-7.7004	1.69968	-2.80448	-3.81623	574.6	3270000	189.15	574.6
111-34-2	butylvinylether 	-8.04744	2.31158	-2.91499	-4.09565	540.5	3200000	311.89	403.37
142-62-1	hexanoic acid 	-8.8657	1.95079	-7.80315	-2.85006	662	3200000	269.25	662
111-15-9	2-ethoxyethylacetate 	-9.64168	4.58179	-6.25993	-4.12066	610.6	3180000	330	468.7
110-54-3	hexane 	-7.53998	1.83759	-2.5438	-3.163	507.9	3035000	177.83	507.9
111-27-3	1-hexanol 	-9.49034	5.13288	-10.5817	-5.154	610.7	3470000	228.55	610.7
335-57-9	hexadecylfluoroheptane 	-9.18955	3.15138	-5.41934	-4.11174	475	1650000	303.68	389.7
771-56-2	pentafluorotoluene 	-8.08717	1.76131	-2.72838	-4.13797	566.52	3124000		566.52
108-88-3	toluene 	-7.316	1.59425	-1.93165	-3.7222	591.8	4106000	178.18	591.8
100-51-6	benzyl alcohol 	-7.29099	1.17084	-4.7167	-5.53	715	4300000	257.85	715
141-32-2	Butyl-2-propenoate 	-7.59083	1.96932	-3.05837	-4.17604	644	4540000	318.51	419.77
111-14-8	heptanoic acid 	-8.9424	2.20536	-8.82144	-1.971	679	2900000	265.83	679
111-70-6	1-heptanol 	-9.68778	5.35716	-10.1672	-8.01	632.5	3135000	239.15	632.5
98-86-2	MethylPhenylKetone 	-8.9386	4.01161	-4.5941	-2.57768	713	4400000	360.46	520
100-41-4	ethylbenzene 	-7.53139	1.75439	-2.42012	-3.57146	617.2	3600000	178.2	617.2
