CASRN	Chemical	omega_SRK	Vchar	Z_RA
13402-60-3	Sec-decyl Mercaptan	0.564	0.0006957	0.2534
75-18-3	dimethyl sulfide	0.1936	0.000201	0.2692
624-89-5	methyl ethyl sulfide	0.2435	0.0002569	0.2689
3877-15-4	methyl N-propyl sulfide	0.277	0.0003129	0.2653
352-93-2	diethyl sulfide	0.2938	0.0003137	0.2671
1551-21-9	methyl isopropyl sulfide	0.2494	0.0003133	0.2728
628-29-5	methyl n-butyl sulfide	0.322	0.0003716	0.262
4110-50-3	ethyl n-propyl sulfide	0.325	0.0003728	0.2643
10359-64-5	methyl sec-butyl sulfide	0.2946	0.0003715	0.2688
5008-69-5	methyl isobutyl sulfide	0.2933	0.0003705	0.2683
5145-99-3	ethyl isopropyl sulfide	0.294	0.000373	0.2713
6163-64-0	methyl tert-butyl sulfide	0.2387	0.0003666	0.272
638-46-0	ethyl n-butyl sulfide	0.373	0.0004335	0.2611
111-47-7	Di-N-propyl sulfide	0.3741	0.0004332	0.2615
5008-73-1	N-propyl isopropyl sulfide	0.3428	0.0004328	0.2677
5008-72-0	ethyl sec-butyl sulfide	0.3398	0.0004288	0.2658
1613-45-2	ethyl isobutyl sulfide	0.3421	0.0004316	0.2665
14290-92-7	ethyl tert-butyl sulfide	0.2848	0.0004276	0.2704
625-80-9	diisopropyl sulfide	0.3098	0.0004327	0.2741
544-40-1	Di-n-butyl sulfide	0.4824	0.0005616	0.2561
544-02-5	diisoamyl sulfide	0.6181	0.0007013	0.2589
592-88-1	diallyl sulfide	0.1031	0.0003732	0.2525
624-92-0	Dimethyl disulfide	0.261	0.0002638	0.2751
110-81-6	diethyl disulfide	0.3424	0.0003803	0.2694
30453-31-7	ethyl n-propyl disulfide	0.3876	0.0004403	0.2662
53966-36-2	ethyl isopropyl disulfide	0.3556	0.0004392	0.2711
629-19-6	Di-n-propyl disulfide	0.4391	0.0005041	0.2634
33672-51-4	propyl isopropyl disulfide	0.4059	0.0005023	0.268
4151-69-3	ethyl tert-butyl disulfide	0.3482	0.000495	0.2696
4253-89-8	diisopropyl disulfide	0.3734	0.0004999	0.2727
629-45-8	Di-n-butyl disulfide	0.5507	0.0006359	0.2589
112-51-6	Di-n-amyl disulfide	0.6707	0.0007803	0.2552
10496-15-8	Di-n-hexyl disulfide	0.7928	0.0009399	0.2525
