CASRN	Chemical	Vm
12022-95-6	Iron silicide	0.0000137591803278689
12022-99-0	Iron disilicide	0.0000236320675105485
12023-53-9	Iron phosphide (Fe3P)	0.0000294523738872404
12024-10-1	Gallium(II) sulfide	0.0000263699481865285
12024-11-2	Gallium(II) selenide	0.000029558648111332
12024-14-5	Gallium(II) telluride	0.0000362720588235294
12024-20-3	Gallium suboxide	0.0000325880503144654
12024-21-4	Gallium(III) oxide	0.0000312406666666667
12024-22-5	Gallium(III) sulfide	0.0000636867567567567
12024-24-7	Gallium(III) selenide	0.000076489837398374
12024-27-0	Gallium(III) telluride	0.0000937612208258528
12024-81-6	Gadolinium(II) selenide	0.0000291617283950617
12025-19-3	Sodium germanate	0.0000503383685800604
12025-32-0	Germanium(II) sulfide	0.0000255390243902439
12025-34-2	Germanium(IV) sulfide	0.0000454385382059801
12025-39-7	Germanium(II) telluride	0.0000325064935064935
12026-06-1	Thallium(I) hydroxide	0.0000297567204301075
12027-06-4	Ammonium iodide	0.0000576543357199682
12029-81-1	Holmium nitride	0.0000168808490566038
12029-98-0	Iodine pentoxide	0.0000670293172690763
12030-14-7	Indium(II) sulfide	0.0000282467307692308
12030-24-9	Indium(III) sulfide	0.0000732204494382022
12030-49-8	Iridium(IV) oxide	0.0000191637606837607
12030-51-2	Iridium(IV) sulfide	0.0000275641935483871
12030-85-2	Potassium niobate	0.0000387935344827586
12030-88-5	Potassium superoxide	0.0000329152777777778
12030-97-6	Potassium titanate	0.0000561490322580645
12031-30-0	Lanthanum monosulfide	0.000030475935828877
12031-49-1	Lanthanum sulfide	0.0000763277551020408
12031-63-9	Lithium niobate	0.0000343825581395349
12031-80-0	Lithium peroxide	0.0000198619047619048
12032-20-1	Lutetium oxide	0.0000422882040382572
12032-30-3	Magnesium metatitanate	0.000031212987012987
12032-31-4	Magnesium zirconate	0.0000386588652482269
12032-36-9	Magnesium sulfide	0.0000210335820895522
12032-52-9	Magnesium orthotitanate	0.0000454603399433428
12032-74-5	Manganese(II) titanate	0.0000331435164835165
12032-78-9	Manganese phosphide (MnP)	0.0000156488160291439
12032-82-5	Manganese antimonide (MnSb)	0.0000256084057971014
12032-88-1	Manganese(II) telluride	0.0000304233333333333
12032-97-2	Manganese antimonide (Mn2Sb)	0.0000330908571428571
12033-19-1	Molybdenum nitride (MoN)	0.0000119510869565217
12033-31-7	Molybdenum nitride (Mo2N)	0.0000217642706131078
12033-54-4	Plutonium nitride	0.0000179166666666667
12033-62-4	Tantalum nitride	0.0000142302919708029
12033-64-6	Terbium nitride	0.0000181080628272251
12033-65-7	Thorium nitride	0.000021210775862069
12033-72-6	Tungsten nitride (W2N)	0.0000214432584269663
12033-83-9	Uranium nitride [U2N3]	0.000045847610619469
12033-88-4	Nitrogen selenide	0.0000885404761904762
12033-89-5	Silicon nitride [Si3N4]	0.0000442536277602524
12034-09-2	Sodium niobate	0.0000360206593406593
12034-12-7	Sodium superoxide	0.000024995
12034-57-0	Niobium(II) oxide	0.0000149184931506849
12034-59-2	Niobium(IV) oxide	0.0000211703389830508
12034-66-1	Niobium phosphide	0.0000190584615384615
12034-77-4	Niobium(IV) selenide	0.0000398142857142857
12034-80-9	Niobium silicide	0.0000261538596491228
12034-83-2	Niobium(IV) telluride	0.0000458039473684211
12034-88-7	Lead(II) niobate	0.0000740909090909091
12034-89-8	Strontium niobate	0.0000722954990215264
12035-32-4	Neodymium(III) sulfide	0.0000704540293040293
12035-35-7	Neodymium(III) telluride	0.0000958971428571429
12035-39-1	Nickel(II) titanate	0.0000309116
12035-52-8	Nickel antimonide	0.0000206467963386728
12035-64-2	Nickel phosphide	0.0000202402455661664
12035-72-2	Nickel subsulfide	0.0000409216354344123
12035-79-9	Neptunium(IV) oxide	0.0000242342342342342
12035-82-4	Platinum(II) oxide	0.0000149704255319149
12035-83-5	Plutonium(II) oxide	0.0000185714285714286
12035-98-2	Vanadium(II) oxide	0.0000116257381035082
12036-02-1	Osmium(IV) oxide	0.0000194938596491228
12036-09-8	Rhenium(IV) oxide	0.0000191408771929825
12036-10-1	Ruthenium(IV) oxide	0.0000188751773049645
12036-14-5	Tantalum(IV) oxide	0.0000212947
12036-21-4	Vanadium(IV) oxide	0.0000191152339248675
12036-22-5	Tungsten(IV) oxide	0.0000199851851851852
12036-32-7	Praseodymium(III) oxide	0.0000477989855072464
12036-34-9	Plutonium(III) oxide	0.000051047619047619
12036-35-0	Rhodium(III) oxide	0.0000309523170731707
12036-41-8	Terbium(III) oxide	0.0000462514538558786
12036-44-1	Thulium(III) oxide	0.0000448681395348837
12037-15-9	Uranium(IV,V) oxide	0.0000978670535714286
12037-65-9	Titanium phosphide	0.0000193237745098039
12037-80-8	Zirconium phosphide	0.0000300337254901961
12037-82-0	Phosphorus heptasulfide	0.000159063926940639
12038-12-9	Praseodymium(III) telluride	0.0000949457142857143
12038-13-0	Praseodymium(III) sulfide	0.0000741196078431373
12038-20-9	Platinum(II) sulfide	0.0000221608780487805
12038-21-0	Platinum(IV) sulfide	0.0000330208917197452
