CASRN	Chemical	Tm	Tb	rho
13587-16-1	Lithium hydride-d	967.15		820
13587-35-4	Copper(II) tungstate			7500
13596-23-1	Octachlorotrisilane	206.15	489.15	
13597-20-1	Niobium(V) oxychloride			3720
13597-46-1	Zinc selenite	894.15		
13597-54-1	Zinc selenate pentahydrate			2590
13597-55-2	Strontium orthosilicate			4500
13597-64-3	Cesium molybdate	1229.45		
13597-65-4	Zinc orthosilicate	1782.15		4100
13597-73-4	Disiloxane	129.15	257.95	3.197
13597-87-0	2-Silyltrisilane	173.75	374.85	792
13597-99-4	Beryllium nitrate trihydrate	303.15		
13598-22-6	Beryllium sulfide			2360
13598-33-9	Strontium hydride	1323.15		3260
13598-36-2	Phosphonic acid	347.55	473.15	1650
13598-42-0	Iodosilane	216.15	318.75	
13598-56-6	Uranium(III) hydride			11100
13598-65-7	Ammonium perrhenate			3970
13600-89-0	Cobalt(III) ammonium tetranitrodiammine			1970
13601-13-3	Copper(II) ferrocyanide			2200
13601-19-9	Sodium ferrocyanide decahydrate			1460
13628-54-1	Gadolinium(III) sulfate			4100
13637-63-3	Chlorine pentafluoride	170.15	260.05	5.332
13637-65-5	Chlorogermane	221.15	301.15	1750
13637-68-8	Molybdenum(VI) dioxydichloride	449.15	523.15	3310
13637-71-3	Nickel(II) perchlorate hexahydrate	413.15		
13637-76-8	Lead(II) perchlorate trihydrate			2600
13637-83-7	Chloryl fluoride	158.15	267.15	3.534
13637-84-8	Sulfuryl chloride fluoride	148.45	280.25	1620
13637-87-1	Nitrogen chloride difluoride	78.15	206.15	3.575
13675-47-3	Copper(II) dichromate dihydrate			2286
13693-05-5	Platinum(VI) fluoride	334.45	342.25	4000
13693-06-6	Plutonium(VI) fluoride	324.75		5080
13693-07-7	Rhodium(VI) fluoride	343.15		3100
13693-08-8	Ruthenium(VI) fluoride	327.15		3540
13693-09-9	Xenon hexafluoride	322.63	348.75	3560
13701-67-2	Tetrachlorodiborane	180.55	339.65	
13701-86-5	Tungsten(VI) bromide	582.15		6900
13701-90-1	Thallium(III) bromide tetrahydrate			3650
13702-38-0	Bismuth arsenate			7140
13706-09-7	Phosphorothioc bromide difluoride	136.25	308.65	
13706-10-0	Phosphorothioc dibromide fluoride	197.95	398.45	
13708-63-9	Terbium(III) fluoride	1448.15	2553.15	
13708-80-0	Americium(III) fluoride	1666.15		9530
13709-31-4	Vanadyl trifluoride	573.15	753.15	2459
13709-35-8	Sulfur fluoride (FSSF)	140.15	288.15	4.174
13709-36-9	Xenon difluoride			4320
13709-38-1	Lanthanum fluoride	1766.15		5900
13709-42-7	Neodymium(III) fluoride	1650.15	2573.15	6510
13709-45-0	Promethium(III) fluoride	1611.15		
13709-46-1	Praseodymium(III) fluoride	1672.15		6300
13709-47-2	Scandium fluoride	1825.15		
13709-49-4	Yttrium fluoride	1428.15		4000
13709-52-9	Hafnium(IV) fluoride	1298.15		7100
13709-54-1	Sulfur fluoride oxide [SOF4]	173.55	224.65	1860
13709-56-3	Plutonium(IV) fluoride	1310.15		7100
13709-59-6	Thorium(IV) fluoride	1383.15	1953.15	6100
13709-61-0	Xenon tetrafluoride			4040
13709-94-9	Potassium metaborate	1220.15		2300
13718-22-4	Rubidium molybdate	1231.15		
13718-26-8	Sodium vanadate(V)	903.15		
13718-50-8	Barium iodide	984.15		5150
13718-70-2	Iron(II) molybdate	1388.15		5600
13721-39-6	Sodium orthovanadate	1133.15		
13746-66-2	Potassium ferricyanide			1890
13755-29-8	Sodium tetrafluoroborate	657.15		2470
13755-32-3	Barium tetracyanoplatinate(II) tetrahydrate			2076
13755-38-9	Sodium nitroferricyanide dihydrate			1720
13759-10-9	Silicon disulfide	1363.15		2040
13759-83-6	Samarium(III) nitrate hexahydrate	351.15		
13759-87-0	Samarium(III) bromide	913.15		
13759-90-5	Europium(III) iodide	1148.15		
13759-92-7	Europium(III) chloride hexahydrate	1123.15		4890
13760-02-6	Diiodosilane	272.15	423.15	
13760-41-3	Protactinium(V) chloride	579.15		3740
13760-78-6	Holmium fluoride	1416.15		7664
13760-79-7	Thulium(III) fluoride	1431.15		
13760-80-0	Ytterbium(III) fluoride	1430.15		8200
13760-81-1	Lutetium fluoride	1455.15	2473.15	8300
13760-83-3	Erbium fluoride	1419.15		7800
13762-12-4	Cobalt(II) bromide hexahydrate			2460
13762-14-6	Cobalt(II) molybdate	1313.15		4700
13762-26-0	Zirconium(II) chloride	995.15		3160
13762-51-1	Potassium borohydride			1110
13762-65-7	Hydrazine perchlorate hemihydrate	410.15		1940
13762-75-9	Lithium metaphosphate			1800
13763-23-0	Uranium(VI) chloride	450.15		3600
13763-67-2	Cesium chlorate	615.15		3570
13765-03-2	Lithium iodate	723.15		4502
13765-24-7	Samarium(III) fluoride	1579.15		
13765-25-8	Europium(III) fluoride	920.15		
13765-26-9	Gadolinium(III) fluoride	1505.15		
13765-74-7	Silver(I) molybdate	756.15		6180
13767-32-3	Zinc molybdate			4300
13767-34-5	Copper(II) molybdate	773.15		3400
13768-38-2	Osmium(VI) fluoride	306.55	320.65	4100
13768-86-0	Selenium trioxide	391.15		3440
13768-94-0	Dibromosilane	203.05	339.15	
13769-20-5	Europium(II) chloride	1004.15		4900
13769-36-3	Dibromogermane	258.15	362.15	2800
13769-75-0	Phosphoryl chloride difluoride	176.75	276.25	4.922
13769-76-1	Phosphoryl dichloride fluoride	193.05	326.05	
13770-56-4	Arsenic diiodide	410.15		
13770-96-2	Sodium aluminum hydride			1240
13773-69-8	Yttrium nitrate tetrahydrate			2680
13773-81-4	Krypton difluoride			3240
13774-85-1	Xenon oxytetrafluoride	226.95		3170
13775-06-9	Uranium(III) fluoride	1768.15		8900
13775-07-0	Uranium(V) fluoride	621.15		5810
13775-18-3	Uranium(III) iodide	1039.15		
13775-53-6	Sodium hexafluoroaluminate	1286.15		2970
13775-80-9	Hydrazine hydrobromide	357.15		2300
13776-58-4	Xenon trioxide			4550
13776-62-0	trans-Difluorodiazine	101.15	161.7	2.698
13776-74-4	Magnesium metasilicate			3190
13777-22-5	Hafnium(IV) bromide			4900
13777-23-6	Hafnium(IV) iodide			5600
13777-25-8	Zirconium(IV) bromide			3980
13779-10-7	Promethium(III) chloride	928.15		
13779-41-4	Difluorophosphoric acid			1583
13779-87-8	Zirconium(III) iodide	1000.15		
13779-92-5	Niobium(V) iodide	600.15		5320
13780-03-5	Calcium hydrogen sulfite			1060
13780-06-8	Calcium nitrite	665.15		2230
13780-48-8	Europium(II) bromide	956.15		
13780-57-9	Sulfur chloride pentafluoride	209.15	254.1	6.642
13782-01-9	Cobalt(III) potassium nitrite sesquihydrate			2600
13782-33-7	trans-Dichlorodiamminepalladium(II)			2500
13783-04-5	Titanium(II) bromide			4000
13783-07-8	Titanium(II) iodide			5020
13798-24-8	Terbium(III) chloride hexahydrate			4350
13812-43-6	cis-Difluorodiazine		167.4	2.698
13813-22-4	Lanthanum iodide	1051.15		5600
13813-23-5	Praseodymium(III) iodide	1011.15		5800
13813-24-6	Neodymium(III) iodide	1060.15		5850
13813-25-7	Samarium(III) iodide	1123.15		
13813-40-6	Terbium(III) iodide	1228.15		5200
13813-41-7	Holmium iodide	1267.15		5400
13813-42-8	Erbium iodide	1287.15		5500
13813-43-9	Thulium(III) iodide	1294.15		
13813-45-1	Lutetium iodide	1323.15		5600
13813-46-2	Plutonium(III) iodide	1050.15		6920
13813-47-3	Americium(III) iodide	1223.15		6900
13814-22-7	Zirconium(III) fluoride	1200.15		4260
13814-72-7	Gadolinium(II) iodide	1104.15		
13814-74-9	Molybdenum(V) oxytrichloride	583.15		
13814-75-0	Molybdenum(VI) oxytetrachloride	378.15	432.15	
13814-76-1	Rhenium(VI) oxytetrachloride	302.45	496.15	
13816-38-1	Antimony(III) iodide sulfide	673.15		
13817-37-3	Cobalt(II) fluoride tetrahydrate			2220
13818-73-0	Promethium(III) iodide	968.15		
13818-75-2	Gadolinium(III) bromide	1058.15		4560
13818-89-8	Digermane	164.15	302.15	
13819-84-6	Molybdenum(V) fluoride	318.82	486.75	3500
13820-41-2	Ammonium tetrachloroplatinate(II)			2936
13820-62-7	Cobalt(II) aluminate			4370
13824-36-7	Difluorosilane	151.15	195.35	2.783
13824-57-2	Molybdenum(VI) dioxydifluoride			3500
13824-74-3	Diphosphorus tetrafluoride	186.65	266.95	5.638
13825-25-7	Rubidium nitrite	695.15		
13825-74-6	Titanium(IV) oxysulfate monohydrate			2710
13825-76-8	Holmium bromide	1192.15	1743.15	
13826-63-6	Thallium(I) nitrite	459.15		5700
13826-83-0	Ammonium tetrafluoroborate			1871
13842-75-6	Niobium(IV) bromide			4720
13842-76-7	Tantalum(IV) bromide	665.15		5770
13842-80-3	Vanadium(II) fluoride	1763.15		
13842-83-6	Plutonium(III) fluoride	1669.15		9330
13842-88-1	Niobium(IV) fluoride			4010
13842-93-8	Technetium(VI) fluoride	310.55	328.45	3000
13842-94-9	Zirconium(II) fluoride	1175.15		
13845-17-5	Barium dithionate dihydrate			4540
13847-57-9	Lead(II) chloride fluoride			7050
13847-65-9	Trifluoramine oxide	112.15	185.65	3.556
13847-66-0	Thallium(I) azide	607.15		
13862-78-7	Ammonium tetrathiotungstate			2710
13863-41-7	Bromine chloride	207.15		
13863-59-7	Bromine fluoride			4.043
13863-88-2	Silver azide			4900
13864-01-2	Lanthanum hydride			5360
13870-13-8	Hafnium(IV) silicate	3031.15		7000
13870-21-8	Niobium(IV) iodide	776.15		5600
13870-24-1	Iron(II) tungstate			7510
13871-27-7	Sodium tetrafluoroberyllate	848.15		2470
13874-75-4	Samarium(II) chloride	1128.15		3690
13874-77-6	Ytterbium(II) chloride	994.15		5270
13875-06-4	Xenon dioxydifluoride			4100
13896-65-6	Ruthenium(III) iodide			6000
13918-22-4	Manganese(II) tungstate			7200
13939-06-5	Molybdenum carbonyl	421.15		1960
13940-63-1	Germanium(II) fluoride	383.15		3640
13940-89-1	Iron(II) fluoride tetrahydrate			2200
13963-57-0	Aluminum 2,4-pentanedioate	467.75	588.15	1270
13963-58-1	Potassium hexacyanocobaltate			1910
13965-73-6	Tetrafluorodiborane	217.15	239.15	3.99
13966-94-4	Indium(I) iodide	637.55	985.15	5320
13967-25-4	Mercury(I) fluoride			8730
13967-50-5	Potassium cyanoaurite			3450
13972-68-4	Cadmium molybdate			5400
13973-87-0	Bromine azide	318.15		
13981-95-8	Tantalum hydride			15100
13983-20-5	Hydrogen-d1	16.6	22.13	0.123
13986-18-0	Zinc fluoride tetrahydrate			2300
13986-26-0	Zirconium(IV) iodide	773.15		4850
14013-15-1	Manganese(II) molybdate			4050
14014-18-7	Phosphoryl bromide difluoride	188.35	304.75	
14014-19-8	Phosphoryl dibromide fluoride	155.95	383.25	
14014-88-1	Ruthenium(III) bromide			5300
14024-17-0	Iron(II) 2,4-pentanedioate	443.15		
14024-18-1	Iron(III) 2,4-pentanedioate	452.15		5240
14024-48-7	Cobalt(II) 2,4-pentanedioate	440.15		
14038-43-8	Iron(III) ferrocyanide			1800
14040-11-0	Tungsten carbonyl			2650
14049-36-6	Chlorotrifluorosilane	135.15	203.15	4.927
14055-74-4	Molybdenum(II) iodide	973.15		5280
14055-75-5	Molybdenum(III) iodide	1200.15		
14059-33-7	Bismuth vanadate			6250
14075-53-7	Potassium fluoroborate	843.15		2505
14077-39-5	Europium(II) fluoride	1653.15		6500
141-53-7	Sodium formate	530.45		1920
14104-45-1	Hydrogen iodide-d	221.22	236.95	
14168-73-1	Magnesium sulfate monohydrate			2570
14188-40-0	Chlorotrifluorogermane	206.95	252.85	6.747
142-72-3	Magnesium acetate			1500
14215-29-3	Cadmium azide			3240
14215-30-6	Copper(II) azide			2600
14220-21-4	Rhenium pentacarbonyl bromide	363.15		
14249-98-0	Tungsten(V) oxytrichloride			4600
142617-56-9	Bismuth hexafluoro-2,4-pentanedioate	369.15		
14280-53-6	Indium(I) bromide	558.15	929.15	4960
14284-06-1	Copper(II) ethylacetoacetate	465.15		
14284-93-6	Ruthenium(III) 2,4-pentanedioate	503.15		
14285-68-8	Rhenium carbonyl			2870
143-33-9	Sodium cyanide	835.15		1600
14307-33-6	Calcium dichromate trihydrate			2370
14312-00-6	Cadmium chromate			4500
14324-82-4	Copper(II) 1,1,1-trifluoro-2,4-pentanedioate	470.15		
14325-78-1	Promethium(III) bromide	898.15		
14335-40-1	Phosphorus(III) chloride difluoride	108.35	225.85	4.268
14355-29-4	Tetrabromodiborane	274.15		
144-55-8	Sodium hydrogen carbonate	800.15		2200
14402-75-6	Potassium tetracyanocadmate	723.15		1850
14405-43-7	Gallium(III) 2,4-pentanedioate	466.15		1420
14446-13-0	Strontium permanganate trihydrate			2750
14447-89-3	Tungsten(VI) dioxydiiodide			6390
14452-39-2	Aluminum perchlorate nonahydrate			2000
14456-47-4	Terbium(III) bromide	1103.15	1763.15	
14456-48-5	Dysprosium(III) bromide	1152.15		
14456-51-0	Thulium(III) bromide	1227.15		
14456-53-2	Lutetium bromide	1298.15		
14457-83-1	Magnesium carbonate trihydrate	438.15		1800
14457-84-2	Aluminum oxyhydroxide			3380
14457-87-5	Cerium(III) bromide	1005.15	1730.15	
14459-59-7	Molybdenum(VI) oxytetrafluoride	370.35	459.15	
14459-95-1	Potassium ferrocyanide trihydrate			1850
14464-46-1	Silicon dioxide (cristobalite)	1995.15	3223.15	2334
14474-33-0	Scandium iodide	1226.15		
14475-63-9	Zirconium(IV) hydroxide			3250
14486-19-2	Cadmium tetrafluoroborate			1600
1449-65-6	Methylgermane	115.15	250.15	3.706
14518-81-1	Phosphoryl bromide chloride fluoride		352.15	
14519-18-7	Strontium bromate monohydrate			3773
14521-14-3	Octafluorotrisilane	271.95	315.15	
14521-15-4	Decafluorotetrasilane	341.15	358.25	
14521-18-7	Ruthenium(V) fluoride	374.15	500.15	3900
14523-22-9	Rhodium carbonyl chloride	397.15		
14553-44-7	Thorium orthosilicate			6700
14590-19-3	Cobalt(II) selenate pentahydrate			2510
14639-94-2	Ammonium hexafluorogallate			2100
14639-97-5	Ammonium tetrachlorozincate			1879
14639-98-6	Ammonium pentachlorozincate			1810
14644-61-2	Zirconium(IV) sulfate			3220
14674-72-7	Calcium chlorite			2710
14689-45-3	Cadmium 2,4-pentanedioate	508.15		
14691-44-2	Trigermane	167.55	383.65	1150
14691-47-5	Tetragermane		450.05	
14693-61-9	Hexasilane	228.45	466.75	847
14693-65-3	Heptasilane	243.05	499.95	859
14693-81-3	Tantalum(V) iodide	769.15	816.15	5800
14693-82-4	Indium(III) phosphate			4900
1470-61-7	Silver(I) diethyldithiocarbamate	446.15		
14720-21-9	Gold(III) fluoride			6750
14721-21-2	Copper(II) chlorate hexahydrate	338.15		
14779-70-5	Tribromogermane	248.15		
14781-45-4	Copper(II) hexafluoro-2,4-pentanedioate	371.15		
14808-60-7	Silicon dioxide (α-quartz)		3223.15	2648
14836-60-3	Mercury(I) nitrate dihydrate			4800
14868-53-2	Pentasilane	200.35	426.35	827
14868-54-3	2-Silyltetrasilane	163.25	419.35	820
14868-55-4	2-Silylpentasilane	194.75	458.35	840
14871-56-8	Barium strontium tungstate	1673.15		
14871-79-5	Barium hypophosphite monohydrate			2900
14884-42-5	Chromium(V) fluoride	307.15	390.15	
14885-60-0	Hydrogen-t1	18.45	23.55	
14885-61-1	Hydrogen-d1,t1	19.65	34.25	
14890-41-6	Vanadium(II) bromide			4580
14933-38-1	Americium(III) bromide			6850
14940-41-1	Iron(II) phosphate octahydrate			2580
14940-65-9	Water-t2	277.63	374.66	1213.825
1495-50-7	Cyanogen fluoride	191.15	227.15	1.84
14965-52-7	Trichlorofluorosilane		285.4	6.272
14977-61-8	Chromium(VI) dichloride dioxide	176.65	390.15	1910
14984-81-7	Selenium dioxydifluoride	173.65	264.75	6.089
14986-21-1	Hexachlorodisiloxane	245.15	410.15	
15060-62-5	Nickel(II) selenate hexahydrate			2314
15098-87-0	Aluminum fluoride trihydrate			1914
151-50-8	Potassium cyanide	895.15		1550
15120-50-0	Pentamethylstibine	254.15	400.15	
15123-80-5	Aluminum molybdate	1223.15		
15123-90-7	Strontium thiosulfate pentahydrate			2170
15168-20-4	Copper(II) selenite dihydrate			3310
15179-32-5	Sulfur fluoride hypofluorite	187.15	238.05	6.624
15192-14-0	Xenon difluoride trioxide	219.05		
15192-18-4	Ytterbium(II) fluoride	1680.15		
15192-26-4	Tellurium tetrafluoride	402.15		
15192-42-4	Rhenium(IV) fluoride			7490
15195-33-2	Niobium(V) dioxyfluoride			4000
15195-53-6	Niobium(III) fluoride			4200
15230-48-5	Dichlorogermane	205.15	342.65	1900
15238-00-3	Cobalt(II) iodide	793.15		5600
15244-35-6	Cadmium sulfate octahydrate			3080
15280-53-2	Gadolinium(III) acetate tetrahydrate			1610
15280-57-6	Erbium acetate tetrahydrate			2110
15280-58-7	Ytterbium(III) acetate tetrahydrate			2090
15282-88-9	Lead(II) 2,4-pentanedioate	416.15		
1529-48-2	Dichlorodimethylgermane	251.15	397.15	1490
15293-74-0	Lithium metaborate dihydrate			1800
15321-51-4	Iron nonacarbonyl			2850
15364-10-0	Xenon fluoride undecafluoroantimonate	336.15		3690
15364-94-0	Manganese(II) perchlorate hexahydrate			2100
15385-57-6	Mercury(I) iodide	563.15		7700
15385-58-7	Mercury(I) bromide			7307
15468-32-3	Silicon dioxide (tridymite)		3223.15	2265
15469-38-2	Iron(III) fluoride trihydrate			2300
15474-63-2	Dysprosium(III) iodide	1251.15		
15492-38-3	Rhodium(III) iodide			6400
15513-84-5	Vanadium(II) iodide			5440
15513-85-6	Zirconium(II) iodide	1100.15		
15513-94-7	Vanadium(III) iodide			5210
15520-84-0	Cobalt(III) nitrate			3000
15552-14-4	Barium calcium tungstate	1693.15		
155698-29-6	Phosphorothioc dichloride fluoride	177.15	337.85	
15572-25-5	Thallium(I) selenide	613.15		
15578-26-4	Tin(II) pyrophosphate			4009
15587-39-0	Pentagermane		507.15	
15587-72-1	Rubidium hydrogen sulfate	481.15		2900
15593-61-0	Magnesium selenite hexahydrate			2090
15597-39-4	Phosphorus(III) dibromide fluoride	158.15	351.65	
15597-40-7	Phosphorus(III) bromide difluoride	139.35	257.05	6.085
15597-63-4	Phosphorus(III) dichloride fluoride	129.15	287	4.941
15597-88-3	Chromium(IV) chloride			7.922
156-62-7	Calcium cyanamide	1613.15		2290
15607-89-3	Sulfur bromide pentafluoride	194.15	276.25	8.459
15608-29-4	Rhodium(III) bromide			5560
15635-87-7	Iridium(III) 2,4-pentanedioate	543.15		
15653-01-7	Cerium(III) 2,4-pentanedioate trihydrate	423.15		
15696-40-9	Osmium carbonyl	497.15		3480
15750-45-5	Magnesium nitrate dihydrate			1450
15752-46-2	Plutonium(III) bromide	954.15		6750
15829-53-5	Mercury(I) oxide			9800
15845-52-0	Lead(II) hydrogen phosphate			5660
15851-44-2	Cadmium tellurite	968.15		
15861-05-9	Fluoramine			1.431
15875-18-0	Plumbane		260.15	
1590-87-0	Disilane	143.75	258.35	2.543
1592-23-0	Calcium stearate	453.15		
15942-63-9	Diarsine		373.15	
15947-41-8	Americium(IV) fluoride			7230
15947-57-6	2,2-Disilyltrisilane	215.35	407.45	815
1600-27-7	Mercury(II) acetate			3280
1603-84-5	Carbon oxyselenide	148.75	251.45	4.372
16037-50-6	Potassium chlorochromate			2500
16056-61-4	Iodosyl pentafluoride	277.65		
16122-03-5	Nickel(II) ammonium chloride hexahydrate			1650
1631-78-3	Methylstannane		274.55	5.59
1633-05-2	Strontium carbonate	1767.15		3785
16399-77-2	Iron(II) chloride dihydrate			2390
16406-48-7	Ruthenium pentacarbonyl	251.15		
16406-49-8	Osmium pentacarbonyl	258.15		
16469-16-2	Praseodymium(III) hydroxide			3700
16544-92-6	Cobalt(II) chloride dihydrate			2477
16671-27-5	Chromium(III) fluoride trihydrate			2200
16674-78-5	Magnesium acetate tetrahydrate			1450
16689-88-6	Thorium hydride			9500
16712-20-2	Lithium chloride monohydrate			1780
16721-80-5	Sodium hydrogen sulfide	623.15		1790
16731-55-8	Potassium metabisulfite			2300
16812-54-7	Nickel(II) sulfide	1249.15		5500
16853-85-3	Lithium aluminum hydride			917
16860-99-4	Sulfur fluoride [SSF2]	108.55	262.55	4.174
16871-90-2	Potassium hexafluorosilicate			2270
16872-11-0	Tetrafluoroboric acid			1800
16893-85-9	Sodium hexafluorosilicate	1120.15		2700
16903-35-8	Chloroauric(III) acid tetrahydrate			3900
16919-19-0	Ammonium hexafluorosilicate			2011
16919-31-6	Ammonium hexafluorozirconate(IV)			1154
16919-58-7	Ammonium hexachloroplatinate(IV)			3065
16921-30-5	Potassium hexachloroplatinate			3500
16921-96-3	Iodine heptafluoride			10.62
16923-58-3	Sodium hexachloroplatinate(IV) hexahydrate			2500
16923-95-8	Potassium hexafluorozirconate(IV)			3480
16924-00-8	Potassium fluorotantalate	1003.15		5240
16925-25-0	Sodium hexafluoroantimonate			3375
16925-39-6	Calcium hexafluorosilicate dihydrate			2250
16940-66-2	Sodium borohydride			1070
16940-92-4	Ammonium hexachloroiridate(IV)			2856
16941-11-0	Ammonium hexafluorophosphate			2180
16941-12-1	Hexachloroplatinic acid	333.15		
16949-15-8	Lithium borohydride	541.15		660
16962-07-5	Aluminum borohydride	208.65	317.65	
16962-47-3	Ammonium hexafluorogermanate	653.15		2564
16962-48-4	Rubidium hexafluorogermanate	969.15		
17014-71-0	Potassium peroxide	818.15		
17026-29-8	Rhenium(VI) oxytetrafluoride	381.15	444.85	
17029-21-9	Rhenium(VII) fluoride	321.45	346.85	4320
17083-68-0	Bromoauric(III) acid pentahydrate	300.15		
17125-80-3	Barium hexafluorosilicate			4290
17194-00-2	Barium hydroxide	681.15		
17242-52-3	Potassium amide	608.15		
17375-41-6	Iron(II) sulfate monohydrate			3000
1762-95-4	Ammonium thiocyanate	422.15		1300
17702-41-9	Decaborane(14)	371.93	486.15	940
17786-31-1	Cobalt dodecacarbonyl			2090
1779-25-5	Chlorodiisobutylaluminum	233.15		950
17829-86-6	Samarium(III) acetate trihydrate			1940
18088-11-4	Rubidium oxide	778.15		4000
18282-10-5	Tin(IV) oxide	1903.15		6850
18283-93-7	Tetraborane(10)	153.15	291.15	2.18
18288-22-7	Bismuth hydride	206.15	290.15	8.665
18356-71-3	Dichlorodifluorosilane	229.15	241.15	5.599
18433-84-6	Pentaborane(11)	151.15	338.15	
18480-07-4	Strontium hydroxide	808.15		3625
18624-44-7	Iron(II) hydroxide			3400
1863-63-4	Ammonium benzoate	471.15		1260
18810-58-7	Barium azide			2936
18820-29-6	Manganese(II) sulfide (α form)	1803.15		4000
18855-94-2	Hafnium(IV) sulfide			6030
18868-43-4	Molybdenum(IV) oxide			6470
18909-68-7	Rubidium fluoroborate			2820
18909-69-8	Cesium fluoroborate			3200
18933-05-6	Manganese(II) hydroxide			3260
19073-56-4	Rubidium cyanide			2300
19086-20-5	Magnesium sulfite trihydrate			2120
19139-47-0	Cerium(II) iodide	1081.15		
19168-23-1	Ammonium hexachloropalladate(IV)			2418
19197-73-0	Potassium metaarsenate	933.15		
19287-45-7	Diborane	108.3	180.66	1.131
19357-86-9	Ytterbium(II) iodide	1045.15		
19423-81-5	Gadolinium(III) chloride hexahydrate			2424
19423-87-1	Ytterbium(III) chloride hexahydrate			2570
19465-30-6	Nonaborane(15)	275.85		
19584-30-6	Rhodium dodecacarbonyl			2520
19597-69-4	Lithium azide			1830
19598-90-4	Gadolinium(III) nitrate hexahydrate			2330
19624-22-7	Pentaborane(9)	226.41	333.25	600
19648-83-0	Cobalt(II) hexafluoro-2,4-pentanedioate	470.15		
19648-88-5	Lead(II) hexafluoro-2,4-pentanedioate	428.15	483.15	
19783-14-3	Lead(II) hydroxide			5690
20193-58-2	Molybdenum(III) fluoride			4640
20213-56-3	Tungsten(V) oxytribromide			5900
20281-00-9	Cesium oxide	768.15		4650
20328-94-3	Xenon pentafluoride hexafluoroarsenate	403.65		3510
20344-49-4	Iron(III) hydroxide oxide			4260
20398-06-5	Thallium(I) ethanolate	270.15		3490
20405-64-5	Copper(I) selenide	1386.15		6840
20427-56-9	Ruthenium(VIII) oxide	298.55	313.15	3290
20427-58-1	Zinc hydroxide			3050
20427-59-2	Copper(II) hydroxide			3370
20548-54-3	Calcium sulfide	2797.15		2590
20601-83-6	Mercury(II) selenide			8210
20610-49-5	Radium fluoride			6700
20644-15-9	Sodium hexafluorophosphate monohydrate			2369
20661-21-6	Indium(III) hydroxide			4400
20665-52-5	Gallium(III) oxide hydroxide			5230
20667-12-3	Silver(I) oxide	1100.15		7200
20694-39-7	Manganese(II) nitrate tetrahydrate			2130
20762-60-1	Potassium azide			2040
20770-09-6	Tin(IV) selenide	923.15		5000
20816-12-0	Osmium(VIII) oxide	313.75	404.35	5100
20859-73-8	Aluminum phosphide	2823.15		2400
20910-28-5	Uranyl sulfate trihydrate			3280
21041-93-0	Cobalt(II) hydroxide			3600
21041-95-2	Cadmium hydroxide			4790
21109-95-5	Barium sulfide	2500.15		4300
21159-32-0	Cesium cyanide	623.15		3340
21264-43-7	Indium(II) bromide			4220
21351-79-1	Cesium hydroxide	615.45		3680
21548-73-2	Silver(I) sulfide	1109.15		7230
21645-51-2	Aluminum hydroxide			2420
21651-19-4	Tin(II) oxide	1250.15		6450
21679-31-2	Chromium(III) 2,4-pentanedioate	481.15	618.15	1340
21679-46-9	Cobalt(III) 2,4-pentanedioate	486.15		
21907-50-6	Cesium trifluoroacetate	388.15		
21908-53-2	Mercury(II) oxide			11140
22015-35-6	Europium(II) iodide	853.15		
22205-45-4	Copper(I) sulfide	1402.15		5600
22205-57-8	Cesium amide			3700
2223-93-0	Cadmium stearate	407.15		1210
22306-37-2	Bismuth acetate	523.15		
22326-55-2	Barium hydroxide monohydrate			3743
22398-80-7	Indium phosphide	1335.15		4810
22527-13-5	Xenon fluoride hexafluororuthenate	383.15		3780
22537-19-5	Lawrencium	1900.15		
22585-64-4	Bromyl fluoride	264.15		
22750-54-5	Cadmium chlorate dihydrate			2280
22750-57-8	Cesium azide	599.15		3500
22756-36-1	Rubidium azide	590.15		2790
22831-39-6	Magnesium silicide	1375.15		1990
22831-42-1	Aluminum arsenide	2013.15		3760
22852-11-5	Thulium(II) chloride	991.15		
22852-67-1	Mercury(II) nitrate dihydrate			4780
22986-54-5	Actinium chloride			4810
23276-90-6	Chromium(VI) tetrafluoride oxide	328.15		
23303-71-1	Lithium bromide monohydrate			3460
23370-59-4	Iridium(III) fluoride			8000
23377-53-9	Rhenium(VII) oxypentafluoride	316.95	346.15	
23414-72-4	Zinc permanganate hexahydrate			2450
23611-30-5	Rubidium peroxide	843.15		3800
23777-80-2	Hexaborane(10)	210.85		670
2404-52-6	Phosphorothioc trifluoride	124.35	220.9	4.906
2406-52-2	Stannane	127.15	221.35	5.017
2408-36-8	Lithium cyanide	433.15		
24094-93-7	Chromium nitride (CrN)			5900
24304-00-5	Aluminum nitride	3273.15		3255
24415-00-7	Germanium(II) bromide	395.15		
24422-20-6	Trichlorofluorogermane	223.35	310.65	
24422-21-7	Dichlorodifluorogermane	221.35	270.35	7.419
2452-01-9	Zinc laurate	401.15		
24567-53-1	Phosphonium chloride			2.88
24597-12-4	Gallium(II) chloride	445.55	808.15	2740
24613-38-5	Cobalt(II) chromate			4000
24621-17-8	Zirconium(II) bromide	1100.15		
24621-18-9	Zirconium(III) bromide	1000.15		
24621-21-4	Niobium nitride	2323.15		8470
24646-85-3	Vanadium nitride	2323.15		6130
2466-09-3	Diphosphoric acid	344.65		
24719-19-5	Cobalt(II) arsenate octahydrate			3000
25094-02-4	Calcium chloride tetrahydrate			1830
25152-52-7	Aluminum antimonide	1338.15		4260
2524-02-9	Phosphorothioc chloride difluoride	117.95	279.45	5.579
25324-56-5	Tin monophosphide	813.15		
