CASRN	Chemical	Tm	Tb	rho
10137-74-3	Calcium chlorate	613.15		
10138-41-7	Erbium chloride	1049.15		4100
10138-52-0	Gadolinium(III) chloride	875.15		4520
10138-62-2	Holmium chloride	993.15	1773.15	3700
10139-47-6	Zinc iodide	723.15	898.15	4740
10141-05-6	Cobalt(II) nitrate			2490
10143-38-1	Dysprosium(III) nitrate pentahydrate	361.75		
10170-69-1	Manganese carbonyl	427.15		1750
10179-73-4	Iron(II) orthosilicate			4300
10190-55-3	Lead(II) molybdate	1333.15		6700
10192-29-7	Ammonium chlorate			1800
10192-30-0	Ammonium hydrogen sulfite			2030
10196-18-6	Zinc nitrate hexahydrate			2067
102-54-5	Ferrocene	445.65	522.15	
10210-64-7	Beryllium 2,4-pentanedioate	381.15	543.15	1168
10210-68-1	Cobalt carbonyl			1780
10213-09-9	Vanadyl dichloride			2880
10213-10-2	Sodium tungstate dihydrate			3250
10214-39-8	Lead(II) borate monohydrate			5600
10233-88-2	Sodium gold thiosulfate dihydrate			3090
10241-03-9	Zirconium(III) chloride	900.15		3050
10241-05-1	Molybdenum(V) chloride	467.15	541.15	2930
10294-26-5	Silver(I) sulfate	933.15		5450
10294-27-6	Gold(I) bromide			8200
10294-29-8	Gold(I) chloride			7600
10294-31-2	Gold(I) iodide			8250
10294-33-4	Boron tribromide	227.15	364.45	2600
10294-34-5	Boron trichloride	165.85	285.65	4.789
10294-38-9	Barium chlorate monohydrate			3179
10294-39-0	Barium perchlorate trihydrate			2740
10294-40-3	Barium chromate(VI)	1653.15		4500
10294-42-5	Cerium(IV) sulfate tetrahydrate			3910
10294-44-7	Mercury(I) chlorate			6409
10294-46-9	Copper(II) perchlorate hexahydrate	355.15		2220
10294-47-0	Lead(II) chlorate			3900
10294-48-1	Dichlorine heptoxide	181.65	355.15	1900
10294-50-5	Cobalt(II) phosphate octahydrate			2770
10294-54-9	Cesium sulfate	1278.15		4240
10294-60-7	Ammonium hydrogen selenate			2162
10294-62-9	Lanthanum sulfate nonahydrate			2820
10294-70-9	Tin(II) iodide	593.15	987.15	5280
10325-94-7	Cadmium nitrate	633.15		3600
10326-26-8	Barium bromate monohydrate			3990
10326-27-9	Barium chloride dihydrate			3097
10326-28-0	Cadmium perchlorate hexahydrate			2370
10340-06-4	Carbon sulfide telluride	219.15		
10361-37-2	Barium chloride	1234.15	1833.15	3900
10361-43-0	Bismuth hydroxide			4962
10361-46-3	Bismuth oxynitrate			4930
10361-79-2	Praseodymium(III) chloride	1059.15		4000
10361-82-7	Samarium(III) chloride	955.15		4460
10361-84-9	Scandium chloride	1240.15		2400
10361-91-8	Ytterbium(III) chloride	1127.15		
10361-92-9	Yttrium chloride	994.15	1755.15	2610
10361-95-2	Zinc chlorate			2150
10377-48-7	Lithium sulfate	1133.15		2210
10377-51-2	Lithium iodide	742.15	1444.15	4060
10377-52-3	Lithium phosphate	1478.15		2460
10377-58-9	Magnesium iodide	907.15		4430
10377-60-3	Magnesium nitrate			2300
10377-62-5	Magnesium permanganate hexahydrate			2180
10377-66-9	Manganese(II) nitrate hexahydrate			1800
10377-93-2	Manganese(II) nitrate			2200
10381-37-0	Thorium(IV) sulfate nonahydrate			2800
10405-27-3	Difluoramine	157.15	250.15	2.167
10476-81-0	Strontium bromide	930.15		4216
10476-85-4	Strontium chloride	1147.15	1523.15	3052
10476-86-5	Strontium iodide	811.15		4550
10534-89-1	Cobalt(III) hexammine chloride			1710
10544-72-6	Nitrogen tetroxide	263.85	294.3	1452
10544-73-7	Nitrogen trioxide	172.05		1420
10545-99-0	Sulfur dichloride	151.15	332.75	1620
10553-31-8	Barium bromide	1130.15	2108.15	4781
10567-69-8	Barium iodate			5230
10580-52-6	Vanadium(II) chloride	1623.15		3230
10588-01-9	Sodium dichromate	630.15		
10599-90-3	Chloramine	207.15		
1066-33-7	Ammonium hydrogen carbonate			1586
1068-22-0	Ammonium O,O-diethyldithiophosphate	438.15		
1070-75-3	Lithium carbide			1650
1072-35-1	Lead(II) stearate	373.15		1400
107782-11-6	Fluorine tetroxide	82.15		
109-63-7	Boron trifluoride etherate	212.75	398.65	1125.25
11071-61-7	Octadecaborane(22)	453.15		
1111-67-7	Copper(I) thiocyanate	1357.15		2850
11120-25-5	Ammonium tungstate(VI)			2300
11121-16-7	Aluminum borate	1323.15		
11126-81-1	Aluminum bromate nonahydrate	335.15		
1113-38-8	Ammonium oxalate			1500
1184-65-2	Trichlorogermane	202.15	348.45	1930
12002-28-7	Tetracarbonyldihydroiron	203.15		
12002-61-8	Actinium oxide	2250.15		9190
12002-99-2	Silver(I) telluride	1228.15		8400
12003-63-3	Potassium aluminate trihydrate			2130
12003-78-0	Nickel aluminide (NiAl)	1911.15		
12004-04-5	Barium aluminate	2100.15		
12004-06-7	Beryllium aluminate			3650
12004-29-4	Aluminum phosphate trihydroxide			2700
12004-39-6	Aluminum titanate	2133.15		
12004-50-1	Aluminum zirconium	1918.15		
12004-76-1	Tantalum aluminide	1673.15		7020
12005-21-9	Yttrium aluminum oxide			4500
12005-67-3	Americium(IV) oxide			11680
12005-69-5	Boron arsenide			5220
12005-75-3	Copper arsenide	1100.15		
12006-15-4	Cadmium arsenide	994.15		6250
12006-40-5	Zinc arsenide	1288.15		5528
12006-77-8	Cobalt boride (CoB)	1733.15		7250
12006-79-0	Chromium boride (CrB)	2373.15		6100
12006-80-3	Chromium boride (Cr2B)	2148.15		
12006-84-7	Iron boride (FeB)	1931.15		7000
12006-86-9	Iron boride (Fe2B)	1662.15		7300
12006-99-4	Molybdenum boride (Mo2B)	2273.15		9200
12007-00-0	Nickel boride (NiB)	1308.15		7130
12007-01-1	Nickel boride (Ni2B)	1398.15		7900
12007-02-2	Nickel boride (Ni3B)	1439.15		8170
12007-07-7	Tantalum boride	2313.15		14200
12007-09-9	Tungsten boride	3073.15		15200
12007-10-2	Tungsten boride (W2B)	3013.15		16000
12007-16-8	Chromium boride [CrB2]	2473.15		5220
12007-23-7	Hafnium boride	3373.15		10500
12007-25-9	Magnesium diboride			2570
12007-29-3	Niobium boride [NbB2]	3323.15		6970
12007-33-9	Boron sulfide	836.15		1700
12007-34-0	Scandium boride	2523.15		3170
12007-35-1	Tantalum boride [TaB2]	3373.15		11200
12007-36-2	Uranium boride [UB2]	2703.15		12700
12007-37-3	Vanadium boride [VB2]	2723.15		
12007-38-4	Chromium boride [Cr5B3]	2173.15		6100
12007-60-2	Lithium tetraborate	1190.15		
12007-81-7	Silicon tetraboride			2400
12007-84-0	Uranium boride [UB4]	2803.15		9320
12007-97-5	Molybdenum boride [Mo2B5]	2483.15		7200
12007-98-6	Tungsten boride [W2B5]	2643.15		11000
12007-99-7	Calcium boride	2508.15		2490
12008-02-5	Cerium boride	2823.15		4870
12008-05-8	Europium boride	2873.15		4910
12008-06-9	Gadolinium boride	2783.15		5310
12008-19-4	Hexaborane(12)	190.85	358.15	
12008-21-8	Lanthanum boride	2988.15		4760
12008-23-0	Neodymium boride	2883.15		4930
12008-27-4	Praseodymium boride	2883.15		4840
12008-29-6	Boron silicide	2253.15		
12008-30-9	Samarium boride	2853.15		5070
12008-32-1	Yttrium boride	2873.15		3720
12009-14-2	Barium niobate	1728.15		5440
12009-18-6	Barium stannate			7240
12009-21-1	Barium zirconate	2773.15		5520
12011-67-5	Iron carbide	1500.15		7694
12011-97-1	Molybdenum carbide (MoC)	2850.15		
12011-99-3	Niobium carbide (Nb2C)	3353.15		7800
12012-16-7	Thorium carbide	2773.15		10600
12012-17-8	Vanadium carbide (V2C)	2440.15		
12012-32-7	Cerium carbide	2523.15		5470
12012-35-0	Chromium carbide	2168.15		6680
12013-10-4	Cobalt disulfide			4300
12013-21-7	Magnesium molybdate	1333.15		2200
12013-47-7	Calcium zirconate	2823.15		
12013-55-7	Calcium silicide (CaSi)	1597.15		2390
12013-56-8	Calcium silicide [CaSi2]	1313.15		2500
12013-57-9	Calcium telluride			4870
12013-69-3	Calcium plumbate			5710
12013-82-0	Calcium nitride	1468.15		2670
12014-14-1	Cadmium titanate			6500
12014-28-7	Cadmium phosphide	973.15		5960
12014-29-8	Cadmium antimonide	729.15		6920
12014-82-3	Cerium(II) sulfide	2718.15		5900
12014-85-6	Cerium silicide	1693.15		5310
