CASRN	RI	RIT
2987-53-3	1.6239	293.15
29882-57-3	1.4069	293.15
299-45-6	1.5685	310.15
299-84-3	1.5335	308.15
29943-42-8	1.452	293.15
2996-92-1	1.4734	293.15
300-57-2	1.5131	293.15
300-62-9	1.518	299.15
300-87-8	1.4421	293.15
3000-79-1	1.4459	293.15
3001-72-7	1.519	293.15
3002-24-2	1.4516	293.15
3004-93-1	1.4281	298.15
3008-39-7	1.4689	295.15
301-00-8	1.4709	293.15
3010-02-4	1.426	293.15
3016-19-1	1.5446	293.15
3017-68-3	1.4631	292.15
3017-71-8	1.4602	289.15
3017-95-6	1.4795	293.15
3017-96-7	1.4745	293.15
3018-12-0	1.4391	298.15
3019-20-3	1.5464	293.15
3027-21-2	1.4795	293.15
30273-11-1	1.536	302.15
3030-47-5	1.4413	298.15
3031-66-1	1.4691	293.15
3031-73-0	1.3641	288.15
3031-74-1	1.38	293.15
3034-53-5	1.5927	293.15
3036-66-6	1.4594	293.15
30389-18-5	1.4817	293.15
3040-44-6	1.4749	293.15
3048-64-4	1.481	293.15
3054-95-3	1.4	293.15
3066-71-5	1.4673	293.15
3068-00-6	1.4688	293.15
30685-95-1	1.5041	293.15
307-34-6	1.282	293.15
3073-66-3	1.4295	293.15
3074-71-3	1.4088	293.15
3074-75-7	1.4063	293.15
3074-76-8	1.414	293.15
3074-77-9	1.4134	293.15
30752-19-3	1.5262	293.15
3083-23-6	1.4737	298.15
3088-41-3	1.4676	298.15
3101-60-8	1.5145	293.15
3102-33-8	1.435	293.15
311-45-5	1.5096	
311-89-7	1.291	298.15
312-40-3	1.5221	298.15
31252-42-3	1.5337	298.15
3128-06-1	1.4451	293.15
3128-07-2	1.4306	298.15
3132-99-8	1.5935	293.15
31367-46-1	1.4199	298.15
3140-93-0	1.6304	295.15
3141-27-3	1.6288	293.15
3152-68-9	1.5684	293.15
3153-36-4	1.4311	293.15
3153-37-5	1.4321	293.15
31543-75-6	1.5964	298.15
3156-70-5	1.4527	293.15
3172-52-9	1.5626	293.15
3173-53-3	1.4551	293.15
3175-23-3	1.4609	293.15
3178-22-1	1.4469	293.15
3178-29-8	1.4135	293.15
3179-63-3	1.436	293.15
3180-09-4	1.518	298.15
31849-78-2	1.4536	293.15
31879-05-7	1.5742	298.15
3188-13-4	1.404	293.15
3194-15-8	1.4922	298.15
3196-15-4	1.4029	298.15
320-60-5	1.4802	293.15
3208-16-0	1.4403	293.15
321-28-8	1.4969	290.15
321-38-0	1.5939	293.15
32161-06-1	1.5026	293.15
3218-02-8	1.463	293.15
3221-61-2	1.4031	293.15
3234-28-4	1.4408	293.15
32360-05-7	1.429	298.15
3240-09-3	1.4348	293.15
3244-90-4	1.471	294.15
3252-43-5	1.5393	293.15
3256-88-0	1.6055	298.15
326-62-5	1.5009	293.15
32620-08-9	1.4527	293.15
32665-23-9	1.396	293.15
327-54-8	1.4075	293.15
3274-29-1	1.4255	300.15
32768-54-0	1.5511	293.15
3277-26-7	1.37	293.15
3279-26-3	1.474	293.15
328-74-5	1.4335	293.15
3282-30-2	1.4139	293.15
32830-97-0	1.4361	293.15
3288-04-8	1.6458	293.15
3289-28-9	1.4501	288.15
329-01-1	1.469	293.15
3290-92-4	1.47	298.15
3319-15-1	1.531	298.15
332-77-4	1.4339	293.15
3329-48-4	1.4342	293.15
3329-56-4	1.4067	
333-18-6	1.633	
333-41-5	1.4922	293.15
334-48-5	1.4288	313.15
334-56-5	1.4085	
33467-76-4	1.446	293.15
335-44-4	1.353	293.15
335-57-9	1.2618	293.15
3350-30-9	1.4729	293.15
3350-78-5	1.477	293.15
3352-87-2	1.4545	293.15
33560-15-5	1.4483	293.15
336-59-4	1.285	293.15
3360-41-6	1.5214	293.15
3377-86-4	1.4832	298.15
3377-87-5	1.4472	293.15
3378-72-1	1.4951	298.15
338-83-0	1.279	298.15
3386-33-2	1.4524	293.15
33880-83-0	1.4935	293.15
3391-10-4	1.5505	293.15
3391-86-4	1.4391	285.15
3395-91-3	1.4542	293.15
33966-50-6	1.3932	293.15
3400-45-1	1.4532	293.15
3404-61-3	1.3965	293.15
3404-67-9	1.4142	293.15
3404-71-5	1.405	293.15
3404-72-6	1.4033	293.15
3404-73-7	1.3984	293.15
3404-78-2	1.414	293.15
34256-82-1	1.5272	293.15
3437-89-6	1.565	295.15
3437-95-4	1.6465	298.15
3438-46-8	1.5	293.15
3439-97-2	1.5599	293.15
344-04-7	1.449	293.15
344-07-0	1.4256	293.15
3440-02-6	1.533	293.15
345-35-7	1.515	293.15
3452-07-1	1.444	303.15
3452-09-3	1.4217	293.15
3452-97-9	1.43	298.15
3454-07-7	1.5376	293.15
34590-94-8	1.419	293.15
34698-41-4	1.5613	293.15
34713-94-5	1.4092	293.15
348-51-6	1.4918	303.15
348-52-7	1.591	293.15
348-54-9	1.5421	293.15
34885-03-5	1.4617	293.15
350-03-8	1.5341	293.15
350-46-9	1.5316	293.15
350-50-5	1.4892	298.15
3508-00-7	1.4625	293.15
35161-71-8	1.4332	293.15
35182-51-5	1.40905	298.15
352-11-4	1.513	
352-32-9	1.4699	293.15
352-33-0	1.499	288.15
352-34-1	1.527	295.15
352-70-5	1.4691	293.15
352-93-2	1.443	293.15
3521-91-3	1.4347	293.15
3522-94-9	1.3997	293.15
3524-73-0	1.3967	293.15
3524-75-2	1.4412	293.15
35274-05-6	1.441	313.15
3528-17-4	1.6395	293.15
353-36-6	1.2656	293.15
353-42-4	1.302	293.15
353-55-9	1.457	293.15
353-83-3	1.4009	293.15
35305-13-6	1.4538	285.15
354-04-1	1.4191	297.15
354-06-3	1.3738	293.15
354-14-3	1.439	293.15
354-21-2	1.3889	293.15
354-58-5	1.361	308.15
35400-43-2	1.5859	
355-02-2	1.285	290.15
355-04-4	1.2564	295.15
355-42-0	1.2515	293.15
355-75-9	1.293	293.15
355-80-6	1.3178	293.15
3554-74-3	1.4735	293.15
35573-93-4	1.4268	293.15
356-16-1	1.3265	298.15
356-24-1	1.295	293.15
356-27-4	1.3011	293.15
35608-64-1	1.4182	293.15
3570-55-6	1.5982	293.15
35794-11-7	1.4454	293.15
3581-87-1	1.51	
3586-14-9	1.5727	293.15
3587-57-3	1.4125	293.15
3587-60-8	1.5192	293.15
3588-30-5	1.4442	293.15
359-02-4	1.4031	289.15
359-28-4	1.439	293.15
3600-24-6	1.5689	286.15
36049-78-2	1.4896	293.15
363-72-4	1.3905	293.15
36357-38-7	1.5302	298.15
3637-01-2	1.5413	288.15
3637-61-4	1.4579	293.15
3638-35-5	1.3865	293.15
3638-64-0	1.4282	293.15
36383-15-0	1.4902	293.15
36566-80-0	1.412	293.15
3657-07-6	1.4525	298.15
3658-48-8	1.442	293.15
3658-79-5	1.4029	295.15
36653-82-4	1.4283	352.15
367-11-3	1.4451	291.15
367-12-4	1.5144	293.15
367-23-7	1.4171	293.15
367-25-9	1.5063	293.15
367-64-6	1.353	295.15
3674-13-3	1.5007	293.15
3675-68-1	1.5626	290.15
3675-69-2	1.568	293.15
36768-62-4	1.4706	293.15
368-43-4	1.4932	291.15
368-47-8	1.411	293.15
368-77-4	1.4508	293.15
3680-02-2	1.4636	293.15
36823-84-4	1.5434	293.15
3683-19-0	1.4026	293.15
3683-22-5	1.4025	293.15
36847-51-5	1.496	293.15
3689-24-5	1.4753	298.15
3699-01-2	1.6225	298.15
371-40-4	1.5195	293.15
371-62-0	1.3647	291.15
3710-30-3	1.4245	293.15
3710-84-7	1.4195	293.15
37143-54-7	1.4031	298.15
372-18-9	1.4374	293.15
372-19-0	1.5436	293.15
372-20-3	1.514	293.15
372-31-6	1.3783	288.15
372-38-3	1.414	293.15
372-46-3	1.4146	293.15
372-47-4	1.472	293.15
372-48-5	1.4574	293.15
3721-95-7	1.44	293.15
3726-45-2	1.4531	293.15
3728-43-6	1.49	293.15
373-14-8	1.3738	293.15
3731-51-9	1.5431	298.15
3731-52-0	1.552	293.15
3731-53-1	1.5495	298.15
374-07-2	1.3092	273.15
3741-00-2	1.4356	293.15
3741-38-6	1.4463	293.15
3742-34-5	1.436	293.15
3748-13-8	1.557	293.15
375-01-9	1.294	293.15
375-16-6	1.288	293.15
375-22-4	1.295	298.15
375-83-7	1.269	298.15
376-27-2	1.304	300.15
3764-01-0	1.57	293.15
37674-63-8	1.4402	298.15
3769-23-1	1.4	293.15
37746-78-4	1.4925	293.15
3779-29-1	1.433	299.15
378-75-6	1.2869	298.15
3788-32-7	1.4298	293.15
3790-71-4	1.4877	293.15
381-73-7	1.347	293.15
3810-26-2	1.544	293.15
383-63-1	1.308	293.15
38300-67-3	1.5608	293.15
384-04-3	1.3	273.15
3840-31-1	1.5439	293.15
38460-95-6	1.454	293.15
3849-33-0	1.5427	294.15
3850-30-4	1.4105	298.15
3852-09-3	1.403	293.15
38552-72-6	1.4345	291.15
3856-25-5	1.4894	293.15
3857-25-8	1.4853	293.15
3862-12-2	1.555	293.15
38651-65-9	1.4787	293.15
3874-54-2	1.5255	293.15
3875-51-2	1.4258	293.15
3877-15-4	1.4442	293.15
38870-89-2	1.4199	293.15
389-40-2	1.4087	293.15
3899-36-3	1.4109	293.15
39029-41-9	1.3166	293.15
3910-35-8	1.5681	293.15
3917-15-5	1.4062	293.15
39191-07-6	1.535	298.15
392-56-3	1.3777	293.15
392-83-6	1.4817	293.15
392-85-8	1.404	298.15
393-52-2	1.5365	293.15
3938-95-2	1.3906	293.15
3944-36-3	1.407	293.15
39515-51-0	1.5954	293.15
39589-98-5	1.4852	293.15
3967-54-2	1.454	293.15
3970-62-5	1.4223	293.15
3972-56-3	1.5123	293.15
3972-65-4	1.5436	293.15
3974-99-0	1.4428	293.15
3978-81-2	1.4958	293.15
3982-67-0	1.5074	293.15
40058-87-5	1.4149	293.15
401-56-9	1.3927	293.15
401-78-5	1.4716	293.15
4016-11-9	1.432	293.15
402-31-3	1.3916	298.15
402-43-7	1.4705	298.15
402-44-8	1.4025	293.15
402-67-5	1.5262	288.15
4028-23-3	1.4195	293.15
403-42-9	1.5081	298.15
403-43-0	1.5296	293.15
4032-86-4	1.4087	293.15
4032-94-4	1.4091	293.15
4038-04-4	1.3982	293.15
404-72-8	1.6186	293.15
4043-71-4	1.5782	293.15
4049-81-4	1.4183	293.15
405-99-2	1.515	293.15
4050-45-7	1.3936	293.15
4054-38-0	1.4978	293.15
4065-80-9	1.4843	293.15
4067-16-7	1.5096	293.15
407-25-0	1.269	298.15
4074-88-8	1.4595	298.15
4079-52-1	1.5393	293.15
4088-60-2	1.4342	298.15
4091-39-8	1.4219	293.15
4096-20-2	1.5598	298.15
4096-21-3	1.5813	293.15
4101-68-2	1.4927	298.15
4110-50-3	1.4462	293.15
4117-15-1	1.453	294.15
4124-88-3	1.4454	298.15
4127-45-1	1.3864	293.15
4128-31-8	1.4203	293.15
4130-08-9	1.4226	293.15
4131-74-2	1.474	293.15
4143-41-3	1.4199	292.15
4152-90-3	1.557	298.15
4164-28-7	1.4462	345.15
4169-04-4	1.476	298.15
4170-24-5	1.441	293.15
4179-19-5	1.5234	293.15
4180-23-8	1.5615	293.15
4181-95-7	1.4572	298.15
4187-87-5	1.5508	293.15
4192-77-2	1.5598	293.15
420-04-2	1.4418	321.15
420-12-2	1.4935	293.15
420-45-1	1.2904	293.15
4200-95-7	1.451	293.15
42027-23-6	1.4412	298.15
4206-75-1	1.534	293.15
4208-49-5	1.4945	293.15
4208-64-4	1.4827	288.15
421-06-7	1.3331	293.15
421-20-5	1.3326	293.15
421-83-0	1.3344	293.15
4212-43-5	1.4148	288.15
4214-28-2	1.6008	289.15
4219-24-3	1.4935	293.15
4221-98-1	1.4772	292.15
4246-51-9	1.464	293.15
42474-21-5	1.4986	293.15
4253-34-3	1.4083	293.15
4253-89-8	1.4916	293.15
4253-91-2	1.4663	293.15
4254-02-8	1.441	293.15
4255-62-3	1.4537	297.15
42569-16-4	1.428	293.15
4259-00-1	1.4199	293.15
4265-25-2	1.5495	295.15
4279-22-5	1.4295	
4279-76-9	1.5125	293.15
4282-40-0	1.4904	293.15
4282-42-2	1.4848	298.15
4283-80-1	1.442	296.15
4288-84-0	1.437	298.15
4292-19-7	1.484	293.15
4292-75-5	1.4462	293.15
4292-92-6	1.4437	293.15
430-51-3	1.37	293.15
430-57-9	1.4132	293.15
430-71-7	1.329	286.15
430-95-5	1.4196	298.15
431-03-8	1.3951	293.15
431-06-1	1.3619	293.15
4313-03-5	1.5315	293.15
4318-37-0	1.4769	293.15
4319-49-7	1.4772	293.15
432-25-7	1.4971	288.15
4325-82-0	1.9377	288.15
434-45-7	1.4583	293.15
434-64-0	1.367	293.15
4341-76-8	1.4372	293.15
4342-61-4	1.4548	293.15
4351-54-6	1.443	293.15
4358-59-2	1.4175	293.15
4392-24-9	1.613	293.15
4393-06-0	1.5406	293.15
4394-85-8	1.4845	293.15
4407-36-7	1.5819	293.15
4420-74-0	1.442	298.15
4427-56-9	1.5275	293.15
443-83-4	1.5026	293.15
4435-18-1	1.4382	298.15
4437-22-3	1.5088	293.15
4437-51-8	1.413	294.15
4439-24-1	1.4143	293.15
4442-79-9	1.4641	293.15
4445-06-1	1.461	293.15
4445-07-2	1.479	309.15
4447-60-3	1.4	293.15
4454-05-1	1.442	293.15
4455-26-9	1.4424	293.15
4457-00-5	1.4392	293.15
446-35-5	1.5149	287.15
446-52-6	1.5234	293.15
447-53-0	1.5814	293.15
4484-72-4	1.4581	293.15
4485-09-0	1.4189	293.15
44855-57-4	1.4232	298.15
44914-03-6	1.424	293.15
4493-42-9	1.4874	295.15
450-95-3	1.52	293.15
451-46-7	1.4864	293.15
4510-34-3	1.5819	293.15
4516-69-2	1.4112	293.15
452-71-1	1.5363	291.15
452-86-8	1.5425	347.15
4525-44-4	1.4197	293.15
453-13-4	1.3725	293.15
453-20-3	1.45	293.15
4536-23-6	1.4193	293.15
454-14-8	1.4832	293.15
4549-31-9	1.5034	293.15
4549-32-0	1.4971	298.15
4549-74-0	1.452	293.15
455-14-1	1.4815	298.15
455-19-6	1.463	293.15
4553-07-5	1.5012	298.15
4553-62-2	1.434	293.15
456-41-7	1.5474	293.15
456-48-4	1.5206	293.15
456-49-5	1.4876	293.15
457-87-4	1.4986	298.15
458-88-8	1.4512	295.15
4588-18-5	1.4184	293.15
459-22-3	1.5002	293.15
459-56-3	1.508	293.15
459-60-9	1.4886	291.15
459-72-3	1.3755	293.15
459-73-4	1.4242	283.15
4593-16-2	1.4731	298.15
460-00-4	1.531	288.15
460-12-8	1.4189	278.15
460-13-9	1.3115	293.15
460-35-5	1.335	293.15
4606-07-9	1.419	293.15
4606-65-9	1.4964	293.15
4609-87-4	1.4337	293.15
462-06-6	1.4684	303.15
462-94-2	1.463	293.15
462-95-3	1.3748	291.15
4628-21-1	1.439	293.15
463-04-7	1.3851	293.15
463-11-6	1.3946	293.15
463-40-1	1.48	293.15
463-49-0	1.4168	
463-58-1	1.24	186.15
463-71-8	1.5442	293.15
463-82-1	1.3476	279.15
4630-82-4	1.4433	293.15
4635-59-0	1.4616	293.15
4637-24-5	1.3972	293.15
464-06-2	1.3864	293.15
464-10-8	1.579	293.15
464-49-3	1.5462	
4645-15-2	1.4741	293.15
4655-34-9	1.4122	293.15
466-96-6	1.574	
4663-22-3	1.4252	293.15
4667-99-6	1.3999	293.15
4694-12-6	1.433	291.15
470-40-6	1.5031	298.15
470-67-7	1.4562	293.15
470-82-6	1.4586	293.15
470-99-5	1.4717	293.15
471-16-9	1.4871	298.15
471-25-0	1.4306	293.15
4712-55-4	1.5575	293.15
4727-17-7	1.4555	371.15
473-06-3	1.472	295.15
473-55-2	1.4605	294.15
4730-22-7	1.4238	283.15
4737-41-1	1.4222	293.15
4744-08-5	1.3924	292.15
4747-15-3	1.562	297.15
4749-28-4	1.4358	293.15
475-03-6	1.5257	293.15
475-20-7	1.504	293.15
4753-75-7	1.4729	293.15
4753-80-4	1.5044	291.15
4766-57-8	1.4128	293.15
4771-80-6	1.4814	293.15
4773-83-5	1.5521	293.15
4784-77-4	1.4822	293.15
479-27-6	1.6828	372.15
479-59-4	1.568	298.15
4795-29-3	1.4551	293.15
4798-44-1	1.4297	291.15
4806-61-5	1.402	293.15
481-20-9	1.4884	361.15
481-21-0	1.4887	361.15
4829-04-3	1.5975	288.15
483-76-1	1.5089	288.15
483-78-3	1.5785	298.15
4835-11-4	1.447	298.15
484-31-1	1.5305	290.15
485-43-8	1.4607	338.15
4850-28-6	1.4186	293.15
486-25-9	1.6309	372.15
4860-03-1	1.4503	293.15
488-10-8	1.4979	295.15
488-23-3	1.5203	293.15
488-98-2	1.5432	293.15
4884-24-6	1.4763	
4884-25-7	1.4884	290.15
4885-02-3	1.43	293.15
489-86-1	1.4716	373.15
4891-38-7	1.5618	298.15
4894-61-5	1.435	293.15
4897-84-1	1.4567	298.15
490-10-8	1.4859	298.15
4900-30-5	1.4302	293.15
491-04-3	1.4729	298.15
491-07-6	1.4527	293.15
491-09-8	1.5294	293.15
491-35-0	1.62	293.15
491-37-2	1.575	
4911-55-1	1.4431	294.15
4912-92-9	1.5135	298.15
4914-89-0	1.4126	293.15
4914-91-4	1.4104	293.15
4914-92-5	1.4128	293.15
493-01-6	1.481	293.15
493-02-7	1.4695	293.15
493-05-0	1.5444	293.15
493-08-3	1.5444	293.15
493-09-4	1.5485	293.15
494-52-0	1.543	293.15
494-97-3	1.5378	291.15
494-99-5	1.5257	298.15
4945-48-6	1.4467	293.15
4949-44-4	1.423	293.15
495-40-9	1.5203	293.15
495-41-0	1.5626	291.15
495-45-4	1.6343	293.15
495-61-4	1.488	293.15
496-10-6	1.4702	293.15
496-11-7	1.5378	293.15
496-15-1	1.5923	293.15
496-16-2	1.5497	293.15
496-49-1	1.4555	293.15
496-77-5	1.4345	289.15
497-03-0	1.4475	293.15
497-04-1	1.4831	293.15
497-20-1	1.492	293.15
497-26-7	1.4035	290.15
4972-29-6	1.347	298.15
49763-65-7	1.53	293.15
498-15-7	1.469	276.15
498-60-2	1.4945	293.15
498-62-4	1.5855	293.15
498-67-9	1.518	284.15
4984-01-4	1.4212	293.15
4985-70-0	1.6959	373.15
499-75-2	1.523	293.15
50-36-2	1.5022	371.15
50-70-4	1.333	293.15
500-28-7	1.5661	293.15
501-53-1	1.519	293.15
501-92-8	1.5441	291.15
502-41-0	1.40705	293.15
502-42-1	1.4608	293.15
502-44-3	1.4611	293.15
502-49-8	1.4694	293.15
502-56-7	1.4195	293.15
502-61-4	1.4836	293.15
502-72-7	1.4637	333.15
502-99-8	1.4862	293.15
5026-76-6	1.407	293.15
5029-67-4	1.6366	293.15
503-17-3	1.3921	293.15
503-29-7	1.4287	298.15
503-30-0	1.3961	293.15
503-38-8	1.4566	295.15
503-60-6	1.4485	293.15
503-64-0	1.445	293.15
503-66-2	1.4489	293.15
503-74-2	1.4033	293.15
503-93-5	1.5087	293.15
504-02-9	1.4576	375.15
504-03-0	1.4377	293.15
504-20-1	1.4998	293.15
504-31-4	1.527	298.15
504-61-0	1.4288	293.15
504-63-2	1.4398	293.15
504-64-3	1.4538	273.15
504-78-9	1.551	293.15
505-20-4	1.5981	298.15
505-22-6	1.4165	293.15
505-23-7	1.5981	298.15
505-32-8	1.4571	293.15
505-60-2	1.5313	293.15
505-84-0	1.3939	292.15
506-12-7	1.4342	333.15
506-23-0	1.5112	323.15
506-25-2	1.49148	323.15
506-30-9	1.425	373.15
506-32-1	1.4824	293.15
506-33-2	1.4347	373.15
506-46-7	1.4301	373.15
506-48-9	1.4313	373.15
506-50-3	1.4323	373.15
506-80-9	1.8454	293.15
506-82-1	1.5488	
506-96-7	1.4486	293.15
5061-21-2	1.5059	293.15
50623-57-9	1.4262	298.15
507-02-8	1.5491	293.15
507-09-5	1.4648	293.15
507-19-7	1.4278	293.15
507-20-0	1.3857	293.15
507-36-8	1.4421	
507-40-4	1.403	293.15
507-45-9	1.445	291.15
5076-20-0	1.3984	289.15
5077-67-8	1.4189	293.15
508-32-7	1.4296	353.15
50876-33-0	1.4125	293.15
509-14-8	1.4384	293.15
51-64-9	1.4704	293.15
51-79-6	1.4144	324.15
512-16-3	1.468	291.15
512-56-1	1.3967	293.15
512-85-6	1.4769	293.15
5124-30-1	1.497	293.15
513-02-0	1.4057	293.15
513-08-6	1.4165	293.15
513-31-5	1.5416	298.15
513-35-9	1.3874	293.15
513-36-0	1.3984	293.15
513-37-1	1.4221	293.15
513-38-2	1.4959	293.15
513-42-8	1.4255	293.15
513-44-0	1.4387	293.15
513-81-5	1.4394	293.15
51308-54-4	1.596	299.15
51308-99-7	1.4575	293.15
51309-10-5	1.4578	293.15
5131-66-8	1.4168	293.15
5137-45-1	1.3843	298.15
515-40-2	1.5247	293.15
515-46-8	1.5081	293.15
515-84-4	1.4505	293.15
5150-93-6	1.436	293.15
5159-41-1	1.6349	293.15
5161-13-7	1.4799	293.15
5162-44-7	1.4622	293.15
5162-48-1	1.4288	293.15
5166-53-0	1.4395	295.15
517-22-6	1.4961	293.15
517-23-7	1.4585	293.15
517-25-9	1.4451	297.15
5171-84-6	1.4368	293.15
5183-77-7	1.5445	292.15
519-02-8	1.5286	298.15
519-73-3	1.5839	372.15
5194-50-3	1.456	293.15
5194-51-4	1.451	293.15
52-53-9	1.5448	298.15
5205-34-5	1.4333	293.15
52152-71-3	1.4991	293.15
52217-02-4	1.4171	293.15
5223-59-6	1.5554	293.15
523-47-7	1.5059	293.15
523-80-8	1.536	293.15
52387-50-5	1.4392	293.15
52390-72-4	1.421	293.15
525-06-4	1.615	287.15
52562-19-3	1.5722	293.15
5258-50-4	1.4922	293.15
5259-98-3	1.4518	293.15
526-35-2	1.4688	298.15
526-73-8	1.5139	293.15
526-75-0	1.542	293.15
527-53-7	1.513	293.15
527-69-5	1.531	293.15
527-84-4	1.5006	293.15
52708-03-9	1.4197	293.15
5271-38-5	1.4861	303.15
528-29-0	1.565	290.15
5283-66-9	1.448	293.15
52896-87-4	1.4153	293.15
529-16-8	1.4688	290.15
529-19-1	1.5279	293.15
529-20-4	1.5462	293.15
529-33-9	1.5638	293.15
529-34-0	1.5672	293.15
529-36-2	1.6802	293.15
5292-21-7	1.4775	293.15
5292-43-3	1.443	293.15
5292-53-5	1.5389	293.15
530-40-5	1.525	293.15
530-48-3	1.6085	293.15
530-93-8	1.5598	293.15
5314-55-6	1.3838	293.15
53152-98-0	1.447	293.15
53178-20-4	1.3971	293.15
532-24-1	1.4598	373.15
532-34-3	1.475	298.15
5325-97-3	1.5569	290.15
5328-01-8	1.5953	298.15
533-18-6	1.5002	293.15
533-32-4	1.4422	293.15
533-60-8	1.4785	294.15
533-68-6	1.4475	293.15
533-98-2	1.4025	293.15
5332-06-9	1.4818	293.15
5332-24-1	1.6641	293.15
5332-52-5	1.4585	293.15
5332-73-0	1.4391	293.15
5337-93-9	1.5278	293.15
534-07-6	1.4716	313.15
534-15-6	1.3668	293.15
534-22-5	1.4342	293.15
5340-36-3	1.4257	298.15
5349-60-0	1.5277	293.15
535-11-5	1.449	293.15
535-13-7	1.4178	293.15
535-15-9	1.4386	293.15
535-77-3	1.493	293.15
535-86-4	1.4865	294.15
5356-83-2	1.3983	293.15
53566-37-3	1.4176	293.15
536-50-5	1.5246	293.15
536-59-4	1.5005	293.15
536-60-7	1.521	293.15
536-74-3	1.547	293.15
536-75-4	1.5009	293.15
536-78-7	1.5021	293.15
536-90-3	1.5794	293.15
5368-81-0	1.5224	293.15
537-26-8	1.508	373.15
53778-43-1	1.3887	293.15
538-07-8	1.4653	298.15
538-23-8	1.4482	293.15
538-24-9	1.4404	333.15
538-44-3	1.5523	298.15
538-51-2	1.6	373.15
538-68-1	1.4878	293.15
538-86-3	1.5008	293.15
538-93-2	1.4866	293.15
539-00-4	1.4683	293.15
539-30-0	1.4955	293.15
539-52-6	1.4705	294.15
539-74-2	1.4516	293.15
539-80-0	1.6172	295.15
539-82-2	1.412	293.15
539-86-6	1.561	293.15
539-88-8	1.4229	293.15
539-89-9	1.4288	293.15
539-90-2	1.4032	293.15
539-92-4	1.4072	293.15
5390-04-5	1.4414	293.15
5396-24-7	1.4261	293.15
5396-38-3	1.5039	293.15
5399-02-0	1.4467	293.15
54-11-5	1.5282	293.15
540-07-8	1.4202	298.15
540-09-0	1.4283	353.15
540-10-3	1.4398	343.15
540-18-1	1.4123	293.15
540-36-3	1.4422	293.15
540-42-1	1.3973	293.15
540-47-6	1.3802	293.15
540-51-2	1.4915	293.15
540-54-5	1.3879	293.15
540-63-6	1.559	293.15
540-67-0	1.342	277.15
540-73-8	1.4209	293.15
540-80-7	1.368	293.15
540-82-9	1.4105	293.15
540-84-1	1.3884	298.15
540-88-5	1.3855	293.15
540-97-6	1.4015	293.15
5406-12-2	1.525	287.15
5408-86-6	1.5133	295.15
541-01-5	1.3965	293.15
541-02-6	1.3982	293.15
541-16-2	1.4184	302.15
541-28-6	1.4939	293.15
541-31-1	1.4412	293.15
541-33-3	1.4355	293.15
541-35-5	1.4087	403.15
541-41-3	1.3974	293.15
541-58-2	1.5091	293.15
541-73-1	1.5459	293.15
541-91-3	1.4802	290.15
5414-19-7	1.5131	300.15
5414-21-1	1.478	293.15
5419-55-6	1.3777	293.15
542-08-5	1.4173	293.15
542-10-9	1.3985	298.15
542-18-7	1.4626	293.15
542-28-9	1.4503	293.15
542-52-9	1.4117	293.15
542-54-1	1.4059	293.15
542-55-2	1.3857	293.15
542-56-3	1.3715	295.15
542-58-5	1.4234	293.15
542-69-8	1.5001	293.15
542-76-7	1.436	293.15
542-81-4	1.4902	293.15
542-85-8	1.513	293.15
542-88-1	1.435	294.15
542-90-5	1.4684	288.15
542-91-6	1.3921	293.15
542-92-7	1.444	293.15
543-20-4	1.4683	293.15
543-27-1	1.4071	291.15
543-28-2	1.4098	349.15
543-29-3	1.4028	293.15
543-59-9	1.4126	293.15
543-67-9	1.3604	293.15
543-75-9	1.4372	293.15
543-87-3	1.4122	294.15
5432-85-9	1.4552	298.15
5434-27-5	1.509	
544-00-3	1.4235	293.15
544-01-4	1.4085	293.15
544-02-5	1.452	293.15
544-10-5	1.42	293.15
544-13-8	1.4295	293.15
544-16-1	1.3762	293.15
544-25-2	1.5343	293.15
544-40-1	1.453	293.15
544-63-8	1.4723	343.15
544-73-0	1.5	353.15
544-76-3	1.4329	298.15
544-77-4	1.4797	293.15
544-85-4	1.455	293.15
545-06-2	1.4409	293.15
545-47-1	1.491	491.15
5451-80-9	1.4254	288.15
5451-92-3	1.4216	293.15
5452-35-7	1.4724	293.15
5452-37-9	1.4804	293.15
5452-75-5	1.451	287.15
54527-68-3	1.443	293.15
5453-80-5	1.4893	293.15
54532-97-7	1.5604	293.15
5454-28-4	1.4204	293.15
5454-79-5	1.4752	293.15
5454-83-1	1.463	293.15
5459-58-5	1.42	293.15
546-45-2	1.5397	293.15
546-80-5	1.449	288.15
54638-10-7	1.4012	293.15
547-63-7	1.384	293.15
547-65-9	1.465	293.15
54819-86-2	1.4263	293.15
55-18-5	1.4386	293.15
55-63-0	1.4786	285.15
55-81-2	1.5379	293.15
55-91-4	1.383	298.15
5500-21-0	1.4229	293.15
5502-88-5	1.4735	293.15
5503-12-8	1.5058	293.15
55066-53-0	1.4618	295.15
5507-44-8	1.4001	293.15
551-01-9	1.5855	297.15
551-09-7	1.6648	298.15
551-62-2	1.4054	293.15
5510-99-6	1.508	293.15
55156-16-6	1.4002	293.15
552-41-0	1.5452	354.15
552-45-4	1.541	298.15
552-70-5	1.476	373.15
552-82-9	1.6193	293.15
5524-05-0	1.4724	
55282-16-1	1.4503	293.15
553-60-6	1.4926	293.15
553-90-2	1.379	355.15
553-94-6	1.5514	291.15
55320-06-4	1.454	293.15
554-12-1	1.3775	293.15
554-14-3	1.5203	293.15
554-70-1	1.458	288.15
555-10-2	1.4788	293.15
